description,drugbank-id,name,reagent-id
Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Oxybuprocaine.,APRD00817,Doxylamine,DB00366
Promethazine can cause a decrease in the absorption of Iron Dextran resulting in a reduced serum concentration and potentially a decrease in efficacy.,APRD01053,Promethazine,DB01069
Cyclophosphamide may increase the cardiotoxic activities of Testolactone.,APRD00640,Cyclophosphamide,DB00531
The serum concentration of Methotrexate can be increased when it is combined with Benzylpenicilloyl Polylysine.,APRD00822,Methotrexate,DB00563
The therapeutic efficacy of Corticorelin ovine triflutate can be decreased when used in combination with Rimexolone.,APRD01220,Corticorelin ovine triflutate,DB09067
The serum concentration of Triazolam can be increased when it is combined with Dasatinib.,APRD00313,Dasatinib,DB01254
The serum concentration of Ethanol can be increased when it is combined with Dasatinib.,APRD00738,Dasatinib,DB01254
Remifentanil may increase the constipating activities of Ramosetron.,APRD01216,Ramosetron,DB09290
The serum concentration of Didanosine can be increased when it is combined with Teriflunomide.,DB02392,Teriflunomide,DB08880
Racepinephrine may decrease the vasoconstricting activities of Bitolterol.,APRD00827,Racepinephrine,DB11124
"2,5-Dimethoxy-4-ethylthioamphetamine may decrease the sedative activities of Methdilazine.",APRD00713,"2,5-Dimethoxy-4-ethylthioamphetamine",DB13940
The therapeutic efficacy of Etacrynic acid can be decreased when used in combination with Trolamine salicylate.,APRD00251,Trolamine salicylate,DB11079
The serum concentration of Ondansetron can be increased when it is combined with Dasatinib.,APRD00481,Dasatinib,DB01254
Iloprost may increase the hypotensive activities of Bimatoprost.,DB06863,Iloprost,DB01088
The serum concentration of Tiagabine can be increased when it is combined with Dasatinib.,APRD00344,Dasatinib,DB01254
The serum concentration of Cocaine can be increased when it is combined with Dasatinib.,APRD00080,Dasatinib,DB01254
The serum concentration of Quinidine can be increased when it is combined with Dasatinib.,APRD00136,Dasatinib,DB01254
The serum concentration of Zonisamide can be increased when it is combined with Dasatinib.,APRD00004,Dasatinib,DB01254
The serum concentration of Paricalcitol can be increased when it is combined with Dasatinib.,APRD01165,Dasatinib,DB01254
The serum concentration of Tinidazole can be increased when it is combined with Dasatinib.,APRD01260,Dasatinib,DB01254
The serum concentration of Repaglinide can be increased when it is combined with Dasatinib.,APRD00439,Dasatinib,DB01254
The serum concentration of Phenformin can be decreased when it is combined with Peginterferon alfa-2b.,APRD00511,Peginterferon alfa-2b,DB00022
The risk or severity of adverse effects can be increased when Amantadine is combined with Memantine.,APRD00787,Memantine,DB01043
The serum concentration of Metronidazole can be increased when it is combined with Dasatinib.,APRD00631,Dasatinib,DB01254
The serum concentration of Dinoprostone can be decreased when it is combined with Apalutamide.,APRD00927,Apalutamide,DB11901
The serum concentration of Almotriptan can be increased when it is combined with Dasatinib.,APRD00169,Dasatinib,DB01254
The therapeutic efficacy of Picosulfuric acid can be decreased when used in combination with Spectinomycin.,APRD01232,Picosulfuric acid,DB09268
"2,5-Dimethoxy-4-ethylthioamphetamine may decrease the sedative activities of Ketotifen.",APRD01061,"2,5-Dimethoxy-4-ethylthioamphetamine",DB13940
Buprenorphine may increase the constipating activities of Ramosetron.,APRD00670,Ramosetron,DB09290
Levosimendan may increase the hypotensive activities of Risperidone.,APRD01296,Risperidone,DB00734
The serum concentration of Ceforanide can be increased when it is combined with Probenecid.,APRD00853,Probenecid,DB01032
The serum concentration of Cyclobenzaprine can be increased when it is combined with Dasatinib.,APRD00213,Dasatinib,DB01254
The serum concentration of Phenoxybenzamine can be increased when it is combined with Dasatinib.,APRD00651,Dasatinib,DB01254
"2,5-Dimethoxy-4-ethylthioamphetamine may decrease the sedative activities of Famotidine.",APRD00296,"2,5-Dimethoxy-4-ethylthioamphetamine",DB13940
The therapeutic efficacy of Sipuleucel-T can be decreased when used in combination with Azacitidine.,APRD00809,Sipuleucel-T,DB06688
The therapeutic efficacy of Misoprostol can be decreased when used in combination with Palmidrol.,DB05379,Palmidrol,DB14043
Colesevelam can cause a decrease in the absorption of Fluticasone resulting in a reduced serum concentration and potentially a decrease in efficacy.,APRD00883,Fluticasone,DB13867
The serum concentration of Medrogestone can be decreased when it is combined with Methacycline.,APRD00137,Medrogestone,DB09124
The serum concentration of Tipranavir can be increased when it is combined with Dasatinib.,APRD01306,Dasatinib,DB01254
Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Mesoridazine.,APRD00610,Doxylamine,DB00366
Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Maprotiline.,APRD00747,Doxylamine,DB00366
Nabilone may increase the tachycardic activities of Oxymetazoline.,APRD01158,Nabilone,DB00486
The risk or severity of adverse effects can be increased when Salicylic acid is combined with Dibotermin alfa.,DB01398,Dibotermin alfa,DB11639
Amoxapine may increase the stimulatory activities of Diethylpropion.,APRD00919,Amoxapine,DB00543
The serum concentration of Salmeterol can be increased when it is combined with Dasatinib.,APRD00277,Dasatinib,DB01254
The risk or severity of adverse effects can be increased when Meclofenamic acid is combined with Pitolisant.,APRD01090,Pitolisant,DB11642
The risk or severity of adverse effects can be increased when Methantheline is combined with Nicomorphine.,APRD00751,Nicomorphine,DB13454
The therapeutic efficacy of Hexafluronium can be increased when used in combination with Lorpiprazole.,APRD01013,Lorpiprazole,DB09195
The serum concentration of Zalcitabine can be increased when it is combined with Dasatinib.,APRD00562,Dasatinib,DB01254
The risk or severity of adverse effects can be increased when Demecarium is combined with Epibatidine.,APRD00905,Epibatidine,DB07720
The risk or severity of adverse effects can be increased when Acetylsalicylic acid is combined with Dibotermin alfa.,EXPT00475,Dibotermin alfa,DB11639
The risk or severity of adverse effects can be increased when Phenprocoumon is combined with Azficel-T.,APRD00228,Azficel-T,DB11051
The serum concentration of Fulvestrant can be increased when it is combined with Dasatinib.,APRD00654,Dasatinib,DB01254
The serum concentration of Methotrexate can be increased when it is combined with Mezlocillin.,APRD01113,Methotrexate,DB00563
The serum concentration of Felbamate can be increased when it is combined with Dasatinib.,APRD00505,Dasatinib,DB01254
Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Fexofenadine.,APRD00349,Doxylamine,DB00366
The serum concentration of Brexpiprazole can be increased when it is combined with Isoniazid.,EXPT01940,Brexpiprazole,DB09128
The risk or severity of adverse effects can be increased when Naratriptan is combined with Mosapramine.,APRD00220,Mosapramine,DB13676
The serum concentration of Rizatriptan can be decreased when it is combined with Osimertinib.,APRD00008,Osimertinib,DB09330
The therapeutic efficacy of Picosulfuric acid can be decreased when used in combination with Dirithromycin.,APRD00931,Picosulfuric acid,DB09268
The serum concentration of Digoxin Immune Fab (Ovine) can be decreased when it is combined with Netilmicin.,APRD00232,Digoxin Immune Fab (Ovine),DB00076
Hydrocodone may increase the constipating activities of Ramosetron.,DB09475,Ramosetron,DB09290
Norgestimate may increase the excretion rate of Lamotrigine which could result in a lower serum level and potentially a reduction in efficacy.,APRD00569,Lamotrigine,DB00555
The serum concentration of Carboplatin can be increased when it is combined with Teriflunomide.,APRD00466,Teriflunomide,DB08880
The serum concentration of Methylprednisolone can be increased when it is combined with Dasatinib.,APRD00342,Dasatinib,DB01254
Pindolol may increase the hypoglycemic activities of Metahexamide.,APRD00678,Metahexamide,DB13675
Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Mepivacaine.,APRD01094,Doxylamine,DB00366
The serum concentration of Zaleplon can be increased when it is combined with Dasatinib.,APRD00411,Dasatinib,DB01254
The risk or severity of adverse effects can be increased when Bromfenac is combined with Pitolisant.,APRD00831,Pitolisant,DB11642
Bucindolol may decrease the vasoconstricting activities of Apraclonidine.,APRD00012,Bucindolol,DB12752
Cyclophosphamide may increase the cardiotoxic activities of Ethiodized oil.,APRD00960,Cyclophosphamide,DB00531
The serum concentration of Digoxin Immune Fab (Ovine) can be increased when it is combined with Telmisartan.,APRD01247,Digoxin Immune Fab (Ovine),DB00076
Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Desloratadine.,APRD00324,Doxylamine,DB00366
The risk or severity of adverse effects can be increased when Methyldopa is combined with Lithium.,APRD01106,Lithium,DB01356
The serum concentration of Alosetron can be increased when it is combined with Dasatinib.,APRD00580,Dasatinib,DB01254
The serum concentration of Dactinomycin can be increased when it is combined with Teriflunomide.,APRD00124,Teriflunomide,DB08880
The risk or severity of adverse effects can be increased when Azelastine is combined with Dibotermin alfa.,APRD00813,Dibotermin alfa,DB11639
The serum concentration of Ezetimibe can be decreased when it is combined with Apalutamide.,APRD00619,Apalutamide,DB11901
The risk or severity of adverse effects can be increased when Edetic Acid is combined with Azficel-T.,APRD01327,Azficel-T,DB11051
The serum concentration of Dipyridamole can be decreased when it is combined with Apalutamide.,APRD00360,Apalutamide,DB11901
Telithromycin may increase the QTc-prolonging activities of Delamanid.,APRD00483,Delamanid,DB11637
The serum concentration of Ethinyl Estradiol can be increased when it is combined with Dasatinib.,APRD00691,Dasatinib,DB01254
Lomefloxacin may increase the QTc-prolonging activities of Delamanid.,APRD01076,Delamanid,DB11637
The risk or severity of adverse effects can be increased when Cyclopentolate is combined with Nicomorphine.,APRD00893,Nicomorphine,DB13454
The serum concentration of Ramelteon can be increased when it is combined with Dasatinib.,APRD01213,Dasatinib,DB01254
The risk or severity of adverse effects can be increased when Physostigmine is combined with Epibatidine.,APRD00406,Epibatidine,DB07720
The risk or severity of adverse effects can be increased when Ethanol is combined with Isotretinoin.,APRD00140,Ethanol,DB00898
The metabolism of Formoterol can be decreased when combined with Nicotine.,APRD00641,Nicotine,DB00184
Nandrolone phenpropionate may increase the stimulatory activities of Methoxy polyethylene glycol-epoetin beta.,APRD00134,Methoxy polyethylene glycol-epoetin beta,DB09107
Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Dimenhydrinate.,APRD00924,Doxylamine,DB00366
The risk or severity of adverse effects can be increased when Glycopyrronium is combined with Nicomorphine.,DB06583,Nicomorphine,DB13454
The serum concentration of Cytarabine can be increased when it is combined with Dasatinib.,APRD00499,Dasatinib,DB01254
Nabilone may increase the tachycardic activities of Dopamine.,APRD00085,Nabilone,DB00486
The risk or severity of adverse effects can be increased when Rivastigmine is combined with Epibatidine.,APRD00321,Epibatidine,DB07720
The serum concentration of Exemestane can be increased when it is combined with Dasatinib.,APRD00144,Dasatinib,DB01254
The risk or severity of adverse effects can be increased when Oxaprozin is combined with Pitolisant.,APRD00030,Pitolisant,DB11642
Cyclophosphamide may increase the cardiotoxic activities of Methyl aminolevulinate.,APRD01105,Cyclophosphamide,DB00531
The metabolism of Azathioprine can be decreased when combined with Sulfasalazine.,APRD00811,Sulfasalazine,DB00795
The serum concentration of Digoxin Immune Fab (Ovine) can be decreased when it is combined with Neomycin.,APRD00013,Digoxin Immune Fab (Ovine),DB00076
Sarilumab may increase the immunosuppressive activities of Auranofin.,APRD00808,Sarilumab,DB11767
Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Gabapentin.,APRD00015,Doxylamine,DB00366
The serum concentration of Doxorubicin can be increased when it is combined with Teriflunomide.,DB05847,Teriflunomide,DB08880
The serum concentration of Frovatriptan can be decreased when it is combined with Osimertinib.,APRD00270,Osimertinib,DB09330
Yohimbine may decrease the antihypertensive activities of Hydrochlorothiazide.,APRD00092,Yohimbine,DB01392
The serum concentration of Methotrexate can be increased when it is combined with Cyclacillin.,APRD00892,Methotrexate,DB00563
Racepinephrine may decrease the vasoconstricting activities of Salbutamol.,APRD00553,Racepinephrine,DB11124
The serum concentration of Levobupivacaine can be increased when it is combined with Dasatinib.,APRD00110,Dasatinib,DB01254
The serum concentration of Ganciclovir can be increased when it is combined with Mycophenolic acid.,EXPT01540,Mycophenolic acid,DB01024
The therapeutic efficacy of Sipuleucel-T can be decreased when used in combination with Hydroxyurea.,APRD00023,Sipuleucel-T,DB06688
The serum concentration of Letrozole can be increased when it is combined with Dasatinib.,APRD01066,Dasatinib,DB01254
The therapeutic efficacy of Tioconazole can be increased when used in combination with Menthol.,APRD01262,Menthol,DB00825
The serum concentration of Busulfan can be increased when it is combined with Dasatinib.,APRD00664,Dasatinib,DB01254
The risk or severity of adverse effects can be increased when Ketoprofen is combined with Pitolisant.,DB05335,Pitolisant,DB11642
The risk or severity of adverse effects can be increased when Edrophonium is combined with Epibatidine.,APRD00944,Epibatidine,DB07720
The serum concentration of Acetaminophen can be increased when it is combined with Metyrapone.,EXPT02271,Acetaminophen,DB00316
The serum concentration of Cinacalcet can be increased when it is combined with Dasatinib.,APRD00872,Dasatinib,DB01254
The therapeutic efficacy of Corticorelin ovine triflutate can be decreased when used in combination with Clobetasol propionate.,APRD00876,Corticorelin ovine triflutate,DB09067
The risk or severity of adverse effects can be increased when Balsalazide is combined with Pitolisant.,APRD00141,Pitolisant,DB11642
The serum concentration of Sulfamethoxazole can be increased when it is combined with Dasatinib.,APRD00076,Dasatinib,DB01254
The serum concentration of Glyburide can be increased when it is combined with Dasatinib.,APRD00233,Dasatinib,DB01254
Minocycline may increase the neuromuscular blocking activities of Alcuronium.,APRD00547,Alcuronium,DB13648
The serum concentration of Guanfacine can be increased when it is combined with Dasatinib.,APRD00075,Dasatinib,DB01254
Bethanechol may decrease the anticholinergic activities of Cimetropium.,APRD00051,Cimetropium,DB09271
The serum concentration of Isosorbide Mononitrate can be increased when it is combined with Dasatinib.,APRD00528,Dasatinib,DB01254
Iloprost may increase the hypotensive activities of Trichlormethiazide.,APRD00031,Iloprost,DB01088
The serum concentration of Phylloquinone can be decreased when it is combined with Mineral oil.,DB09528,Mineral oil,DB11057
The serum concentration of Felodipine can be increased when it is combined with Dasatinib.,APRD00374,Dasatinib,DB01254
The risk or severity of adverse effects can be increased when Mycophenolic acid is combined with Pitolisant.,EXPT02208,Pitolisant,DB11642
The serum concentration of Fimasartan can be increased when it is combined with Ketoconazole.,APRD00401,Fimasartan,DB09279
The serum concentration of Methoxyflurane can be increased when it is combined with Dasatinib.,APRD00744,Dasatinib,DB01254
The serum concentration of Irbesartan can be decreased when it is combined with Apalutamide.,APRD00413,Apalutamide,DB11901
The serum concentration of Topotecan can be increased when it is combined with Teriflunomide.,APRD00687,Teriflunomide,DB08880
The serum concentration of Dexketoprofen can be increased when it is combined with Probenecid.,APRD00167,Dexketoprofen,DB09214
The metabolism of Mercaptopurine can be decreased when combined with Sulfasalazine.,APRD01096,Sulfasalazine,DB00795
The therapeutic efficacy of Cerulenin can be increased when used in combination with Menthol.,APRD00703,Menthol,DB00825
Procainamide may increase the QTc-prolonging activities of Delamanid.,APRD00509,Delamanid,DB11637
The serum concentration of Tolterodine can be increased when it is combined with Dasatinib.,APRD00146,Dasatinib,DB01254
The serum concentration of Selegiline can be increased when it is combined with Dasatinib.,APRD00525,Dasatinib,DB01254
The risk or severity of adverse effects can be increased when Carphenazine is combined with Deutetrabenazine.,APRD00848,Deutetrabenazine,DB12161
The serum concentration of Fenofibrate can be increased when it is combined with Dasatinib.,DB09545,Dasatinib,DB01254
The risk or severity of adverse effects can be increased when Thalidomide is combined with Alaproclate.,APRD01251,Alaproclate,DB13233
The therapeutic efficacy of Sipuleucel-T can be decreased when used in combination with Melphalan.,APRD00118,Sipuleucel-T,DB06688
The risk or severity of adverse effects can be increased when Glycine is combined with Memantine.,APRD00221,Glycine,DB00145
Gatifloxacin may increase the QTc-prolonging activities of Delamanid.,APRD00996,Delamanid,DB11637
The metabolism of Barbexaclone can be increased when combined with Rifampicin.,EXPT02777,Barbexaclone,DB09001
The therapeutic efficacy of Lubiprostone can be decreased when used in combination with Palmidrol.,APRD01298,Palmidrol,DB14043
The therapeutic efficacy of Corticorelin ovine triflutate can be decreased when used in combination with Fluocinonide.,APRD00978,Corticorelin ovine triflutate,DB09067
"The serum concentration of Abacavir can be decreased when it is combined with (1S,6R)-3-{[3-(TRIFLUOROMETHYL)-5,6-DIHYDRO[1,2,4]TRIAZOLO[4,3-A]PYRAZIN-7(8H)-YL]CARBONYL}-6-(2,4,5-TRIFLUOROPHENYL)CYCLOHEX-3-EN-1-AMINE.",APRD00216,"(1S,6R)-3-{[3-(TRIFLUOROMETHYL)-5,6-DIHYDRO[1,2,4]TRIAZOLO[4,3-A]PYRAZIN-7(8H)-YL]CARBONYL}-6-(2,4,5-TRIFLUOROPHENYL)CYCLOHEX-3-EN-1-AMINE",DB08044
The serum concentration of Ergoloid mesylate can be increased when it is combined with Dasatinib.,DB01287,Dasatinib,DB01254
The risk or severity of adverse effects can be increased when Ibuprofen is combined with Dibotermin alfa.,APRD00372,Dibotermin alfa,DB11639
The therapeutic efficacy of Picosulfuric acid can be decreased when used in combination with Novobiocin.,APRD00694,Picosulfuric acid,DB09268
The serum concentration of Methotrexate can be increased when it is combined with Benzylpenicillin.,DB11612,Methotrexate,DB00563
The serum concentration of Nitrendipine can be increased when it is combined with Dasatinib.,APRD00421,Dasatinib,DB01254
The risk or severity of adverse effects can be increased when Echothiophate is combined with Epibatidine.,APRD00942,Epibatidine,DB07720
The serum concentration of Praziquantel can be increased when it is combined with Dasatinib.,EXPT02728,Dasatinib,DB01254
Norfloxacin may increase the QTc-prolonging activities of Delamanid.,APRD00469,Delamanid,DB11637
The serum concentration of Methotrexate can be increased when it is combined with Amoxicillin.,APRD00248,Methotrexate,DB00563
The serum concentration of Methotrexate can be increased when it is combined with Azlocillin.,APRD00814,Methotrexate,DB00563
The serum concentration of Oxybutynin can be increased when it is combined with Dasatinib.,APRD00427,Dasatinib,DB01254
"Acetophenazine may decrease the stimulatory activities of 2,5-Dimethoxy-4-ethylthioamphetamine.",APRD00462,"2,5-Dimethoxy-4-ethylthioamphetamine",DB13940
Nabilone may increase the tachycardic activities of Isoprenaline.,APRD00182,Nabilone,DB00486
Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Melatonin.,DB08189,Doxylamine,DB00366
The serum concentration of Cefditoren can be increased when it is combined with Probenecid.,APRD00850,Probenecid,DB01032
The serum concentration of Glipizide can be increased when it is combined with Dasatinib.,APRD00436,Dasatinib,DB01254
The serum concentration of Clonazepam can be increased when it is combined with Dasatinib.,APRD00054,Dasatinib,DB01254
Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Promethazine.,APRD00601,Doxylamine,DB00366
Dihydrotachysterol may increase the arrhythmogenic activities of Digoxin Immune Fab (Ovine).,APRD00143,Digoxin Immune Fab (Ovine),DB00076
"2,5-Dimethoxy-4-ethylthioamphetamine may decrease the sedative activities of Mequitazine.",APRD00386,"2,5-Dimethoxy-4-ethylthioamphetamine",DB13940
Atazanavir may increase the QTc-prolonging activities of Delamanid.,APRD00804,Delamanid,DB11637
The therapeutic efficacy of Sipuleucel-T can be decreased when used in combination with Fludarabine.,APRD00594,Sipuleucel-T,DB06688
The serum concentration of Perhexiline can be increased when it is combined with Dasatinib.,APRD00107,Dasatinib,DB01254
The serum concentration of Brexpiprazole can be increased when it is combined with Diphenhydramine.,DB06975,Brexpiprazole,DB09128
The serum concentration of Atorvastatin can be increased when it is combined with Azithromycin.,APRD00055,Azithromycin,DB00207
The risk or severity of adverse effects can be increased when Palmidrol is combined with Etidronic acid.,APRD00964,Palmidrol,DB14043
The risk or severity of adverse effects can be increased when Licorice is combined with Deslanoside.,APRD00909,Licorice,DB10675
The serum concentration of Tegaserod can be decreased when it is combined with Peginterferon alfa-2b.,APRD00096,Peginterferon alfa-2b,DB00022
Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Vigabatrin.,APRD00282,Doxylamine,DB00366
Diphenoxylate may increase the constipating activities of Ramosetron.,APRD00366,Ramosetron,DB09290
The serum concentration of Digoxin Immune Fab (Ovine) can be decreased when it is combined with Streptomycin.,APRD00412,Digoxin Immune Fab (Ovine),DB00076
The serum concentration of Propafenone can be decreased when it is combined with Orlistat.,APRD00255,Propafenone,DB01182
"2,5-Dimethoxy-4-ethylthioamphetamine may decrease the sedative activities of Emedastine.",APRD00946,"2,5-Dimethoxy-4-ethylthioamphetamine",DB13940
The serum concentration of Pilocarpine can be increased when it is combined with Dasatinib.,APRD00382,Dasatinib,DB01254
Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Benzocaine.,APRD00539,Doxylamine,DB00366
The serum concentration of Primaquine can be increased when it is combined with Dasatinib.,APRD00604,Dasatinib,DB01254
Iloprost may increase the hypotensive activities of Guanoclor.,APRD01027,Guanoclor,DB13779
Iloprost may increase the hypotensive activities of Deserpidine.,APRD00906,Iloprost,DB01088
The risk or severity of adverse effects can be increased when Pentolinium is combined with Nicomorphine.,APRD00038,Nicomorphine,DB13454
The therapeutic efficacy of Butenafine can be increased when used in combination with Menthol.,APRD00833,Menthol,DB00825
The risk or severity of adverse effects can be increased when Licorice is combined with Ouabain.,APRD00135,Licorice,DB10675
The serum concentration of Rilpivirine can be increased when it is combined with Dimethyl sulfoxide.,EXPT01231,Rilpivirine,DB08864
The serum concentration of Hesperetin can be decreased when it is combined with Osimertinib.,APRD00117,Osimertinib,DB09330
The serum concentration of Fluvastatin can be increased when it is combined with Dasatinib.,APRD00346,Dasatinib,DB01254
The serum concentration of Oxamniquine can be decreased when it is combined with Tafenoquine.,APRD01150,Tafenoquine,DB06608
The risk or severity of adverse effects can be increased when Leflunomide is combined with Pitolisant.,APRD00205,Pitolisant,DB11642
The serum concentration of Rosuvastatin can be increased when it is combined with Dasatinib.,APRD00546,Dasatinib,DB01254
The therapeutic efficacy of Flucytosine can be increased when used in combination with Menthol.,APRD00299,Menthol,DB00825
The serum concentration of Pimozide can be increased when it is combined with Dasatinib.,APRD00218,Dasatinib,DB01254
The serum concentration of the active metabolites of Capecitabine can be increased when Capecitabine is used in combination with Metronidazole.,APRD00203,Metronidazole,DB00916
Racepinephrine may decrease the vasoconstricting activities of Arbutamine.,APRD00802,Racepinephrine,DB11124
The serum concentration of Quinacrine can be increased when it is combined with Dasatinib.,APRD00317,Dasatinib,DB01254
The serum concentration of Bupropion can be increased when it is combined with Sertraline.,DB08567,Bupropion,DB01156
The serum concentration of Sibutramine can be increased when it is combined with Dasatinib.,APRD00456,Dasatinib,DB01254
Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Levocabastine.,APRD01069,Doxylamine,DB00366
The serum concentration of Methyprylon can be decreased when it is combined with Peginterferon alfa-2b.,APRD00734,Peginterferon alfa-2b,DB00022
Cyclophosphamide may increase the cardiotoxic activities of Trilostane.,APRD01276,Cyclophosphamide,DB00531
The risk or severity of adverse effects can be increased when Heparin is combined with Azficel-T.,APRD00056,Azficel-T,DB11051
The serum concentration of Miconazole can be increased when it is combined with Dasatinib.,APRD01115,Dasatinib,DB01254
Capreomycin may increase the neuromuscular blocking activities of Colistimethate.,APRD00885,Capreomycin,DB00314
Promethazine can cause a decrease in the absorption of Cefuroxime resulting in a reduced serum concentration and potentially a decrease in efficacy.,APRD00285,Promethazine,DB01069
Papaverine may increase the QTc-prolonging activities of Delamanid.,DB07725,Delamanid,DB11637
The serum concentration of Chlorphenamine can be increased when it is combined with Dasatinib.,DB09440,Dasatinib,DB01254
The serum concentration of Nifedipine can be increased when it is combined with Dasatinib.,APRD00590,Dasatinib,DB01254
The risk or severity of adverse effects can be increased when Trimethaphan is combined with Nicomorphine.,APRD00044,Nicomorphine,DB13454
The serum concentration of Thioproperazine can be increased when it is combined with Atovaquone.,APRD00805,Thioproperazine,DB01622
Amiodarone may increase the QTc-prolonging activities of Delamanid.,APRD00288,Delamanid,DB11637
Iloprost may increase the hypotensive activities of Diazoxide.,APRD00914,Iloprost,DB01088
The serum concentration of Gliclazide can be increased when it is combined with Voriconazole.,APRD00460,Voriconazole,DB00582
The serum concentration of Phenacemide can be decreased when it is combined with Orlistat.,APRD00089,Orlistat,DB01083
The risk or severity of adverse effects can be increased when Ambenonium is combined with Epibatidine.,APRD00771,Epibatidine,DB07720
The serum concentration of Tolbutamide can be increased when it is combined with Voriconazole.,APRD00267,Voriconazole,DB00582
The serum concentration of Dutasteride can be increased when it is combined with Dasatinib.,APRD00385,Dasatinib,DB01254
The therapeutic efficacy of Econazole can be increased when used in combination with Menthol.,APRD00943,Menthol,DB00825
The serum concentration of Bicalutamide can be increased when it is combined with Dasatinib.,DB06284,Dasatinib,DB01254
The serum concentration of Rabeprazole can be increased when it is combined with Aprepitant.,APRD01212,Aprepitant,DB00673
The therapeutic efficacy of Corticorelin ovine triflutate can be decreased when used in combination with Prednicarbate.,APRD01197,Corticorelin ovine triflutate,DB09067
The serum concentration of Proguanil can be increased when it is combined with Dasatinib.,APRD00188,Dasatinib,DB01254
The serum concentration of Pioglitazone can be increased when it is combined with Dasatinib.,APRD00653,Dasatinib,DB01254
The serum concentration of Tiludronic acid can be decreased when it is combined with Acetylsalicylic acid.,APRD01259,Acetylsalicylic acid,DB00945
The therapeutic efficacy of Corticorelin ovine triflutate can be decreased when used in combination with Desoxycorticosterone Pivalate.,APRD00709,Corticorelin ovine triflutate,DB09067
Vancomycin may increase the neuromuscular blocking activities of Doxacurium chloride.,DB01334,Vancomycin,DB00512
The serum concentration of Carvedilol can be increased when it is combined with Dasatinib.,APRD00091,Dasatinib,DB01254
Levofloxacin may increase the QTc-prolonging activities of Delamanid.,DB06085,Delamanid,DB11637
The serum concentration of Sulfinpyrazone can be increased when it is combined with Dasatinib.,APRD00620,Dasatinib,DB01254
The serum concentration of Cefapirin can be increased when it is combined with Probenecid.,APRD00860,Probenecid,DB01032
The serum concentration of Cefadroxil can be increased when it is combined with Probenecid.,APRD00196,Probenecid,DB01032
The therapeutic efficacy of Micafungin can be increased when used in combination with Menthol.,APRD01114,Menthol,DB00825
Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.,APRD00398,Doxylamine,DB00366
Amifostine may increase the hypotensive activities of Risperidone.,APRD00021,Risperidone,DB00734
The risk or severity of adverse effects can be increased when Diclofenamide is combined with Phenytoin.,DB07948,Phenytoin,DB00252
"2,5-Dimethoxy-4-ethylthioamphetamine may decrease the sedative activities of Diphenylpyraline.",APRD00719,"2,5-Dimethoxy-4-ethylthioamphetamine",DB13940
The serum concentration of Methotrexate can be increased when it is combined with Cloxacillin.,EXPT01068,Methotrexate,DB00563
The risk or severity of adverse effects can be increased when Flavoxate is combined with Nicomorphine.,APRD00972,Nicomorphine,DB13454
Nefazodone may increase the QTc-prolonging activities of Delamanid.,APRD00402,Delamanid,DB11637
The serum concentration of Cefprozil can be increased when it is combined with Probenecid.,APRD00461,Probenecid,DB01032
The serum concentration of Brexpiprazole can be increased when it is combined with Desipramine.,DB07682,Brexpiprazole,DB09128
The therapeutic efficacy of Candicidin can be increased when used in combination with Menthol.,APRD00843,Menthol,DB00825
The therapeutic efficacy of Sertaconazole can be increased when used in combination with Menthol.,APRD00305,Menthol,DB00825
Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Thiamylal.,APRD00154,Doxylamine,DB00366
Gemifloxacin may increase the QTc-prolonging activities of Delamanid.,APRD00053,Delamanid,DB11637
The serum concentration of Bupropion can be increased when it is combined with Curcumin.,APRD00621,Curcumin,DB11672
The therapeutic efficacy of Trimetrexate can be increased when used in combination with Menthol.,APRD00268,Menthol,DB00825
Yohimbine may decrease the antihypertensive activities of Bretylium.,APRD00830,Yohimbine,DB01392
The serum concentration of Halothane can be increased when it is combined with Dasatinib.,DB02330,Dasatinib,DB01254
The therapeutic efficacy of Dinoprost Tromethamine can be decreased when used in combination with Palmidrol.,APRD00926,Palmidrol,DB14043
Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Chloroprocaine.,APRD00404,Doxylamine,DB00366
The serum concentration of Brentuximab vedotin can be increased when it is combined with Terazosin.,APRD00667,Brentuximab vedotin,DB08870
The serum concentration of Methotrexate can be increased when it is combined with Amdinocillin.,APRD00789,Methotrexate,DB00563
The therapeutic efficacy of Menthol can be decreased when used in combination with Calcium Chloride.,APRD00840,Menthol,DB00825
Ofloxacin may increase the QTc-prolonging activities of Delamanid.,APRD00502,Delamanid,DB11637
