drugbank-id,form,route,strength
APRD00036,"Capsule, extended release",Oral,0.4 mg
APRD00078,"Powder, for solution",Intravenous,75 mg
DB05563,Tablet,Sublingual,15 μg
APRD00681,"Tablet, film coated",Oral,100 mg
DB04635,Tablet,Oral,150 mg/1
APRD00918,Tablet,Oral,50 mg
APRD00753,Liquid,Ophthalmic,0.03 %
APRD01149,"Powder, for solution",Intravenous,10 g/100mL
DB05816,Solution,Subcutaneous,10 mg
DB00715,Tablet,Oral,40 mg
APRD01137,"Aerosol, metered",Respiratory (inhalation),2 mg
APRD00679,Kit,,
APRD00781,Tablet,Oral,10 mg
APRD00810,"Tablet, extended release",Oral,
APRD00639,Capsule,Oral,400 mg
DB05342,Liquid,Infiltration,2 %
APRD00560,Solution,Oral,1 mg/mL
APRD00062,Liquid,Intramuscular; Intravenous,20 mg
APRD01030,Cream,Topical,37.5 mg/g
APRD01017,Tablet,Oral,
APRD00498,Capsule,Oral,50 mg/1
APRD00153,Patch,Transdermal,0.2 mg
APRD01221,Solution,Intravenous,10 mg
DB08630,Tablet,Oral,500 mg
APRD00593,Tablet,Oral,60 mg
APRD00806,Liquid,Intravenous,10 mg
APRD01193,"Powder, for solution",Intramuscular; Intravenous; Subcutaneous,1 g
APRD00187,"Tablet, orally disintegrating",Oral,4 mg/1
APRD01131,Gel,Topical,1 %
APRD00363,"Tablet, delayed release",Oral,
APRD00354,"Film, soluble",Oral,25 mg/1
EXPT02625,"Powder, for solution",Intramuscular; Intravenous,300 mg
APRD00145,"Tablet, film coated",Oral,50 mg/1
DB07886,Spray,Topical,10 g/L
EXPT02246,Irrigant,Urethral,
APRD00989,Solution,Intravenous,529 mg
APRD00265,"Tablet, multilayer, extended release",Oral,600 mg/1
APRD00534,Tablet,Oral,200 mg/1
APRD00904,"Powder, for solution",Intramuscular; Intraperitoneal; Intravenous; Subcutaneous,500 mg
APRD00616,"Patch, extended release",Transdermal,1 mg/3d
APRD00765,"Suspension, extended release",Oral,4 mg/5mL
APRD00067,"Capsule, gelatin coated",Oral,300 mg/1
APRD00180,Kit,Topical,
APRD00043,Solution / drops,Ophthalmic,.5 mg/mL
APRD00645,Tablet,Oral,10 mg/1
APRD00212,Liquid,Respiratory (inhalation),1 mL/mL
APRD00962,Tablet,Oral,250 mg/1
APRD00362,Gel,Topical,.025 %
APRD00722,Liquid,Topical,2 %
APRD00518,Solution,Intravenous,20 mg
APRD00444,"Tablet, film coated",Oral,75 mg/1
APRD00572,Capsule,Oral,500 mg/1
EXPT02153,"Injection, powder, for solution",Intravenous,
APRD01322,"Powder, for solution",Nasogastric; Oral,
APRD00579,"Injection, powder, for solution",Intravenous,4.3 mg/mL
APRD00002,Tablet,Oral,5 mg
APRD00289,"Aerosol, metered",Respiratory (inhalation),
APRD01112,Capsule,Oral,250 mg/1
APRD00049,"Powder, for solution",Intravenous,
APRD00310,Solution,Ophthalmic,7 mg/mL
APRD00785,Cream,Topical,330 mcg
APRD00737,Capsule,Oral,
APRD01081,Lotion,Topical,.005 g/mL
APRD00239,Capsule,Oral,50 mg
APRD00304,Solution,Intravenous,5 mg
APRD01308,Suspension,Oral,60 mg
APRD01133,Tablet,Oral,500 mg
APRD00099,"Tablet, film coated",Oral,15 mg/1
APRD01190,Solution,Ophthalmic,
APRD00177,"Tablet, film coated",Oral,15 mg/1
APRD00311,Tablet,Vaginal,10 ug/1
APRD00730,Capsule,Oral,250 mg/1
DB05347,Capsule,Oral,200 mg
DB08298,"Tablet, delayed release",Oral,
APRD00991,Solution,Intravenous,469 mg
APRD01178,Tablet,Oral,
APRD00689,Cream,Vaginal,2 %
APRD00549,Tablet,Oral,50 mg/1
DB08518,"Tablet, delayed release",Oral,500 mg/1
APRD00420,Tablet,Oral,8 mg/1
APRD00214,Cream,Topical,
APRD01246,Gel,Topical,0.1 %
APRD00969,"Injection, solution",Intravenous,10 mg/mL
APRD00726,Solution,Intravenous,500 mcg
APRD00886,Suspension,Auricular (otic),
APRD00113,Tablet,Oral,
APRD00121,"Tablet, extended release",Oral,400 mg
APRD00522,Solution / drops,Ophthalmic,5 mg
APRD01031,Tablet,Oral,1.25 mg
APRD00287,Solution / drops,Ophthalmic,5 mg/mL
APRD00725,Tablet,Oral,2 mg
DB01693,Liquid,Intravenous,.1 g/mL
DB08343,Tablet,Oral,100 mg
DB05564,Lozenge,Oral; Transmucosal,600 ug/1
APRD00529,Capsule,Oral,5 mg/1
APRD01606,Jelly,Vaginal,
APRD00210,Syrup,Oral,2 mg
DB05893,"Injection, emulsion",Intravenous,10 mg/mL
EXPT00604,"Capsule, extended release",Oral,500 mg
APRD00071,Tablet,Oral,5 mg
APRD00767,Tablet,Oral,500 mg/1
APRD00760,Kit,Oral,
APRD01604,Kit,,
APRD01136,Suspension / drops,Ophthalmic,50 mg/mL
APRD00987,Powder,Oral,3 g
DB07699,Liquid,Intramuscular; Intravenous,10 mg
DB08616,"Tablet, film coated",Oral,5 mg/1
APRD00243,"Powder, for solution",Oral,75 mg
APRD00432,Kit; tablet,Buccal; Oral,
APRD00832,Syrup,Oral,
APRD00275,Tablet,Oral,2 mg/1
APRD00877,Cream,Topical,.001 g/g
APRD01267,Tablet,Oral,500 mg/1
APRD01023,Pellet,Ophthalmic,5 mg/1
APRD00122,Solution,Intravenous,250 mg
APRD01152,"Capsule, gelatin coated",Oral,30 mg/1
APRD00039,Kit,Oral,
APRD01132,Solution,Intramuscular; Intravenous; Subcutaneous,20 mg
APRD00982,Cream,Topical,.5 mg/g
APRD00896,"Capsule, delayed release pellets",Oral,75 mg/1
APRD01067,Tablet,Oral,50 mg
APRD00429,Syrup,Oral,2 mg
APRD00331,"Powder, for solution",Intravenous,10 mg
APRD00634,"Tablet, film coated, extended release",Oral,120 mg/1
APRD00557,Capsule,Oral,180 1/1
APRD00764,Tablet,Oral,2 mg/1
DB05277,"Powder, for solution",Topical,20 %
APRD00867,Powder,Topical,1 %
APRD00508,Tablet,Oral,250 mg/1
APRD01171,Tablet,Oral,250 mg
APRD00197,Solution,Oral,20 mg/5mL
DB06895,"Tablet, film coated",Oral,500 mg/1
APRD00699,"Tablet, orally disintegrating",Oral,11.85 mg/1
APRD00254,Capsule,Oral,300 mg
EXPT01437,Ointment,Topical,.3 mg/g
APRD00759,Tablet,Oral,25 mg/1
APRD00541,Tablet,Oral,10 mg
APRD00629,Tablet,Oral,100 mg/1
DB04507,Solution,Ophthalmic,22.3 mg/mL
APRD00589,Tablet,Oral,5 mg/1
APRD01302,"Injection, solution",Intravenous,20 mg/100mL
APRD01078,Suspension / drops,Ophthalmic,
APRD01005,Suspension,Oral,
APRD00388,Liquid,Intramuscular,20 mg
APRD00950,Tablet,Oral,300 mg
DB02439,"Tablet, sugar coated",Oral,2 mg/1
APRD00545,Liquid,Topical,20 %
APRD00226,"Tablet, film coated",Oral,200 mg/1
APRD00721,Tablet,Oral,
APRD00523,"Tablet, film coated",Oral,
APRD00880,Tablet,Oral,50 mg/1
APRD00455,Tablet,Sublingual,5 mg/1
DB02782,Kit; tablet,Oral,
APRD00294,Tablet,Oral,5 mg
APRD00249,Gel,Topical,.012 g/60g
APRD01002,Injection,Subcutaneous,10 mg/.4mL
APRD00917,Cream,Vaginal,.01 %
APRD00491,Tablet,Oral,500 mg
APRD00817,Solution / drops,Ophthalmic; Topical,.4 %
APRD01053,"Capsule, gelatin coated",Oral,
APRD00822,Solution,Intradermal,0.000060 m
APRD01220,Suspension,Ophthalmic,1 %
APRD00313,Tablet,Oral,0.25 mg
APRD00738,Gel,Topical,143 g/238g
APRD01216,"Powder, for solution",Intravenous,5 mg
DB02392,"Powder, for solution",Oral,4 g
APRD00251,"Powder, for solution",Intravenous,50 mg
APRD00481,"Film, soluble",Oral,8 mg/1
DB06863,Solution,Ophthalmic,0.01 %
APRD00344,"Tablet, film coated",Oral,4 mg/1
APRD00080,Solution,Nasal,40 mg/mL
APRD00136,Tablet,Oral,200 mg
APRD00004,Capsule,Oral,50 mg
APRD01165,Solution,Intravenous,5 mcg
APRD01260,"Tablet, film coated",Oral,250 mg/1
APRD00439,Tablet,Oral,2 mg/1
APRD00741,Tablet,Oral,25 mg
APRD00787,Syrup,Oral,10 mg
APRD00631,Cream,Topical,
APRD00927,Gel,Vaginal,2 mg
APRD00169,Tablet,Oral,6.25 mg
APRD01232,"Powder, for solution",Intramuscular,400 mg
APRD01061,Solution,Ophthalmic,0.25 mg
APRD00670,"Tablet, orally disintegrating",Sublingual,
APRD00213,Kit,Oral,
APRD00651,Capsule,Oral,10 mg/1
APRD00296,"Tablet, coated",Oral,10 mg/1
APRD00809,"Powder, for suspension",Subcutaneous,100 mg
DB05379,Tablet,Oral,
APRD00883,"Tablet, film coated",Oral,625 mg/1
APRD01306,Solution,Oral,100 mg/mL
APRD00610,Tablet,Oral,50 mg
APRD00747,Tablet,Oral,10 mg
APRD01158,Solution,Nasal,0.05 %
DB01398,Patch,Topical,20 mg/mL
APRD00919,"Tablet, extended release",Oral,75 mg
APRD00277,"Aerosol, metered",Oral; Respiratory (inhalation),25 mcg
APRD01090,Capsule,Oral,50 mg/1
APRD00562,Tablet,Oral,.75 mg
EXPT00475,Tablet,Oral,325 mg/325mg
APRD00654,Solution,Intramuscular,50 mg
APRD00505,Tablet,Oral,600 mg/1
APRD00349,"Tablet, film coated, extended release",Oral,
EXPT01940,"Tablet, sugar coated",Oral,
APRD00220,Tablet,Oral,2.5 mg
APRD00008,"Tablet, orally disintegrating",Oral,5 mg/1
APRD00232,Solution,Intramuscular; Intravenous,50 mg
DB09475,"Capsule, extended release",Oral,50 mg/1
APRD00569,Kit,,
APRD00466,"Powder, for solution",Intravenous,150 mg
APRD00342,"Powder, for solution",Intramuscular; Intravenous; Rectal,40 mg
APRD00678,Tablet,Oral,
APRD01094,Liquid,Infiltration,30 mg
APRD00411,"Capsule, gelatin coated",Oral,5 mg/1
APRD00831,Solution / drops,Ophthalmic,0.9 mg/ml
APRD00012,Solution / drops,Ophthalmic,10 mg/mL
APRD00960,Liquid,Intracavitary; Parenteral,380 mg
APRD01247,"Tablet, multilayer",Oral,
APRD00324,"Tablet, orally disintegrating",Oral,5 mg
APRD01106,Tablet,Oral,
APRD00580,Tablet,Oral,1 mg/1
APRD00124,"Powder, for solution",Intravenous,0.5 mg
APRD01323,"Aerosol, foam",Topical,1.44 g/70g
APRD00813,Kit,,
APRD00619,Tablet,Oral,10 mg/1
APRD01327,Liquid,Ophthalmic,
APRD00360,Tablet,Oral,75 mg
APRD00483,"Tablet, film coated",Oral,400 mg/1
APRD00691,Kit,,
APRD00893,Liquid,Ophthalmic,1 %
APRD01213,"Tablet, film coated",Oral,8 mg/1
APRD00406,Injection,Intravenous,1 mg/mL
APRD00140,"Capsule, gelatin coated",Oral,40 mg/1
APRD00641,Powder,Respiratory (inhalation),
APRD00924,Suppository,Rectal,50 mg
DB06583,Capsule,Respiratory (inhalation),
APRD00499,"Injection, powder, lyophilized, for suspension",Intravenous,
APRD00085,Solution,Intravenous,40 mg
APRD00321,"Patch, extended release",Transdermal,9.5 mg/1
APRD00144,"Tablet, sugar coated",Oral,25 mg/1
APRD00030,"Tablet, film coated",Oral,600 mg/1
APRD01105,Cream,Topical,168 mg
APRD00811,Tablet,Oral,50 mg
APRD00013,Suppository,Rectal,
APRD00808,Capsule,Oral,3 mg
APRD00015,Cream,Topical,
DB05847,"Injection, powder, for solution",Intravenous,50 mg
APRD00270,"Tablet, film coated",Oral,2.5 mg/1
APRD00092,Capsule,Oral,
APRD00553,"Aerosol, metered",Oral,45 ug/1
APRD00336,Ointment,Ophthalmic,40 mg
EXPT01540,Gel,Ophthalmic,1.5 mg/g
APRD00023,"Tablet, film coated",Oral,1000 mg
APRD01066,"Tablet, film coated",Oral,2.5 mg/1
APRD01262,Ointment,Vaginal,300 mg/1
APRD00664,"Tablet, film coated",Oral,2 mg/1
DB05335,Kit,,
APRD00944,Liquid,Intramuscular; Intravenous,10 mg
EXPT02271,"Capsule, gelatin coated",Oral,250 mg/1
APRD00872,"Tablet, coated",Oral,90 mg/1
APRD00876,Ointment,Topical,.5 mg/g
APRD00141,"Tablet, film coated",Oral,1.1 g/1
APRD00076,Tablet,Oral,500 mg
APRD00233,"Tablet, film coated",Oral,
APRD00547,"Capsule, extended release",Oral,90 mg/1
APRD00075,"Tablet, extended release",Oral,4 mg
APRD00051,Liquid,Subcutaneous,5 mg
APRD00528,"Tablet, coated",Oral,20 mg/1
DB09528,Solution,Intramuscular; Intravenous; Subcutaneous,2 mg
APRD00374,"Tablet, extended release",Oral,5 mg
EXPT02208,"Tablet, delayed release",Oral,360 mg/1
APRD00795,Paste,Oral,5 %
APRD00401,Gel,Topical,20 mg/g
APRD00744,Solution,Respiratory (inhalation),99.9 %
APRD00413,"Tablet, film coated",Oral,75 mg
APRD00687,"Injection, solution, concentrate",Intravenous,4 mg/4ml
APRD00167,Tablet,Oral,
APRD01096,Suspension,Oral,20 mg/mL
APRD00509,Liquid,Intramuscular; Intravenous,100 mg
APRD00146,"Tablet, film coated",Oral,2 mg/1
APRD00525,"Tablet, orally disintegrating",Oral,1.25 mg/1
DB09545,Tablet,Oral,145 mg/1
APRD01251,Capsule,Oral,50 mg/1
APRD00118,Kit,Intravenous,
APRD00221,Tablet,Oral,5.0 mg
APRD00996,Solution / drops,Ophthalmic,5 mg/mL
EXPT02777,"Tablet, sugar coated",Oral,
APRD01298,"Capsule, gelatin coated",Oral,8 ug/1
APRD00978,Jelly,Topical,.5 mg
APRD00216,"Tablet, film coated",Oral,300 mg/1
DB01287,Tablet,Oral,1 mg
APRD00372,"Tablet, film coated",Oral,
DB11612,"Powder, for solution",Intramuscular; Intravenous; Topical,1000000 unit
APRD01266,Tablet,Oral,400 mg
APRD00942,"Powder, for solution",Ophthalmic,6.25 mg
EXPT02728,Tablet,Oral,600 mg/1
APRD00469,Solution,Ophthalmic,3 mg
APRD00248,"Powder, for solution",Oral,
APRD00427,"Tablet, extended release",Oral,15 mg
APRD00182,"Aerosol, metered",Respiratory (inhalation),0.25 %
DB08189,Tablet,Oral,
APRD00850,"Tablet, film coated",Oral,400 mg/1
APRD00436,"Tablet, extended release",Oral,5 mg/1
APRD00054,Tablet,Oral,0.25 mg
APRD00601,Suppository,Rectal,25 mg/1
APRD00143,Capsule,Oral,.125 mg
APRD00804,Powder,Oral,50 mg/1
APRD00594,Liquid,Intravenous,25 mg
DB06975,Liquid,Oral,50 mg
APRD00055,Tablet,Oral,80 mg
APRD00964,Kit; tablet,Oral,
APRD00282,For solution,Oral,500 mg/1
APRD00366,Tablet,Oral,
APRD00412,Liquid,Intramuscular,1 g
APRD00255,Capsule,Oral,120 mg
APRD00946,Solution / drops,Ophthalmic,.5 mg/mL
APRD00382,Solution,Ophthalmic,
APRD00539,Gel,Dental,20 g/100g
APRD00604,"Tablet, film coated",Oral,26.3 mg/1
APRD01027,Solution,Respiratory (inhalation),20 μg/ml
APRD00833,Cream,Topical,1 g/100g
EXPT01231,Solution,Intravesical,500 mg
APRD00346,"Tablet, extended release",Oral,80 mg
APRD00205,"Tablet, film coated",Oral,15 mg
APRD00546,"Tablet, coated",Oral,5 mg/1
APRD00299,Capsule,Oral,250 mg/1
APRD00218,Tablet,Oral,4 mg
APRD00203,Tablet,Oral,500 mg
DB08567,Capsule,Oral,50 mg
APRD00456,Capsule,Oral,15 mg
APRD01069,Spray; suspension,Nasal,0.5 mg
APRD00056,Solution,Intravenous; Subcutaneous,1000 unit
APRD01115,Powder,Topical,20.6 mg/g
APRD00885,Capsule,Respiratory (inhalation),1662500 IU
APRD00285,"Powder, for solution",Intramuscular; Intravenous,750 mg
DB07725,Liquid,Intramuscular; Intravenous; Subcutaneous,65 mg
DB09440,Syrup,Oral,
APRD00590,"Tablet, film coated, extended release",Oral,90 mg/1
APRD00805,Tablet,Oral,250 mg
APRD00288,Tablet,Oral,200 mg
APRD00914,Suspension,Oral,50 mg
APRD00460,Tablet,Oral,80 mg
APRD00535,Liquid,Topical,
APRD00267,Tablet,Oral,500 mg/1
APRD00385,"Capsule, extended release",Oral,
APRD00943,"Aerosol, foam",Topical,10 mg/g
DB06284,Tablet,Oral,50 mg
APRD01212,"Tablet, delayed release",Oral,20 mg/1
APRD01197,Cream,Topical,1 mg/g
APRD00188,Tablet,Oral,100 mg
APRD00653,Tablet,Oral,45 mg
DB01334,Liquid,Intravenous,1 mg
APRD00091,Tablet,Oral,6.25 mg
DB06085,Tablet,Oral,750 mg
APRD00620,Tablet,Oral,200 mg
APRD00196,Capsule,Oral,500 mg
APRD01114,"Powder, for solution",Intravenous,50 mg
APRD00398,Cream,Topical,5 %
APRD00021,"Powder, for solution",Intravenous,500 mg
DB07948,Tablet,Oral,50 mg/1
APRD00719,Tablet,Oral,
EXPT01068,"Granule, for solution",Oral,125 mg
APRD00972,Tablet,Oral,200 mg
APRD00402,Tablet,Oral,50 mg
APRD00461,Tablet,Oral,250 mg
DB07682,"Tablet, sugar coated",Oral,75 mg/1
APRD00305,Cream,Topical,20 mg/g
APRD00053,Tablet,Oral,320 mg
APRD00621,"Tablet, extended release",Oral,300 mg
APRD00268,"Powder, for solution",Intravenous,25 mg
APRD00830,Solution,Intramuscular; Intravenous,50 mg
DB02330,Liquid,Respiratory (inhalation),99.9 %
APRD00926,Solution,Intra-amniotic,5 mg
APRD00404,"Injection, solution",Epidural; Infiltration; Intracaudal; Perineural,30 mg/mL
APRD00667,Tablet,Oral,5 mg
APRD00840,Aerosol,Oral,
APRD00502,"Tablet, film coated",Oral,400 mg/1
APRD00155,Tablet,Oral,50 mg/1
APRD00040,Solution,Oral,10 mg
APRD00695,Capsule,Oral,50 mg
APRD00171,Solution,Intravenous,10 mg
APRD01007,Tablet,Oral,25 mg
APRD00603,Tablet,Oral,300 mg
APRD00026,"Injection, solution",Intramuscular; Intravenous,333 mg/mL
APRD00097,"Tablet, extended release",Oral,100 mg
APRD00184,Elixir,Oral,
APRD00683,"Tablet, film coated",Oral,20 mg/1
APRD00061,Tablet,Oral,
APRD00126,"Injection, solution",Intravenous,1 mg/mL
DB08417,Liquid,Topical,5 mg
APRD00007,"Injection, solution",Intravenous,50 mg/mL
APRD00261,"Capsule, extended release",Oral,425 mg/1
APRD00025,"Tablet, orally disintegrating",Sublingual,
APRD00418,Tablet,Oral,10 mg
APRD00981,Tablet,Oral,5 mg
APRD00663,Tablet,Oral,1 mg
APRD00871,Solution,Topical,
APRD00907,Liquid,Respiratory (inhalation),240 mL/240mL
APRD00566,Capsule,Oral,300 mg
APRD00158,"Tablet, extended release",Oral,7.5 mg/1
APRD00772,Tablet,Oral,200 mg
APRD00475,Suspension,Ophthalmic,
APRD00129,Tablet,Oral,50 mg/1
APRD00625,Capsule,Oral,140 mg/1
APRD00164,Tablet,Oral,
APRD00356,Tablet,Oral,3.75 mg
APRD00176,Solution,Intramuscular; Intravenous,3 mg
APRD00622,Tablet,Oral,2.5 mg/1
APRD01217,"Tablet, film coated",Oral,150 mg/1
APRD01068,"Tablet, for suspension",Oral,750 mg/1
APRD00301,Tablet,Oral,80 mg
APRD00371,Liquid,Intravenous,2 mg
APRD00974,Solution,Intravenous,0.1 mg
APRD00292,"Capsule, gelatin coated",Oral,100 mg/1
APRD00165,Solution,Ophthalmic,0.5 %
APRD00181,Tablet,Oral,500 mg
APRD00395,"Powder, for solution",Intravenous,1 g
APRD00985,Solution,Intravenous,1 g
APRD00668,Solution / drops,Ophthalmic,3 mg/mL
APRD00955,Tablet,Oral,2 mg
DB07774,Tablet,Oral,5 mg
APRD00016,Pellet,Oral,
APRD00419,Tablet,Oral,250 mg
APRD00901,"Injection, suspension",Intravenous,250 mg/5mL
APRD01218,Tablet,Oral,550 mg
APRD00493,Cream,Topical,
APRD00442,"Tablet, extended release",Oral,9 mg/1
APRD00329,"Tablet, extended release",Oral,350 mg
APRD00675,Tablet,Oral,150 mg
APRD00068,Solution,Intravenous; Subcutaneous,100 mg
APRD01119,Solution,Intravenous,2 mg/mL
DB05526,"Injection, solution, concentrate",Intravenous,6 mg/ml
APRD00623,Capsule,Oral,200 mg
APRD00665,Syrup,Oral,1 mg
APRD00674,Ointment,Auricular (otic); Ophthalmic,
EXPT01107,"Tablet, extended release",Oral,
APRD00219,Liquid,Respiratory (inhalation),250 mL/250mL
APRD00638,"Tablet, orally disintegrating",Oral,30 mg
APRD00949,"Injection, powder, lyophilized, for solution",Intravenous,500000 ng/10mL
APRD00293,Tablet,Oral,600 mg
DB07600,Tablet,Oral,50 mg
APRD00258,Tablet,Oral,5 mg
APRD00701,Tablet,Oral,10 mg/1
APRD00932,Solution,Intravenous,80 mg
DB01249,Solution,Intra-arterial; Intravenous,652 mg
DB01250,"Capsule, gelatin coated",Oral,250 mg/1
DB01253,Tablet,Oral,.2 mg
DB01254,"Tablet, film coated",Oral,80 mg
DB01255,"Tablet, chewable",Oral,60 mg/1
DB01256,Ointment,Topical,1 %
DB01257,Solution,Intravenous,10 mg
DB02584,"Tablet, film coated",Oral,250 mg
DB01260,"Aerosol, foam",Topical,0.05 %
DB07214,"Tablet, film coated",Oral,50 mg
DB01262,Kit,,
DB01263,"Tablet, delayed release",Oral,100 mg
EXPT00002,"Tablet, film coated",Oral,800 mg/1
DB01265,"Tablet, film coated",Oral,600 mg/1
DB01266,Ointment,Topical,150 mg/g
DB01267,"Injection, suspension, extended release",Intramuscular,75 mg
DB07417,Capsule,Oral,50 mg
DB01269,Solution,Intravenous,400 mg
DB01270,Solution,Intravitreal,10 mg
DB01271,"Solution, concentrate",Intravenous,6 mg/3mL
DB01272,"Powder, for solution",Intravenous,50 mg
DB01273,Tablet,Oral,1.0 mg
DB01274,Solution,Respiratory (inhalation),15 ug/2mL
DB01275,Tablet,Oral,
DB01276,Solution,Subcutaneous,250 mcg
DB01277,"Injection, solution",Subcutaneous,40 mg/4mL
DB01278,Injection,Subcutaneous,1000 ug/mL
DB01279,Solution,Intravenous,5 mg/5mL
DB01280,Solution,Intravenous,5 mg
DB01281,Solution,Subcutaneous,125 mg
DB01282,Liquid,Intravenous,100 mcg
DB01284,Suspension,Intramuscular,1 mg
DB09547,Injection,Intramuscular; Subcutaneous,80 [USP'U]/mL
DB01288,Solution,Oral; Respiratory (inhalation),
DB01291,"Aerosol, metered",Respiratory (inhalation),250 mcg
DB01402,Liquid,Oral,
EXPT01563,Patch,Topical,
DB01299,Tablet,Oral,
DB01301,"Powder, for solution",Intra-articular; Intraperitoneal; Intrapleural; Intrathecal; Intravenous,275 mg
DB01303,Tablet,Oral,200 mg
DB01306,"Injection, solution",Subcutaneous,
DB01307,Solution,Subcutaneous,100 unit
DB01309,Solution,Subcutaneous,100 unit
DB01319,"Tablet, film coated",Oral,700 mg
DB01320,"Injection, solution",Intramuscular; Intravenous,50 mg/mL
DB01323,Capsule,Oral,300 mg
DB01326,"Powder, for solution",Intravenous,2 g
DB01327,"Powder, for solution",Intravenous,500 mg
DB01330,"Injection, solution",Intravenous,2 g/50mL
EXPT00897,"Powder, for solution",Intravenous,10 g
DB01332,"Powder, for solution",Intramuscular; Intravenous,2 g
DB01337,Liquid,Intravenous,2 mg
DB01339,"Powder, for solution",Intravenous,20.00 mg
DB01340,Tablet,Oral,5.0 mg
DB06658,Suspension,Oral; Rectal,15 g
DB01345,"Powder, for solution",Oral,
DB01351,Capsule,Oral,
DB01356,Syrup,Oral,8 mmol
DB01357,Tablet,Oral,
DB01362,For solution,Oral,4.5 g/1
DB01363,Capsule,Oral,10.8 mg
DB01364,Liquid,Infiltration; Subcutaneous,
DB01365,Liquid,Intramuscular; Intravenous,30 mg
DB01366,"Aerosol, metered",Respiratory (inhalation),10 mcg
EXPT02758,Tablet,Oral,1.0 mg
DB01369,"Powder, for solution",Intravenous,
DB11314,Powder,Topical,4866 mg/4.866g
DB01373,Tablet,Oral,500 mg
DB01377,"Capsule, liquid filled",Oral,
DB01378,"Powder, for solution",Oral,
DB01380,Tablet,Oral,5 mg
DB01390,"Granule, for solution",Nasal,
DB01392,Tablet,Oral,6 mg
DB08380,Tablet,Oral,200 mg
DB01394,Ointment,Topical,
DB01395,Kit,Oral,
DB01396,Tablet,Oral,.1 mg
DB01397,"Tablet, coated",Oral,467 mg/1
DB01399,"Tablet, film coated",Oral,750 mg/1
DB01400,Tablet,Oral,15 mg
DB01401,Liquid,Oral,500 mg/5mL
DB01403,Liquid; solution / drops,Oral,40 mg
DB01404,Liquid,Topical,1 g/100mL
DB01406,Capsule,Oral,50 mg/1
DB01409,"Spray, metered",Respiratory (inhalation),
DB01410,"Aerosol, metered",Nasal,37 ug/1
DB01413,"Powder, for solution",Intramuscular; Intravenous,1 g
DB01415,Suspension,Oral,180 mg/5mL
DB01416,Tablet,Oral,100 mg
DB01418,Tablet,Oral,4 mg
DBSALT001032,Liquid,Intramuscular,100 mg
DB01421,Capsule,Oral,250 mg/1
DB01427,Liquid,Intravenous,5 mg
DB01428,Liquid,Topical,.05 g/100g
DB01432,Tablet,Oral,1 g
DB01435,Solution,Topical,
DB01436,Liquid,Oral,.2 mcg
DB01438,Tablet,Oral,99.5 mg/1
DB01495,Capsule,Oral,
DB01501,Tablet,Oral,
DB01551,Syrup,Oral,
DB01558,Tablet,Oral,6 mg
DB01563,Syrup,Oral,500 mg
DB01574,Tablet,Oral,600 mg
DB01575,Cream,Topical,15 g/100mL
DB01576,Liquid,Oral,5 mg/5mL
DB01577,Tablet,Oral,5 mg/1
DB01579,Tablet,Oral,35 mg/1
DB01580,Tablet,Oral,80 mg
DB01581,Tablet,Oral,
DB01582,Tablet,Oral,
DB01586,Capsule,Oral,250 mg
DB01587,Capsule,Oral,30 mg
DB01589,Tablet,Oral,15 mg/1
DB01590,Tablet,Oral,.75 mg/1
APRD00168,"Tablet, film coated",Oral,5 mg/1
DB01592,"Tablet, coated",Oral,
DB01593,Lozenge,Oral,
DB01595,Tablet,Oral,5 mg
EXPT00918,"Injection, powder, for solution",Intravenous,
DB01598,"Injection, powder, for solution",Intravenous,
DB01599,Tablet,Oral,250 mg
DB01600,Tablet,Oral,300 mg
EXPT00388,"Tablet, film coated",Oral,
DB01602,Tablet,Oral,800 mg
DB01604,Tablet,Oral,500 mg
DB01605,Tablet,Oral,185 mg
EXPT03012,"Injection, powder, lyophilized, for solution",Intravenous,
DB01607,"Powder, for solution",Intravenous,
DB01608,Solution / drops,Oral,10 mg
DB01609,"Tablet, film coated",Oral,90 mg/1
DB01610,Tablet,Oral,450 mg/1
DB01611,Tablet,Oral,200 mg
DB01612,Liquid,Respiratory (inhalation),.3 ml
DB01618,Tablet,Oral,5 mg/1
DB01620,"Granule, for solution",Oral,
DB01621,Solution,Intramuscular,50 mg
DB01622,Tablet,Oral,10 mg
DB01623,Capsule,Oral,5 mg/1
DB08920,Solution,Intramuscular,50 mg
DB01625,Tablet,Oral,
DB01627,"Injection, solution",Intramuscular; Intravenous; Subconjunctival,300 mg/mL
DB09391,Spray,Oral,
EXPT02802,"Tablet, film coated",Oral,500 μg
DB06593,Kit,Oral,
DB13159,Aerosol,Topical,
EXPT00827,Liniment,Percutaneous; Transdermal,
EXPT01246,"Powder, for solution",Intravenous,
EXPT02501,"Capsule, gelatin coated",Oral,
DB11078,Solution / drops,Ophthalmic,.06 mg/mL
EXPT00794,Liquid,Topical,
DB11280,Solution,Intraperitoneal,
EXPT01461,"Tablet, coated",Oral,
DB11103,"Capsule, gelatin coated",Oral,
EXPT03093,"Capsule, delayed release pellets",Oral,
EXPT00772,Shampoo,Topical,1 g/100g
EXPT02131,Suspension,Topical,
DB04402,Gel,Topical,65 %
EXPT01033,"Tablet, coated",Oral,
EXPT02486,Lotion,Topical,
EXPT01913,Liquid,Respiratory (inhalation),
DB08850,Kit,,
EXPT02902,Capsule,Oral,100 mg/1
