coder,drugbank-id,language,synonym
,APRD00067,,Etodolsäure
,APRD00180,,Propitocaine
,APRD00043,,Epinastinum
,APRD00645,,Tranylcyprominum
,APRD00212,,Isofluranum
,APRD00962,,Etotoina
,APRD00362,,Vitamin A acid
,APRD00722,,Hexaclorofeno
,APRD00518,,Dolasetronum
,APRD00444,,clopidogrelum
,APRD00572,,Tsiklomitsin
,EXPT02153,,Meropenemum trihydricum
,APRD01322,,Sylvite
,APRD00579,,Camptothecin-11
,APRD00002,,USAF el-30
,APRD00289,,Mometasonum
,APRD01112,,α-MPT
,APRD00049,,MM 14151
,APRD00820,,BZQ
,APRD00310,,Opatanol
,APRD01018,,Hydrocortamatum
,APRD00785,,Prostaglandin e1
,APRD00737,,N-methyl quinuclidinyl benzilate
,APRD01081,,"O,O-dimethyldithiophosphate diethylmercaptosuccinate"
,APRD00239,,trans-Etoposide
,APRD01020,,Metforylthiadiazin
,APRD00304,,Tirofibanum
,APRD01308,,Oxcarbazepinum
,APRD00339,,Propiomazinum
,APRD01305,,Roxitromicina
,APRD01133,,Nalidixinsäure
,APRD00099,,Phenelzinum
,APRD01190,,Polymyxinum B
,APRD00177,,Propanthelini Bromidum
,APRD00311,,Estradiolum
,APRD00730,,"N-2,3-Xylylanthranilic acid"
,APRD00559,,Marimastat
,DB05347,,Acycloguanosine
,DB08298,,Naproxenum
,APRD00991,,Meglumine gadopentetate
,APRD01178,,Perindoprilum
,APRD00130,,Uramustine
,APRD00689,,Tripelennaminum
,APRD01011,,Haloproginum
,APRD00549,,Primidonum
,DB08518,,Sulfasalazinum
,APRD00170,,Tolazolinum
,APRD01246,,Tazarotenum
,APRD00969,,Fenoldopamum
,APRD01009,,Halazepamum
,APRD00726,,N-(1-(2-(4-Ethyl-5-oxo-2-tetrazolin-1-yl)ethyl)-4-(methoxymethyl)-4-piperidyl)propionanilide
,APRD00886,,Polymyxin E
,APRD00113,,Dicycloverinum
,APRD00735,,N-(4-Methyl-6-phenyl-3-pyridazinyl)-4-morpholineethanamine
,APRD00121,,Pentoxifyllinum
,APRD00522,,Proxymetacainum
,APRD01031,,Metindamide
,APRD00287,,Tropicamidum
,APRD00725,,Biperidenum
,DB01693,,Tribavirin
,DB08343,,Phenylbutazonum
,DB05564,,Phentanyl
,APRD00529,,UNII-vg2qf83cgl
,APRD01606,,Sodium lauryl sulphate
,APRD00210,,Orciprenalinum
,APRD00369,,Roxadyl
,DB05893,,Propofolum
,EXPT00604,,"N-[5-(aminosulfonyl)-1,3,5-thiadiazol-2-yl]acetamide"
,APRD00071,,Tadanafil
,APRD00849,,Carprofenum
,APRD00767,,Tetraethylthiuram Disulphide
,APRD00760,,Etynodiol diacetate
,APRD00273,,Enprofyllinum
,APRD01604,,Levomentol
,APRD01136,,Pimaricin
,APRD00873,,Cinoxacinum
,APRD00987,,Phosphonomycin
,DB07699,,Methyl diazepinone
,APRD00262,,Phenmetrazinum
,DB08616,,Trifluperazine
,APRD00496,,Phensuximidum
,APRD00243,,Cephaclor
,APRD00432,,Mifepristonum
,APRD00832,,Brompheniraminum
,APRD00275,,Loperamidum
,APRD00072,,Progabidum
,APRD00877,,Clocortolonum
,APRD01267,,Tolazamidum
,APRD01023,,Modified cellulose
,APRD00122,,Racemic-dobutamine
,APRD01152,,(RS)-Oxazepam
,APRD00039,,Donepezilum
,APRD01132,,Nalbuphinum
,APRD00278,,Riminophenazine
,APRD00982,,Flurandrenolone
,APRD00896,,β-MEA
,APRD01067,,Levamisolum
,APRD00047,,N-Methylphenobarbital
,APRD00429,,Perphenazinum
,APRD00331,,ICDMT
,APRD00634,,ψ-ephedrine
,APRD00557,,Temozolomidum
,APRD00764,,Levorphanolum
,DB05277,,δ-aminolevulinic acid
,APRD00867,,P-Chlorophenyl-alpha-glyceryl ether
,APRD00508,,Terbinafinum
,APRD00938,,Metholone
,APRD01171,,"D-β,β-dimethylcysteine"
,APRD00197,,Prednisolonum
,DB06895,,Diflunisalum
,APRD00699,,Vardenafilum
,APRD00254,,Ranitidinum
,EXPT01437,,"Tacrolimus, anhydrous"
,APRD00759,,N-methyl-1-phenyl-N-(phenylmethyl)propan-2-amine
,APRD00736,,Aprenololo
,APRD00541,,Ritodrinium
,APRD00629,,P-Butylaminobenzoic acid omega-O-methylnonaethyleneglycol ester
,DB04507,,Dorzolamidum
,APRD00230,,SUTOPROFEN
,APRD00589,,Terbutalinum
,APRD01302,,Conivaptan
,APRD01078,,Loteprednolum
,APRD01005,,Hustosil
,APRD00388,,Flupentixolum
,APRD00950,,Eprosartanum
,DB02439,,sirolimusum
,APRD00545,,"N,N'-bis(4-chlorophenyl)-3,12-diimino-2,4,11,13-tetraazatetradecanediimidamide"
,APRD00226,,Emtricitabinum
,APRD00721,,Uroflux
,APRD00523,,Quinaprilum
,APRD00880,,Clomiphene
,APRD00455,,Sorbidnitrate
,DB02782,,Risedronsäure
,APRD00394,,Pemirox
,APRD00443,,Omapatrilate
,APRD00294,,Bumetanidum
,APRD00249,,"β,β'-dichlorodiethyl-N-methylamine"
,APRD01002,,granisetronum
,APRD00917,,DV
,APRD00491,,Sulphapyridine
,APRD00817,,Oxyriprocaine
,APRD01053,,Iron dextran complex
,APRD00640,,Δ1-testololactone
,APRD00822,,Benzylpenicilloyl-polylysine
,APRD01220,,Rimexolon
,APRD00313,,Triazolamum
,APRD00738,,Spiritus vini
,APRD01216,,Remifentanyl
,DB02392,,Dideoxyinosine
,APRD00827,,Bitolterolum
,APRD00713,,Metodilazina
,APRD00251,,Methylenebutyrylphenoxyacetic acid
,DB06863,,Bimatoprostum
,APRD00344,,Tiagabinum
,APRD00080,,Neurocaine
,APRD00136,,β-quinine
,APRD00004,,Zonisamidum
,APRD01165,,Paricalcitol
,APRD01260,,Timidazole
,APRD00439,,Surepost
,APRD00741,,N-β-(p-aminophenyl)ethylnormeperidine
,APRD00511,,β-Phenethybiguanide
,APRD00787,,Virosol
,APRD00631,,Metronidazolum
,APRD00927,,Prostaglandin E2
,APRD00169,,1-(((3-(2-(Dimethylamino)ethyl)indol-5-yl)methyl)sulfonyl)pyrrolidine
,APRD01232,,Spectinomycinum
,APRD01061,,Ketotifenum
,APRD00670,,Buprenorphinum
,APRD01296,,Simdax
,APRD00853,,Ceforanidum
,APRD00213,,"N,N-dimethyl-5H-dibenzo(a,d)cycloheptene-Δ5,γ-propylamine"
,APRD00651,,POB
,APRD00296,,N-Sulfamoyl-3-((2-guanidinothiazol-4-yl)methylthio)propionamide
,APRD00809,,Azacytidine
,DB05379,,Misoprostolum
,APRD00137,,Tri-methacycline
,APRD00610,,TPS-23
,APRD00747,,Maprotylina
,APRD01158,,Oxymetozoline
,DB01398,,O-hydroxybenzoic acid
,APRD00919,,Diethylpropion
,APRD00277,,Salmeterolum
,APRD01090,,"N-(3-Methyl-2,6-dichlorophenyl)anthranilic acid"
,APRD00751,,Methanthelinum
,APRD01013,,Hexamethylenebis(fluoren-9-yldimethylammonium)
,APRD00731,,Cycriminum
,APRD00562,,Dideoxycytidine
,APRD00905,,Demecarium
,EXPT00475,,salicylic acid acetate
,APRD00228,,Phenprocumone
,APRD00654,,"ICI 182,780"
,APRD01113,,Mezlocillinum
,APRD00505,,Felbamatum
,APRD00349,,Terfenadine-COOH
,EXPT01940,,Pyridine-4-carboxylic acid hydrazide
,APRD00220,,Naratriptanum
,APRD00008,,Rizatriptanum
,APRD00232,,Netilmycin
,DB09475,,Idrocodone
,APRD00569,,Norgestimatum
,APRD00466,,"cis-Diammine(1,1-cyclobutanedicarboxylato)platinum(II)"
,APRD00342,,Urbason
,APRD00678,,Pindololum
,APRD01094,,"N-(2,6-Dimethylphenyl)-1-methylpiperidine-2-carboxamide"
,APRD00411,,"3'-(3-Cyanopyrazolo(1,5-a)pyrimidin-7-yl)-N-ethylacetanilide"
,APRD00831,,Bromfenacum
,APRD00012,,Apraclonidinum
,APRD00960,,EOE 13
,APRD01247,,Telmisartan
,APRD00324,,DESLORATADINE
,APRD01106,,α-methyl-L-dopa
,APRD00580,,"2,3,4,5-Tetrahydro-5-methyl-2-((5-methyl-1H-imidazol-4-yl)methyl)-1H-pyrido(4,3-b)indol-1-one"
,APRD00124,,Meractinomycin
,APRD01323,,Selenium(IV) sulphide
,APRD00813,,Azelastinum
,APRD00619,,Ezetrol
,APRD01327,,"N,N'-1,2-Ethane diylbis-(N-(carboxymethyl)glycine)"
,APRD00360,,Persantin
,APRD00691,,Etinilestradiol
,APRD01076,,Lomefloxacinum
,APRD00893,,β-dimethylaminoethyl (1-hydroxycyclopentyl)phenylacetate
,APRD00406,,Physostol
,APRD00140,,Neovitamin a acid
,APRD00641,,N-[2-Hydroxy-5-(1-hydroxy-2-{[2-(4-methoxyphenyl)-1-methylethyl]amino}ethyl)phenyl]formamide
,APRD00134,,NTPP
,APRD00924,,O-Benzhydryldimethylaminoethanol 8-chlorotheophyllinate
,DB06583,,Glycopyrronium ion
,APRD00499,,cytosine-β-D-arabinofuranoside
,APRD00085,,Oxytyramine
,APRD00321,,m-((S)-1-(Dimethylamino)ethyl)phenyl ethylmethylcarbamate
,APRD00144,,Exemestanum
,APRD00030,,Walix
,APRD01105,,Methyl delta-aminolevulinate
,APRD00811,,Imuran (tn)
,APRD00808,,Triethylphosphine gold
,APRD00015,,Gabapetin
,DB05847,,Hydroxydaunorubicin
,APRD00092,,HCTZ
,APRD00892,,Wyvital
,APRD00553,,Albuterol
,APRD00110,,Levobupivacaine
,APRD00336,,Cromolyn
,EXPT01540,,Gancyclovir
,APRD00023,,Oxyurea
,APRD01066,,Letrozol
,APRD01262,,Tioconazolum
,APRD00664,,Tetramethylene bis(methanesulfonate)
,DB05335,,Orudis (tn)
,APRD00944,,"N-ethyl-3-hydroxy-N,N-dimethylbenzenaminium"
,EXPT02271,,Metyraponum
,APRD00872,,N-((1R)-1-(Naphthalen-1-yl)ethyl)-3-(3-(trifluoromethyl)phenyl)propan-1-amine
,APRD00876,,Clobetasol propionate E
,APRD00141,,Balsalazidum
,APRD00076,,Sulfamethoxazole
,APRD00233,,Glibenclamidum
,APRD00547,,Minocyclinum
,APRD00075,,Guanfacinum
,APRD00051,,carbamyl-β-methylcholine
,APRD00528,,Monosorbitrate
,DB09528,,α-phylloquinone
,APRD00374,,Felodipinum
,EXPT02208,,Mycophenolsäure
,APRD00795,,Amoxanox
,APRD00401,,Ketozole
,APRD00744,,Metoxiflurano
,APRD00413,,Irbesartan
,APRD00687,,Topotecanum
,APRD00959,,Etinamato
,APRD00167,,Probenecidum
,APRD01096,,Mercapurin
,APRD00703,,Cerulenin
,APRD00509,,Procainamidum
,APRD00146,,Tolterodinum
,APRD00525,,Selegilinum
,APRD00848,,carfenazinum
,DB09545,,Procetofen
,APRD01024,,Hydroxystilbamidine isetionate
,APRD01251,,α-phthalimidoglutarimide
,APRD00118,,Phenylalanine nitrogen mustard
,APRD00221,,Memantinum
,APRD00996,,Gatifloxacinum
,EXPT02777,,Rifampin
,APRD00978,,Fluocinonidum
,APRD00216,,ABC 
,DB01287,,hydrogenated ergot alkaloids
,APRD00372,,α-(p-isobutylphenyl)propionic acid
,APRD00694,,Novobiocinum
,DB11612,,PG
,APRD00421,,Nitrendipinum
,APRD00647,,Mimosin
,APRD01266,,Tocainidum
,APRD00942,,Phospholine
,APRD00469,,Norfloxacinum
,APRD00248,,α-amino-p-hydroxybenzylpenicillin
,APRD00814,,Azlocillinum
,APRD00427,,Oxybutyninum
,APRD00462,,Acetophenazine
,APRD00182,,α-(isopropylaminomethyl)protocatechuyl alcohol
,DB08189,,N-Acetyl-5-methoxytryptamine
,APRD00436,,N-{4-[β-(5-methylpyrazine-2-carboxamido)ethyl]benzenesulphonyl}-N'-cyclohexylurea
,APRD00054,,Clonazepamum
,APRD00601,,Promethazinum
,APRD00143,,Dihydrotachysterolum
,APRD00386,,Mequitazinum
,APRD00804,,Zrivada
,APRD00594,,2-fluoro ARA-A
,APRD00107,,Perhexilline
,DB06975,,β-dimethylaminoethyl benzhydryl ether
,APRD00055,,atorvastatinum
,APRD00964,,Oxyethylidenediphosphonic acid
,APRD00909,,Glucodigoxin
,APRD00096,,tegaserodum
,APRD00282,,Vinyl gamma-aminobutyric acid
,APRD00366,,"Ethyl 1-(3-cyano-3,3-diphenylpropyl)-4-phenylisonipecotate"
,APRD00412,,Streptomyzin
,APRD00255,,Tetrahydrolipstatin
,APRD00946,,Emedastinum
,APRD00382,,Pilocarpine
,APRD00539,,p-Ethoxycarboxylic Aniline
,APRD00604,,Primaquinum
,APRD00906,,Recanescine
,APRD00038,,Pentolonum
,APRD00833,,N-(P-Tert-butylbenzyl)-N-methyl-1-naphthalenemethylamine
,APRD00135,,Oubain
,EXPT01231,,Sulfinylbis(methane)
,APRD00117,,YSO2
,APRD00346,,fluvastatinum
,APRD01150,,Mansil
,APRD00205,,Lefunomide
,APRD00546,,"(3R,5S,6E)-7-{4-(4-fluorophenyl)-6-isopropyl-2-[methyl(methylsulfonyl)amino]pyrimidin-5-yl}-3,5-dihydroxyhept-6-enoic acid"
,APRD00299,,Fluorcytosine
,APRD00218,,Pimozidum
,APRD00203,,"Pentyl 1-(5-deoxy-beta-D-ribofuranosyl)-5-fluoro-1,2-dihydro-2-oxo-4-pyrimidinecarbamate"
,APRD00802,,Arbutaminum
,APRD00317,,"N4-(6-chloro-2-methoxy-9-acridinyl)-N1,N1-diethyl-1,4-pentanediamine"
,DB08567,,Sertralinum
,APRD00456,,Sibutraminum
,APRD01069,,Levocabastinum
,APRD00734,,Metiprilone
,APRD01276,,Trilostanum
,APRD00056,,Unfractionated heparin
,APRD01115,,Monistat iv (tn)
,APRD00885,,Colistinmethanesulfonic acid
,APRD00285,,Zinacef danmark
,DB07725,,Mesotina
,DB09440,,γ-(4-chlorophenyl)-γ-(2-pyridyl)propyldimethylamine
,APRD00590,,Nifedipres
,APRD00044,,Trimethaphan
,APRD00805,,Wellvone
,APRD00288,,Amiodaronum
,APRD00914,,Eudemine
,APRD00460,,N-(4-Methylbenzenesulfonyl)-N'-(3-azabicyclo(3.3.0)oct-3-yl)urea
,APRD00771,,Ambenonum
,APRD00535,,Proflavinum
,APRD00267,,Tolylsulfonylbutylurea
,APRD00799,,Anisindionum
,APRD00385,,"alpha,alpha,alpha,Alpha',alpha',alpha'-hexafluoro-3-oxo-4-aza-5alpha-androst-1-ene-17beta-carboxy-2',5'-xylidide"
,APRD00943,,Econazole Nitrate
,DB06284,,Bicalutamidum
,APRD01212,,Rabeprazole
,APRD00188,,Proguanilum
,APRD00653,,Pioglitazonum
,APRD01259,,Tiludronate
,APRD00709,,DTMA
,APRD00091,,SKF 105517
,DB06085,,Ofloxacin S-(-)-form
,APRD00620,,Sulfoxyphenylpyrazolidine
,APRD00860,,CEPR
,APRD00196,,D-Cefadroxil
,APRD00398,,Doxepin
,APRD00021,,Aminopropylaminoethyl thiophosphate
,DB07948,,Diclofenamidum
,APRD00704,,Aldesulphone
,APRD00719,,Diphenylpyralinum
,EXPT01068,,Cloxacillinum
,APRD00972,,Flavoxatum
,APRD00402,,Nefazodonum
,APRD00461,,Cefprozilum
,DB07682,,Norimipramine
,APRD00843,,Candizidin
,APRD00305,,Sertaconazolum
,APRD00154,,Thioseconal
,APRD00053,,gemifloxacin mesylate
,APRD00621,,Amfebutamone
,APRD00268,,Trimetrexatum
,APRD00830,,"N-Ethyl-N,N-dimethyl-2-bromobenzenemethanaminium"
,DB02330,,Rhodialothan
,APRD00926,,Prostin F2 Alpha
,APRD00404,,Cloroprocaina
,APRD00667,,Terazosinum
,APRD00789,,Penicillin HX
,APRD00840,,calcium(2+) chloride
,APRD00502,,OFLX
,APRD00155,,Cilostazolum
,APRD00040,,Sporanox (tn)
,APRD00695,,Procarbazinum
,APRD00171,,White arsenic
,APRD01007,,N-(2-Perhydroazocin-1-ylethyl)guanidine
,APRD00603,,p-Chloro-N-(2-morpholinoethyl)benzamide
,APRD00026,,Kanamycin A
,APRD00097,,β-dimethylaminoethyl 2-methylbenzhydryl ether
,APRD00184,,PHENYLETHYLMALONYLUREA
,APRD00683,,S(+)-Citalopram
,APRD00061,,N-methyl-N'-benzhydrylpiperazine
,APRD00126,,Idarubicinum
,APRD00865,,Clormezanona
,DB08417,,PPT
,APRD00112,,Tsuruselpi S
,APRD00007,,Isosfamide
,APRD00261,,Propafenonum
,APRD00025,,Naloxonum
,APRD00418,,Domperidonum
,APRD00981,,"Testosterone, 9-fluoro-11beta-hydroxy-17-methyl-"
,APRD00663,,Pergolidum
,DB13498,,Iofendylate
,APRD00871,,Ciclopiroxum
,APRD00907,,"Difluoromethyl 1,2,2,2-tetrafluoroethyl ether"
,APRD00566,,"Methyl 7-chloro-6,7,8-trideoxy-6-(1-methyl-trans-4-propyl-L-2-pyrrolidinecarboxamido)-1-thio-L-threo-alpha-D-galacto-octopyranoside"
,APRD00648,,Dextrofenfluramine
,APRD00158,,Oxymorphone
,APRD00772,,N-[3-acetyl-4-[2-hydroxy-3-[(1-methylethyl)amino]propoxy]phenyl]butanamide
,APRD00475,,Brinzolamide
,APRD00129,,"N-(2-Piperidinylmethyl)-2,5-bis(2,2,2-trifluoroethoxy)benzamide"
,APRD00625,,Estramustinum
,APRD00164,,Tensoprel
,APRD00356,,Zopiclonum
,APRD00176,,Tubocurarin
,APRD00622,,Bromoergocryptine
,APRD01217,,Priftin (tn)
,APRD01068,,Levitiracetam
,APRD00371,,Mitoxantronum
,APRD00974,,Flumazepil
,APRD00292,,N-(2-Chloroethyl)-n'-cyclohexyl-N-nitrosourea
,APRD00271,,Ridogrelum
,APRD01231,,Sparfloxacin
,APRD00912,,Dezocinum
,APRD00165,,Levobunololum
,APRD00181,,Clarithromycinum
,APRD00395,,Ceftriazone
,APRD00985,,Fomepizolum
,APRD00668,,Metipranololum
,APRD00955,,Estazolamum
,DB07774,,Finasteridum
,APRD00016,,Anastrozol
,APRD00419,,Halofantrinum
,APRD00901,,F-368
,APRD01218,,Xifaxsan
,APRD00493,,Special K
,APRD00442,,"(11beta,16alpha)-16,17-(Butylidenebis(oxy))-11,21-dihydroxypregna-1,4-diene-3,20-dione"
,APRD00329,,Theophylline ethylenediamine
,APRD00675,,Quetiapinum
,APRD00068,,Enoxaparin sodium
,APRD01119,,Mivacurium
,APRD00745,,Levomethadyl acetate
,APRD00613,,Encainidum
,DB05526,,Taxol A
,APRD00929,,Diphenyl(3-(1-piperidyl)propyl)carbinol
,APRD00623,,SQV
,APRD00665,,Metoclopramidum
,APRD00674,,Dexamethasonum
,EXPT01107,,"β-(3,4-dihydroxyphenyl)alanine"
,APRD00219,,Sevofluranum
,APRD00710,,Bromodiphenhydramine
,APRD00638,,OPC 31
,APRD00718,,Chlothixen
,APRD00949,,Vasocyclin
,APRD00293,,Gemfibrozilum
,DB07600,,Monochlorimipramine
,APRD00866,,CHQ
,APRD00727,,Bepridil
,APRD00696,,"N,N,N,N',n',n'-hexamethyl-1,10-decanediaminium"
,APRD00258,,Trimeprazine
,APRD00701,,Isocarboxazidum
,APRD00932,,TXL
,DB01249,,Iodixanolum
,DB01251,,Glurenorm
,DB01253,,N-(α-(hydroxymethyl)ethyl)-D-lysergamide
,DB01254,,"N-(2-CHLORO-6-methylphenyl)-2-({6-[4-(2-hydroxyethyl)piperazin-1-yl]-2-methylpyrimidin-4-yl}amino)-1,3-thiazole-5-carboxamide"
,DB01255,,NRP104
,DB01257,,5G1.1
,DB02584,,N-{3-chloro-4-[(3-fluorobenzyl)oxy]phenyl}-6-[5-({[2-(methylsulfonyl)ethyl]amino}methyl)-2-furyl]-4-quinazolinamine
,DB01260,,Desonidum
,DB07214,,Sitagliptinum
,DB01262,,Dezocitidine
,EXPT00002,,"N-((1S,2R)-3-(((4-Aminophenyl)sulfonyl)(2-methylpropyl)amino)-2-hydroxy-1-benzylpropyl)((1S,2R,5R)-4,6-dioxabicyclo(3.3.0)oct-2-yloxy)carboxamide"
,DB01265,,Telbivudin
,DB01266,,Kunecatechins
,DB01267,,Ro-76477
,DB07417,,Sunitinibum
,DB01269,,ABX-EGF
,DB01270,,rhuFab V2
,DB01271,,Iduronate 2-sulfatase
,DB01272,,Lysosomal Alpha-Glucosidase
,DB01274,,"(R,R)-formoterol"
,DB01275,,Phthalazin-1-ylhydrazine
,DB01276,,Synthetic exendin-4
,DB01277,,Somatomedin-C
,DB01279,,Arylsufatase B
,DB01280,,Nelzarabine
,DB01281,,Abatacept recombinant
,DB01282,,Deamino-2-O-methyltyrosine-1-carbaoxytocin
,DB01283,,Lumiracoxibum
,DB01284,,β1-24-corticotrophin
,DB09547,,H.P. acthar gel
,DB01288,,Phenoterol
,DB01291,,Pirbuterolum
,DB01402,,Wismutsubsalicylat
,DB01295,,Bevantololum
,EXPT01563,,D-Glucosamine
,DB01297,,Tocris-0831
,DB01298,,Sulfacitinum
,DB01299,,Sulphormethoxine
,DB01301,,Synterin
,DB01303,,Theophyline - choline mixt
,DB01306,,"Insulin,aspart protamine"
,DB01307,,"Insulin,detemir,human"
,DB01309,,Insulin glulisine recombinant
,DB01319,,Fosamprenavir
,DB01320,,Fosphenytoinum
,DB01321,,yl-704 a3
,DB01323,,St. johnswort flowering top
,DB01325,,Quinethazonum
,DB01326,,L-Cefamandole
,DB01327,,CEZ
,DB01328,,Cefonicidum
,DB01329,,Cefoperazonum
,DB01330,,Cefotetanum
,EXPT00897,,Rephoxitin
,DB01332,,Syn-7-(2-(2-amino-4-thiazolyl)-2-methoxyiminoacetamido)-3-cephem-4-carboxylic acid
,DB01333,,Sefril
,DB01336,,"O,O-Dimethylchondrocurarine"
,DB01337,,Pancuronium
,DB01338,,Pipecuronium
,DB01339,,Vecuronium
,DB01340,,Cilazaprilum 
,DB06658,,polystyrenesulfonic acid
,DB01345,,potassium(I) cation
,DB01348,,Spirapril
,DB01349,,WAY-ana-756
,DB01351,,Barbamyl
,DB01352,,Aprobarbital
,DB01353,,Neonal
,DB01354,,Medomine
,EXPT03301,,Methylhexabital
,DB01356,,"Lithium, ion (li1+)"
,DB01359,,Penbutololum
,DB01362,,"N,N'-Bis(2,3-dihydroxypropyl)-5-(N-(2,3-dihydroxypropyl)acetamido)-2,4,6-triiodoisophthalamide"
,DB01363,,Ma huang
,DB01364,,L(−)-ephedrine
,DB01365,,Mephentermine
,EXPT02758,,RAS
,DB11314,,Aluminum
,DB01375,,Dihydroxyaluminum stearate
,DB01377,,Magmitt
,DB01380,,Cortisyl
,DB01381,,Yinhsing
,DB01382,,Glymidine
,DB01384,,Dillar
,DB01390,,Sodium hydrogencarbonate
,DB01392,,Yohimbine
,DB08380,,Cedur
,DB01394,,Colchicinum
,DB01395,,DRSP
,DB01396,,Digitoxoside
,DB01397,,Magnesium salicylate anhydrous
,DB01399,,Sasapyrinum
,DB01400,,m-Trimethylammoniumphenyldimethylcarbamate
,DB01403,,Methotrimeprazine
,DB01404,,True ginseng root
,DB01405,,Temafloxacinum
,DB01406,,Danazolum
,DB01407,,Clenbuterolum
,DB01408,,Bambuterolum
,DB01411,,ONO-RS 411
,DB01412,,Theobromine
,DB01413,,Cefepimum
,DB01414,,Vetrimast [veterinary]
,DB01415,,cis-Ceftibuten
,DB01416,,Cefpodoximum
,DB01418,,Nitrowarfarin
,DB01421,,Zygomycin a1
,DB01422,,Nitroxolinum
,DB01423,,Tiofacic
,DB01424,,Dipyrine
,DB01425,,Plitican
,DB01426,,Ajmalin
,DB01427,,Inamrinone
,DB01428,,Oxybenzonum
,DB01429,,Compound 99170
,DB01430,,Almitrinum
,DB01431,,Allyloestrenol
,DB01432,,Colestyramine
,DB01433,,Betamethadol
,DB01434,,NOR
,DB01435,,Phenazone
,DB01436,,Alsiodol
,DB01437,,Doriden
,DB01438,,Fenazopiridina
,DB01439,,3-Methyl-thiofentanyl
,DB01440,,γ-Hydroxybutyric acid
,DB01441,,Foxy methoxy
,DB01442,,"Amphetamine, 3,4-methylenedioxy-5-methoxy"
,DB01443,,"estr-5-ene-3,17-dione"
,DB01444,,Ohton
,DB01445,,"N,N-dimethylserotonin"
,DB01446,,αMT
,DB01452,,"O,O'-Diacetylmorphine"
,DB01454,,Methylenedioxymethamphetamine
,DB01456,,"delta5-Androstene-3,17-dione"
,DB01458,,"2,5-dimethoxy-4-propylthiophenethylamine"
,DB01459,,"1-[1-(3-Cyano-3,3-diphenylpropyl)-4-piperidinyl]-1,3-dihydro-3-(1-oxopropyl)-2H-benzimidazol-2-one"
,DB01460,,"N,N-Diethyl-2-(1H-indol-3-yl)ethanamine"
,DB01461,,estocin
,DB01463,,Fencanfamina
,DB01466,,Ethylmorphine
,DB01469,,Acetylpropylorvinol
,DB01470,,alpha-methylthiofentanyl
,EXPT03303,,Paramethoxyamphetamine
,DB01473,,Betaprodinum
,DB01474,,"17-Methylandrost-4-ene-3beta,17beta-diol"
,DB01478,,MPPP
,DB01479,,"17alpha-methyl-3alpha,17beta-dihydroxy-5alpha-androstane"
,DB01481,,delta1-Dihydrotestosterone
,DB01482,,Fenetylline
,DB01485,,7alpha-Hydroxytestosterone
,DB01486,,Pseudonorephedrine
,DB11402,,Embutramid
,DB01494,,Cloral betaine
,DB01497,,Etorphinum
,DB01499,,Alphameprodinum
,DB01500,,4-hydroxy-19-nortestosterone
,DB01501,,Diphenoxylic acid
,DB01509,,Tenamfetamine
,DB01511,,Chlordesmethyldiazepam
,DB01515,,O-benzoylecgonine
,DB01520,,TCP
,DB01524,,hermaphrodiol
,DB01528,,STP
,DB01529,,Pyrrolamidol
,DB01530,,hombreol
,DB01531,,Dihydrodesoxymorphine D
,DB01532,,alphamethylacetylfentanyl
,DB01534,,Merchloral
,DB01535,,Carfentanyl
,DB07386,,4-Androstenedione
,DB01537,,2C-B
,DB01540,,4-Hydroxy-19-normethyltestosterone
,DB01541,,delta1-Testosterone
,DB01543,,13beta-ethyl-17beta-hydroxygon-4-en-3-one
,DB01544,,Rohypnol
,DB01545,,Meilax
,DB01546,,αET
,DB01548,,Diprenorfin
,DB01549,,Rolicyclidinum
,DB01550,,Perphoxene
,DB01551,,Remedacen
,DB01552,,Betameprodinum
,DB01553,,Cloxazolazepam 
,DB01554,,4-norendiol
,DB01556,,Clorfentermina
,DB01557,,alpha-methylfentanyl
,DB01558,,Lectopam
,DB01559,,Rize
,DB01560,,β-ketoamphetamine
,DB03620,,"5alpha-Androstan-3,17-dione"
,DB01562,,PEPAP
,DB01563,,trichloroacetaldehyde hydrate
,DB01564,,CLS
,DB01566,,n-ethyl MDA
,DB01567,,Fludiazepamum
,DB01569,,Formyldienolone
,DB01570,,β-hydroxy-3-methylfentanyl
,DB01571,,mefentanyl
,DB01572,,17beta-Hydroxy-17alpha-methyl-5alpha-androst-1-ene-3-one
,DB01574,,Attapulgus clay
,DB01575,,"Kaolin, light"
,DB01576,,Dextroamphetamine
,DB01577,,methyl-β-phenylisopropylamine
,DB01579,,"(2S,3S)-3,4-dimethyl-2-phenylmorpholine"
,DB01580,,Oxprenololum
,DB01581,,Sulphamerazine
,DB01582,,Sulphamethazine
,DB01583,,Liotrix (T4;T3)
,DB01584,,Tiroglobulina
,DB01586,,Ursodiol
,DB01587,,U-28774
,DB01588,,Prazepamum
,DB01589,,Quazepamum
,DB01590,,40-O-(2-hydroxyethyl)-rapamycin
,DB01592,,Reduced iron
,DB01593,,Zn2+
,DB01594,,Cinolazepamum
,DB01595,,Trazenin
,EXPT00918,,Cilastatinum
,DB01598,,N-formimidoylthienamycin
,DB01599,,Probucolum
,DB01600,,Tiaprofensäure
,EXPT00388,,LPV
,DB01602,,Bacampicillinum
,DB01603,,Meticillinum
,DB01604,,Pivampicillinum
,DB01605,,Pivmecillinamum
,EXPT03012,,YTR-830H
,DB01607,,Ticarcillinum
,DB01608,,Propericiazine
,DB01609,,ICL 670a
