class,description,direct-parent,drugbank-id,kingdom,subclass,superclass
Diazines,This compound belongs to the class of organic compounds known as hydropyrimidines. These are compounds containing a hydrogenated pyrimidine ring (i.e. containing less than the maximum number of double bonds.).,Hydropyrimidines,EXPT01848,Organic compounds,Pyrimidines and pyrimidine derivatives,Organoheterocyclic compounds
Pyrimidine nucleotides,"This compound belongs to the class of organic compounds known as pyrimidine 2',3'-dideoxyribonucleoside triphosphates. These are pyrimidine nucleotides with triphosphate group  linked to the ribose moiety lacking a hydroxyl group at positions 2 and 3.","Pyrimidine 2',3'-dideoxyribonucleoside triphosphates",EXPT01098,Organic compounds,Pyrimidine deoxyribonucleotides,"Nucleosides, nucleotides, and analogues"
Carboxylic acids and derivatives,This compound belongs to the class of organic compounds known as alpha amino acid esters. These are ester derivatives of alpha amino acids.,Alpha amino acid esters,EXPT00001,Organic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives
Organooxygen compounds,"This compound belongs to the class of organic compounds known as aminocyclitol glycosides. These are organic compounds containing an amicocyclitol moiety glycosidically linked to a carbohydrate moiety. There are two major classes of aminoglycosides containing a 2-streptamine core. They are called 4,5- and 4,6-disubstituted 2-deoxystreptamines.",Aminocyclitol glycosides,EXPT00191,Organic compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds
Pyrimidine nucleotides,This compound belongs to the class of organic compounds known as pyrimidine ribonucleoside monophosphates. These are pyrimidine ribobucleotides with monophosphate group  linked to the ribose moiety.,Pyrimidine ribonucleoside monophosphates,EXPT00724,Organic compounds,Pyrimidine ribonucleotides,"Nucleosides, nucleotides, and analogues"
Benzotriazoles,This compound belongs to the class of organic compounds known as triazolobenzothiazoles. These are compound containing a triazole ring fused to the benzene or the thiazole moiety of the benzothiazole ring system.,Triazolobenzothiazoles,EXPT00658,Organic compounds,Triazolobenzothiazoles,Organoheterocyclic compounds
Carboxylic acids and derivatives,This compound belongs to the class of organic compounds known as l-alpha-amino acids. These are alpha amino acids which have the L-configuration of the alpha-carbon atom.,L-alpha-amino acids,EXPT00136,Organic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives
Carboxylic acids and derivatives,"This compound belongs to the class of organic compounds known as methionine and derivatives. These are compounds containing methionine or a derivative thereof resulting from reaction of methionine at the amino group or the carboxy group, or from the replacement of any hydrogen of glycine by a heteroatom.",Methionine and derivatives,EXPT02150,Organic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives
Dioxolopyrans,"This compound belongs to the class of organic compounds known as dioxolopyrans. These are compounds containing a dioxolopyran moiety, which consists of a dioxole ring fused to a pyran ring.",Dioxolopyrans,EXPT02924,Organic compounds,,Organoheterocyclic compounds
Sulfoxides,"This compound belongs to the class of organic compounds known as sulfoxides. These are compounds containing a sulfoxide functional group, with the structure RS(=O)R' (R,R' not H).",Sulfoxides,EXPT00480,Organic compounds,,Organosulfur compounds
Purine nucleosides,This compound belongs to the class of organic compounds known as purine nucleosides. These are compounds comprising a purine base attached to a ribosyl or deoxyribosyl moiety.,Purine nucleosides,EXPT02248,Organic compounds,,"Nucleosides, nucleotides, and analogues"
Organic phosphoric acids and derivatives,"This compound belongs to the class of organic compounds known as acyl monophosphates. These are organic compounds containing a monophosphate linked to an acyl group. They have the general structure  R-CO-P(O)(O)OH, R=H or organyl.",Acyl monophosphates,EXPT03212,Organic compounds,Phosphate esters,Organic acids and derivatives
Imidazopyrimidines,This compound belongs to the class of organic compounds known as hypoxanthines. These are compounds containing the purine derivative 1H-purin-6(9H)-one. Purine is a bicyclic aromatic compound made up of a pyrimidine ring fused to an imidazole ring.,Hypoxanthines,EXPT03189,Organic compounds,Purines and purine derivatives,Organoheterocyclic compounds
Carboxylic acids and derivatives,"This compound belongs to the class of organic compounds known as methionine and derivatives. These are compounds containing methionine or a derivative thereof resulting from reaction of methionine at the amino group or the carboxy group, or from the replacement of any hydrogen of glycine by a heteroatom.",Methionine and derivatives,EXPT01067,Organic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives
Organooxygen compounds,This compound belongs to the class of organic compounds known as hexose phosphates. These are carbohydrate derivatives containing a hexose substituted by one or more phosphate groups.,Hexose phosphates,EXPT02088,Organic compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds
Steroids and steroid derivatives,This compound belongs to the class of organic compounds known as androgens and derivatives. These are 3-hydroxylated C19 steroid hormones. They are known to favor the development of masculine characteristics. They also show profound effects on scalp and body hair in humans.,Androgens and derivatives,EXPT01199,Organic compounds,Androstane steroids,Lipids and lipid-like molecules
Purine nucleotides,"This compound belongs to the class of organic compounds known as purine ribonucleoside 3',5'-bisphosphates. These are purine ribobucleotides with one phosphate group attached to 3' and 5' hydroxyl groups of the ribose moiety.","Purine ribonucleoside 3',5'-bisphosphates",EXPT02647,Organic compounds,Purine ribonucleotides,"Nucleosides, nucleotides, and analogues"
,,,EXPT00781,,,
Carboxylic acids and derivatives,This compound belongs to the class of organic compounds known as beta amino acids and derivatives. These are amino acids having a (-NH2) group attached to the beta carbon atom.,Beta amino acids and derivatives,EXPT00762,Organic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives
Purine nucleotides,This compound belongs to the class of organic compounds known as purine ribonucleoside monophosphates. These are nucleotides consisting of a purine base linked to a ribose to which one monophosphate group is attached.,Purine ribonucleoside monophosphates,EXPT02475,Organic compounds,Purine ribonucleotides,"Nucleosides, nucleotides, and analogues"
Prenol lipids,"This compound belongs to the class of organic compounds known as iridoids and derivatives. These are monoterpenes containing a skeleton structurally characterized by the presence of a cylopentane fused to a pyran ( forming a 4,7-dimethylcyclopenta[c]pyran), or a derivative where the pentane moiety is open.",Iridoids and derivatives,EXPT00834,Organic compounds,Monoterpenoids,Lipids and lipid-like molecules
Organic phosphoric acids and derivatives,"This compound belongs to the class of organic compounds known as phosphate esters. These are organic compounds containing phosphoric acid ester functional group, with the general structure R1P(=O)(R2)OR3. R1,R2 = O,N,  or halogen atom; R3 = organyl group.",Phosphate esters,EXPT01321,Organic compounds,Phosphate esters,Organic acids and derivatives
Organic phosphonic acids and derivatives,This compound belongs to the class of organic compounds known as bisphosphonates. These are organic compounds containing two phosphonate groups linked together through a carbon atoms.,Bisphosphonates,EXPT00303,Organic compounds,Bisphosphonates,Organic acids and derivatives
Furans,"This compound belongs to the class of organic compounds known as furoic acids. These are organic compounds containing a furoic acid moiety, with a structure characterized by a furan ring bearing a carboxylic acid group at the C2 or C3 carbon atom.",Furoic acids,EXPT01402,Organic compounds,Furoic acid and derivatives,Organoheterocyclic compounds
Fatty Acyls,"This compound belongs to the class of organic compounds known as 2,3,4-saturated fatty acyl coas. These are acyl-CoAs carrying a 2,3,4-saturated fatty acyl chain.","2,3,4-saturated fatty acyl CoAs",EXPT00977,Organic compounds,Fatty acyl thioesters,Lipids and lipid-like molecules
Pteridines and derivatives,"This compound belongs to the class of organic compounds known as pteridines and derivatives. These are polycyclic aromatic compounds containing a pteridine moiety, which consists of a pyrimidine fused to a pyrazine ring to form  pyrimido(4,5-b)pyrazine.",Pteridines and derivatives,EXPT00536,Organic compounds,,Organoheterocyclic compounds
Fatty Acyls,This compound belongs to the class of organic compounds known as acyl coas. These are organic compounds containing a coenzyme A substructure linked to an acyl chain.,Acyl CoAs,EXPT00059,Organic compounds,Fatty acyl thioesters,Lipids and lipid-like molecules
Prenol lipids,This compound belongs to the class of organic compounds known as sesquiterpenoids. These are terpenes with three consecutive isoprene units.,Sesquiterpenoids,EXPT00525,Organic compounds,Sesquiterpenoids,Lipids and lipid-like molecules
Benzene and substituted derivatives,This compound belongs to the class of organic compounds known as trifluoromethylbenzenes. These are organofluorine compounds that contain a benzene ring substituted with one or more trifluoromethyl groups.,Trifluoromethylbenzenes,EXPT00927,Organic compounds,Trifluoromethylbenzenes,Benzenoids
Purine nucleosides,This compound belongs to the class of organic compounds known as purine nucleosides. These are compounds comprising a purine base attached to a ribosyl or deoxyribosyl moiety.,Purine nucleosides,EXPT02043,Organic compounds,,"Nucleosides, nucleotides, and analogues"
Benzene and substituted derivatives,"This compound belongs to the class of organic compounds known as sulfanilides. These are organic aromatic compounds containing a sulfanilide moiety, with the general structure RS(=O)(=O)NC1=CC=CC=C1.",Sulfanilides,EXPT02343,Organic compounds,Sulfanilides,Benzenoids
Diazines,This compound belongs to the class of organic compounds known as phenylpyridazines. These are organic compounds containing a pyridazine ring substituted by a phenyl group.,Phenylpyridazines,EXPT03284,Organic compounds,Pyridazines and derivatives,Organoheterocyclic compounds
Pyridopyrimidines,"This compound belongs to the class of organic compounds known as pyrido[2,3-d]pyrimidines. These are compounds containing the pyrido[2,3-d]pyrimidine ring system, which is a pyridopyrimidine isomer with three ring nitrogen atoms at the 1-, 3-, and 8- position.","Pyrido[2,3-d]pyrimidines",EXPT01286,Organic compounds,"Pyrido[2,3-d]pyrimidines",Organoheterocyclic compounds
,,,EXPT03285,,,
Nucleoside and nucleotide analogues,This compound belongs to the class of organic compounds known as cyclopentyl nucleosides. These are nucleoside analogues with a structure that consists of a cyclobutane that is substituted a the 1-position with a hydroxyl group and at the 2- or the 3- position with either a purine or pyrimidine base.,Cyclopentyl nucleosides,EXPT02872,Organic compounds,Cyclopentyl nucleosides,"Nucleosides, nucleotides, and analogues"
Halohydrins,This compound belongs to the class of organic compounds known as fluorohydrins. These are alcohols substituted by a fluorine atom at a saturated carbon atom otherwise bearing only hydrogen or hydrocarbyl groups.,Fluorohydrins,EXPT01390,Organic compounds,Fluorohydrins,Organohalogen compounds
Benzene and substituted derivatives,This compound belongs to the class of organic compounds known as biphenyls and derivatives. These are organic compounds containing to benzene rings linked together by a C-C bond.,Biphenyls and derivatives,EXPT00746,Organic compounds,Biphenyls and derivatives,Benzenoids
Oxepanes,"This compound belongs to the class of organic compounds known as oxepanes. These are compounds containing an oxepane ring, which is a seven-member saturated aliphatic heterocycle with one oxygen and six carbon atoms.",Oxepanes,EXPT02019,Organic compounds,,Organoheterocyclic compounds
Benzene and substituted derivatives,This compound belongs to the class of organic compounds known as diphenylethers. These are aromatic compounds containing two benzene rings linked to each other through an ether group.,Diphenylethers,EXPT03308,Organic compounds,Diphenylethers,Benzenoids
Fatty Acyls,This compound belongs to the class of organic compounds known as medium-chain fatty acids. These are fatty acids with an aliphatic tail that contains between 4 and 12 carbon atoms.,Medium-chain fatty acids,EXPT01262,Organic compounds,Fatty acids and conjugates,Lipids and lipid-like molecules
Carboxylic acids and derivatives,"This compound belongs to the class of organic compounds known as tyrosine and derivatives. These are compounds containing tyrosine or a derivative thereof resulting from reaction of tyrosine at the amino group or the carboxy group, or from the replacement of any hydrogen of glycine by a heteroatom.",Tyrosine and derivatives,EXPT03140,Organic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives
Piperidines,This compound belongs to the class of organic compounds known as 4-benzylpiperidines. These are organic compounds containing a benzyl group attached to the 4-position of a piperidine.,4-benzylpiperidines,EXPT01958,Organic compounds,Benzylpiperidines,Organoheterocyclic compounds
Purine nucleotides,This compound belongs to the class of organic compounds known as purine ribonucleoside diphosphates. These are purine ribobucleotides with diphosphate group linked to the ribose moiety.,Purine ribonucleoside diphosphates,DB01660,Organic compounds,Purine ribonucleotides,"Nucleosides, nucleotides, and analogues"
S-alkyl-CoAs,This compound belongs to the class of organic compounds known as s-alkyl-coas. These are alkyl sulfides consisting of coenzyme A that carries an S-alkyl substituent.,S-alkyl-CoAs,EXPT00990,Organic compounds,,Lipids and lipid-like molecules
Benzene and substituted derivatives,This compound belongs to the class of organic compounds known as trifluoromethylbenzenes. These are organofluorine compounds that contain a benzene ring substituted with one or more trifluoromethyl groups.,Trifluoromethylbenzenes,EXPT00064,Organic compounds,Trifluoromethylbenzenes,Benzenoids
Organooxygen compounds,"This compound belongs to the class of organic compounds known as glycosylamines. These are compounds consisting of an amine with a beta-N-glycosidic bond to a carbohydrate, thus forming a cyclic hemiaminal ether bond (alpha-amino ether).",Glycosylamines,EXPT02244,Organic compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds
Purine nucleosides,This compound belongs to the class of organic compounds known as purine nucleosides. These are compounds comprising a purine base attached to a ribosyl or deoxyribosyl moiety.,Purine nucleosides,EXPT03003,Organic compounds,,"Nucleosides, nucleotides, and analogues"
Organooxygen compounds,"This compound belongs to the class of organic compounds known as dialkyl ethers. These are organic compounds containing the dialkyl ether functional group, with the formula ROR', where R and R' are alkyl groups.",Dialkyl ethers,EXPT02086,Organic compounds,Ethers,Organic oxygen compounds
Indoles and derivatives,This compound belongs to the class of organic compounds known as n-alkylindoles. These are compounds containing an indole moiety that carries an alkyl chain at the 1-position.,N-alkylindoles,EXPT00286,Organic compounds,N-alkylindoles,Organoheterocyclic compounds
Purine nucleotides,This compound belongs to the class of organic compounds known as purine ribonucleoside monophosphates. These are nucleotides consisting of a purine base linked to a ribose to which one monophosphate group is attached.,Purine ribonucleoside monophosphates,EXPT00589,Organic compounds,Purine ribonucleotides,"Nucleosides, nucleotides, and analogues"
Fatty Acyls,This compound belongs to the class of organic compounds known as medium-chain fatty acids. These are fatty acids with an aliphatic tail that contains between 4 and 12 carbon atoms.,Medium-chain fatty acids,EXPT02907,Organic compounds,Fatty acids and conjugates,Lipids and lipid-like molecules
Carboxylic acids and derivatives,"This compound belongs to the class of organic compounds known as alpha amino acids and derivatives. These are amino acids in which the amino group is attached to the carbon atom immediately adjacent to the carboxylate group (alpha carbon), or a derivative thereof.",Alpha amino acids and derivatives,EXPT03149,Organic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives
Carboxylic acids and derivatives,This compound belongs to the class of organic compounds known as gamma amino acids and derivatives. These are amino acids having a (-NH2) group attached to the gamma carbon atom.,Gamma amino acids and derivatives,EXPT01858,Organic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives
Organooxygen compounds,This compound belongs to the class of organic compounds known as inositol phosphates. These are compounds containing a phosphate group attached to an inositol (or cyclohexanehexol) moiety.,Inositol phosphates,EXPT01941,Organic compounds,Alcohols and polyols,Organic oxygen compounds
Peptidomimetics,"This compound belongs to the class of organic compounds known as hybrid peptides. These are compounds containing at least two different types of amino acids (alpha, beta, gamma, delta) linked to each other through a peptide bond.",Hybrid peptides,EXPT00404,Organic compounds,Hybrid peptides,Organic acids and derivatives
Organooxygen compounds,"This compound belongs to the class of organic compounds known as glucuronic acid derivatives. These are compounds containing a glucuronic acid moiety (or a derivative), which consists of a glucose moiety with the C6 carbon oxidized to a carboxylic acid.",Glucuronic acid derivatives,EXPT01842,Organic compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds
Benzene and substituted derivatives,This compound belongs to the class of organic compounds known as chlorobenzenes. These are compounds containing one or more chlorine atoms attached to a benzene moiety.,Chlorobenzenes,EXPT01898,Organic compounds,Halobenzenes,Benzenoids
Purine nucleosides,This compound belongs to the class of organic compounds known as purine 2'-deoxyribonucleosides. These are compounds consisting of a purine linked to a ribose which lacks a hydroxyl group at position 2.,Purine 2'-deoxyribonucleosides,EXPT00115,Organic compounds,Purine 2'-deoxyribonucleosides,"Nucleosides, nucleotides, and analogues"
Organic phosphonic acids and derivatives,This compound belongs to the class of organic compounds known as organic phosphonic acids. These are organic compounds containing phosphonic acid.,Organic phosphonic acids,EXPT01469,Organic compounds,Organic phosphonic acids,Organic acids and derivatives
Tetrapyrroles and derivatives,This compound belongs to the class of organic compounds known as metallotetrapyrroles. These are polycyclic compounds containing a tetrapyrrole skeleton combined with a metal atom.,Metallotetrapyrroles,EXPT01709,Organic compounds,Metallotetrapyrroles,Organoheterocyclic compounds
Pyrroloazepines,"This compound belongs to the class of organic compounds known as pyrroloazepines. These are compounds containing a pyrroloazepine moiety, which is a bicyclic heterocycle which consists of a pyrrole ring fused to an azepine. Pyrrole is 5-membered ring consisting of four carbon atoms and one nitrogen atom. Azepine is a 7-membered ring consisting of six carbon and one nitrogen atom.",Pyrroloazepines,EXPT01757,Organic compounds,,Organoheterocyclic compounds
Hydroxy acids and derivatives,This compound belongs to the class of organic compounds known as beta hydroxy acids and derivatives. These are compounds containing a carboxylic acid substituted with a hydroxyl group on the C3 carbon atom.,Beta hydroxy acids and derivatives,EXPT00190,Organic compounds,Beta hydroxy acids and derivatives,Organic acids and derivatives
Carboxylic acids and derivatives,This compound belongs to the class of organic compounds known as alpha amino acids. These are amino acids in which the amino group is attached to the carbon atom immediately adjacent to the carboxylate group (alpha carbon).,Alpha amino acids,EXPT00471,Organic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives
Phenylpropanoic acids,This compound belongs to the class of organic compounds known as phenylpropanoic acids. These are compounds with a structure containing a benzene ring conjugated to a propanoic acid.,Phenylpropanoic acids,EXPT00769,Organic compounds,,Phenylpropanoids and polyketides
Carboxylic acids and derivatives,This compound belongs to the class of organic compounds known as n-hydroxyl-alpha-amino acids. These are alpha amino acids that carry a hydroxyl group at the N-terminal.,N-hydroxyl-alpha-amino acids,EXPT01687,Organic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives
Fatty Acyls,This compound belongs to the class of organic compounds known as long-chain fatty acids. These are fatty acids with an aliphatic tail that contains between 13 and 21 carbon atoms.,Long-chain fatty acids,EXPT02762,Organic compounds,Fatty acids and conjugates,Lipids and lipid-like molecules
Other non-metal organides,"This compound belongs to the class of inorganic compounds known as other non-metal sulfides. These are inorganic compounds containing a sulfur atom of an oxidation state of -2, in which the heaviest atom bonded to the oxygen belongs to the class of other non-metals.",Other non-metal sulfides,EXPT02669,Inorganic compounds,Other non-metal sulfides,Homogeneous non-metal compounds
Pyrimidine nucleotides,This compound belongs to the class of organic compounds known as pyrimidine ribonucleoside monophosphates. These are pyrimidine ribobucleotides with monophosphate group  linked to the ribose moiety.,Pyrimidine ribonucleoside monophosphates,EXPT02436,Organic compounds,Pyrimidine ribonucleotides,"Nucleosides, nucleotides, and analogues"
Carboxylic acids and derivatives,This compound belongs to the class of organic compounds known as l-alpha-amino acids. These are alpha amino acids which have the L-configuration of the alpha-carbon atom.,L-alpha-amino acids,EXPT02238,Organic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives
Indoles and derivatives,"This compound belongs to the class of organic compounds known as serotonins. These are compounds containing a serotonin moiety, which consists of an indole that bears an aminoethyl a position 2 and a hydroxyl group at position 5.",Serotonins,EXPT01780,Organic compounds,Tryptamines and derivatives,Organoheterocyclic compounds
Carboxylic acids and derivatives,This compound belongs to the class of organic compounds known as beta amino acids and derivatives. These are amino acids having a (-NH2) group attached to the beta carbon atom.,Beta amino acids and derivatives,EXPT02200,Organic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives
Organooxygen compounds,This compound belongs to the class of organic compounds known as hexoses. These are monosaccharides in which the sugar unit is a is a six-carbon containing moeity.,Hexoses,DB01869,Organic compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds
Benzimidazoles,"This compound belongs to the class of organic compounds known as benzimidazoles. These are organic compounds containing a benzene ring fused to an imidazole ring (five member ring containing a nitrogen atom, 4 carbon atoms, and two double bonds).",Benzimidazoles,EXPT00791,Organic compounds,,Organoheterocyclic compounds
Pyrazolopyrimidines,"This compound belongs to the class of organic compounds known as pyrazolo[1,5-a]pyrimidines. These are aromatic heterocyclic compounds containing a pyrazolo[3,4-d]pyrimidine ring system, which consists of a pyrazole ring fused to and sharing exactly one nitrogen atom with a pyrimidine ring.","Pyrazolo[1,5-a]pyrimidines",EXPT01045,Organic compounds,"Pyrazolo[1,5-a]pyrimidines",Organoheterocyclic compounds
Organooxygen compounds,This compound belongs to the class of organic compounds known as c-glycosyl compounds. These are glycoside in which a sugar group is bonded through one carbon to another group via a C-glycosidic bond.,C-glycosyl compounds,EXPT01597,Organic compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds
Carboxylic acids and derivatives,This compound belongs to the class of organic compounds known as l-alpha-amino acids. These are alpha amino acids which have the L-configuration of the alpha-carbon atom.,L-alpha-amino acids,EXPT02674,Organic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives
Carboxylic acids and derivatives,This compound belongs to the class of organic compounds known as l-alpha-amino acids. These are alpha amino acids which have the L-configuration of the alpha-carbon atom.,L-alpha-amino acids,EXPT01513,Organic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives
Pyrrolidines,"This compound belongs to the class of organic compounds known as maleimides. These are compounds containing a 2,5-pyrroledione moiety.",Maleimides,EXPT02327,Organic compounds,Pyrrolidones,Organoheterocyclic compounds
,,,EXPT02561,,,
Azoles,"This compound belongs to the class of organic compounds known as 4,5-disubstituted thiazoles. These are compounds containing a thiazole ring substituted at positions 4 and 5 only.","4,5-disubstituted thiazoles",EXPT03151,Organic compounds,Thiazoles,Organoheterocyclic compounds
Benzene and substituted derivatives,This compound belongs to the class of organic compounds known as phenylpropanes. These are organic compounds containing a phenylpropane moiety.,Phenylpropanes,EXPT02667,Organic compounds,Phenylpropanes,Benzenoids
Carboxylic acids and derivatives,This compound belongs to the class of organic compounds known as l-alpha-amino acids. These are alpha amino acids which have the L-configuration of the alpha-carbon atom.,L-alpha-amino acids,EXPT00593,Organic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives
Benzene and substituted derivatives,This compound belongs to the class of organic compounds known as amphetamines and derivatives. These are organic compounds containing or derived from 1-phenylpropan-2-amine.,Amphetamines and derivatives,EXPT02626,Organic compounds,Phenethylamines,Benzenoids
Benzene and substituted derivatives,This compound belongs to the class of organic compounds known as benzenesulfonamides. These are organic compounds containing a sulfonamide group that is S-linked to a benzene ring.,Benzenesulfonamides,EXPT00008,Organic compounds,Benzenesulfonamides,Benzenoids
Azoles,This compound belongs to the class of organic compounds known as phenylimidazoles. These are polycyclic aromatic compounds containing a benzene ring linked to an imidazole ring through a CC or CN bond.,Phenylimidazoles,EXPT01008,Organic compounds,Imidazoles,Organoheterocyclic compounds
Macrolactams,"This compound belongs to the class of organic compounds known as macrolactams. These are cyclic amides of amino carboxylic acids, having a 1-azacycloalkan-2-one structure, or analogues having unsaturation or heteroatoms replacing one or more carbon atoms of the ring.  They are nitrogen analogues (the a nitrogen atom replacing the o atom of the cyclic carboxylic acid group ) of the naturally occurring macrolides.",Macrolactams,EXPT01578,Organic compounds,,Phenylpropanoids and polyketides
Pyrimidine nucleotides,This compound belongs to the class of organic compounds known as pyrimidine nucleotide sugars. These are pyrimidine nucleotides bound to a saccharide derivative through the terminal phosphate group.,Pyrimidine nucleotide sugars,EXPT03197,Organic compounds,Pyrimidine nucleotide sugars,"Nucleosides, nucleotides, and analogues"
Benzene and substituted derivatives,This compound belongs to the class of organic compounds known as phenoxyacetic acid derivatives. These are compounds containing an anisole where the methane group is linked to an acetic acid or a derivative.,Phenoxyacetic acid derivatives,EXPT03015,Organic compounds,Phenoxyacetic acid derivatives,Benzenoids
Carboxylic acids and derivatives,"This compound belongs to the class of organic compounds known as leucine and derivatives. These are compounds containing leucine or a derivative thereof resulting from reaction of leucine at the amino group or the carboxy group, or from the replacement of any hydrogen of glycine by a heteroatom.",Leucine and derivatives,EXPT01755,Organic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives
Isothioureas,"This compound belongs to the class of organic compounds known as isothioureas. These are organic compounds containing the isothiourea group, with the general structure R1SC(=NR2)N(R3)R4 (R1,R2,R3,R4=H, alkyl, aryl).",Isothioureas,EXPT02394,Organic compounds,,Organosulfur compounds
Pyrimidine nucleosides,This compound belongs to the class of organic compounds known as pyrimidine 2'-deoxyribonucleosides. These are compounds consisting of a pyrimidine linked to a ribose which lacks a hydroxyl group at position 2.,Pyrimidine 2'-deoxyribonucleosides,EXPT03057,Organic compounds,Pyrimidine 2'-deoxyribonucleosides,"Nucleosides, nucleotides, and analogues"
Pyridines and derivatives,This compound belongs to the class of organic compounds known as pyridoxamine 5'-phosphates. These are heterocyclic aromatic compounds containing a pyridoxamine that carries a phosphate group at the 5'-position.,Pyridoxamine 5'-phosphates,EXPT02715,Organic compounds,Pyridoxamines,Organoheterocyclic compounds
Fatty Acyls,This compound belongs to the class of organic compounds known as long-chain fatty alcohols. These are fatty alcohols that have an aliphatic tail of 13 to 21 carbon atoms.,Long-chain fatty alcohols,EXPT00738,Organic compounds,Fatty alcohols,Lipids and lipid-like molecules
Organic sulfonic acids and derivatives,"This compound belongs to the class of organic compounds known as organosulfonic acids. These are compounds containing the sulfonic acid group, which has the general structure RS(=O)2OH (R is not a hydrogen atom).",Organosulfonic acids,EXPT02614,Organic compounds,Organosulfonic acids and derivatives,Organic acids and derivatives
Diazanaphthalenes,This compound belongs to the class of organic compounds known as quinazolinamines. These are heterocyclic aromatic compounds containing a quianazoline moiety substituted by one or more amine groups.,Quinazolinamines,EXPT02240,Organic compounds,Benzodiazines,Organoheterocyclic compounds
Imidazopyrimidines,This compound belongs to the class of organic compounds known as hypoxanthines. These are compounds containing the purine derivative 1H-purin-6(9H)-one. Purine is a bicyclic aromatic compound made up of a pyrimidine ring fused to an imidazole ring.,Hypoxanthines,EXPT00334,Organic compounds,Purines and purine derivatives,Organoheterocyclic compounds
Thiophenes,"This compound belongs to the class of organic compounds known as 2,5-disubstituted thiophenes. These are organic compounds containing a thiophene that is disubstituted at the C-2,  and C5-positions.","2,5-disubstituted thiophenes",EXPT03089,Organic compounds,"2,5-disubstituted thiophenes",Organoheterocyclic compounds
Carboxylic acids and derivatives,This compound belongs to the class of organic compounds known as l-cysteine-s-conjugates. These are compounds containing L-cysteine where the thio-group is conjugated.,L-cysteine-S-conjugates,EXPT03271,Organic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives
,,,EXPT01942,,,
Benzimidazoles,"This compound belongs to the class of organic compounds known as phenylbenzimidazoles. These are compounds containing a phenylbenzimidazole skeleton, which consists of a benzimidazole moiety where its imidazole ring is attached to a phenyl group.",Phenylbenzimidazoles,EXPT00346,Organic compounds,Phenylbenzimidazoles,Organoheterocyclic compounds
Fatty Acyls,"This compound belongs to the class of organic compounds known as fatty acyl thioesters. These are thioester derivatives of a fatty acid with the general formula RC(=O)SR', where R is the fatty acyl chain.",Fatty acyl thioesters,EXPT03058,Organic compounds,Fatty acyl thioesters,Lipids and lipid-like molecules
Benzene and substituted derivatives,This compound belongs to the class of organic compounds known as trifluoromethylbenzenes. These are organofluorine compounds that contain a benzene ring substituted with one or more trifluoromethyl groups.,Trifluoromethylbenzenes,EXPT03044,Organic compounds,Trifluoromethylbenzenes,Benzenoids
Organooxygen compounds,This compound belongs to the class of organic compounds known as monosaccharide phosphates. These are monosaccharides comprising a phosphated group linked to the carbohydrate unit.,Monosaccharide phosphates,EXPT01682,Organic compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds
Diazines,"This compound belongs to the class of organic compounds known as pyrimidones. These are compounds that contain a pyrimidine ring, which bears a ketone. Pyrimidine is a 6-membered ring consisting of four carbon atoms and two nitrogen centers at the 1- and 3- ring positions.",Pyrimidones,EXPT02210,Organic compounds,Pyrimidines and pyrimidine derivatives,Organoheterocyclic compounds
Organometalloid compounds,This compound belongs to the class of organic compounds known as pentaorganoarsanes. These are organoarsenic compounds containing an arsenic compound that is pentasubstituted by only organic groups.,Pentaorganoarsanes,EXPT00823,Organic compounds,Organoarsenic compounds,Organometallic compounds
Organonitrogen compounds,"This compound belongs to the class of organic compounds known as cyclohexylamines. These are organic compounds containing a cyclohexylamine moiety, which consist of a cyclohexane ring attached to an amine group.",Cyclohexylamines,EXPT01690,Organic compounds,Cyclohexylamines,Organic nitrogen compounds
Fatty Acyls,"This compound belongs to the class of organic compounds known as methyl-branched fatty acids. These are fatty acids with an acyl chain that has a methyl branch. Usually, they are saturated and contain only one or more methyl group. However, branches other than methyl may be present.",Methyl-branched fatty acids,EXPT02916,Organic compounds,Fatty acids and conjugates,Lipids and lipid-like molecules
