atc-code,atc-level,description
R06AA54,R06A,ANTIHISTAMINES FOR SYSTEMIC USE
R06AA54,R06,ANTIHISTAMINES FOR SYSTEMIC USE
R06AA54,R,RESPIRATORY SYSTEM
R06AA54,R06AA,Aminoalkyl ethers
R06AA54,R06A,ANTIHISTAMINES FOR SYSTEMIC USE
R06AA54,R06,ANTIHISTAMINES FOR SYSTEMIC USE
R06AA54,R,RESPIRATORY SYSTEM
A10BD17,A10BF,Alpha glucosidase inhibitors
A10BD17,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
A10BD17,A10,DRUGS USED IN DIABETES
A10BD17,A,ALIMENTARY TRACT AND METABOLISM
A10BD17,A10BD,Combinations of oral blood glucose lowering drugs
A10BD17,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
A10BD17,A10,DRUGS USED IN DIABETES
A10BD17,A,ALIMENTARY TRACT AND METABOLISM
N06AX16,N06AX,Other antidepressants
N06AX16,N06A,ANTIDEPRESSANTS
N06AX16,N06,PSYCHOANALEPTICS
N06AX16,N,NERVOUS SYSTEM
G03CA57,G03CC,"Estrogens, combinations with other drugs"
G03CA57,G03C,ESTROGENS
G03CA57,G03,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM
G03CA57,G,GENITO URINARY SYSTEM AND SEX HORMONES
G03CA57,G03CA,"Natural and semisynthetic estrogens, plain"
G03CA57,G03C,ESTROGENS
G03CA57,G03,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM
G03CA57,G,GENITO URINARY SYSTEM AND SEX HORMONES
S01EE04,S01EE,Prostaglandin analogues
S01EE04,S01E,ANTIGLAUCOMA PREPARATIONS AND MIOTICS
S01EE04,S01,OPHTHALMOLOGICALS
S01EE04,S,SENSORY ORGANS
D07AC11,D07AC,"Corticosteroids, potent (group III)"
D07AC11,D07A,"CORTICOSTEROIDS, PLAIN"
D07AC11,D07,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS"
D07AC11,D,DERMATOLOGICALS
N06BA09,N06BA,Centrally acting sympathomimetics
N06BA09,N06B,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS"
N06BA09,N06,PSYCHOANALEPTICS
N06BA09,N,NERVOUS SYSTEM
L01DC01,L01DC,Other cytotoxic antibiotics
L01DC01,L01D,CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES
L01DC01,L01,ANTINEOPLASTIC AGENTS
L01DC01,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L01AA02,L01AA,Nitrogen mustard analogues
L01AA02,L01A,ALKYLATING AGENTS
L01AA02,L01,ANTINEOPLASTIC AGENTS
L01AA02,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
N01AX07,N01AX,Other general anesthetics
N01AX07,N01A,"ANESTHETICS, GENERAL"
N01AX07,N01,ANESTHETICS
N01AX07,N,NERVOUS SYSTEM
L01BA03,L01BA,Folic acid analogues
L01BA03,L01B,ANTIMETABOLITES
L01BA03,L01,ANTINEOPLASTIC AGENTS
L01BA03,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
G03AC08,G03AC,Progestogens
G03AC08,G03A,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE
G03AC08,G03,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM
G03AC08,G,GENITO URINARY SYSTEM AND SEX HORMONES
N02AG01,N02AA,Natural opium alkaloids
N02AG01,N02A,OPIOIDS
N02AG01,N02,ANALGESICS
N02AG01,N,NERVOUS SYSTEM
N02AG01,A07DA,Antipropulsives
N02AG01,A07D,ANTIPROPULSIVES
N02AG01,A07,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS"
N02AG01,A,ALIMENTARY TRACT AND METABOLISM
N02AG01,N02AA,Natural opium alkaloids
N02AG01,N02A,OPIOIDS
N02AG01,N02,ANALGESICS
N02AG01,N,NERVOUS SYSTEM
N02AG01,N02AG,Opioids in combination with antispasmodics
N02AG01,N02A,OPIOIDS
N02AG01,N02,ANALGESICS
N02AG01,N,NERVOUS SYSTEM
N01BB09,N01BB,Amides
N01BB09,N01B,"ANESTHETICS, LOCAL"
N01BB09,N01,ANESTHETICS
N01BB09,N,NERVOUS SYSTEM
N01BB51,N01BB,Amides
N01BB51,N01B,"ANESTHETICS, LOCAL"
N01BB51,N01,ANESTHETICS
N01BB51,N,NERVOUS SYSTEM
N01BB51,N01BB,Amides
N01BB51,N01B,"ANESTHETICS, LOCAL"
N01BB51,N01,ANESTHETICS
N01BB51,N,NERVOUS SYSTEM
S01EX02,S01EX,Other antiglaucoma preparations
S01EX02,S01E,ANTIGLAUCOMA PREPARATIONS AND MIOTICS
S01EX02,S01,OPHTHALMOLOGICALS
S01EX02,S,SENSORY ORGANS
J05AB13,D06BB,Antivirals
J05AB13,D06B,CHEMOTHERAPEUTICS FOR TOPICAL USE
J05AB13,D06,ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE
J05AB13,D,DERMATOLOGICALS
J05AB13,R03DA,Xanthines
J05AB13,R03D,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES
J05AB13,R03,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES
J05AB13,R,RESPIRATORY SYSTEM
J05AB13,J05AB,Nucleosides and nucleotides excl. reverse transcriptase inhibitors
J05AB13,J05A,DIRECT ACTING ANTIVIRALS
J05AB13,J05,ANTIVIRALS FOR SYSTEMIC USE
J05AB13,J,ANTIINFECTIVES FOR SYSTEMIC USE
J05AR11,J05AR,"Antivirals for treatment of HIV infections, combinations"
J05AR11,J05A,DIRECT ACTING ANTIVIRALS
J05AR11,J05,ANTIVIRALS FOR SYSTEMIC USE
J05AR11,J,ANTIINFECTIVES FOR SYSTEMIC USE
J05AR11,J05AR,"Antivirals for treatment of HIV infections, combinations"
J05AR11,J05A,DIRECT ACTING ANTIVIRALS
J05AR11,J05,ANTIVIRALS FOR SYSTEMIC USE
J05AR11,J,ANTIINFECTIVES FOR SYSTEMIC USE
J05AR11,J05AR,"Antivirals for treatment of HIV infections, combinations"
J05AR11,J05A,DIRECT ACTING ANTIVIRALS
J05AR11,J05,ANTIVIRALS FOR SYSTEMIC USE
J05AR11,J,ANTIINFECTIVES FOR SYSTEMIC USE
J05AR11,J05AR,"Antivirals for treatment of HIV infections, combinations"
J05AR11,J05A,DIRECT ACTING ANTIVIRALS
J05AR11,J05,ANTIVIRALS FOR SYSTEMIC USE
J05AR11,J,ANTIINFECTIVES FOR SYSTEMIC USE
J05AR11,J05AR,"Antivirals for treatment of HIV infections, combinations"
J05AR11,J05A,DIRECT ACTING ANTIVIRALS
J05AR11,J05,ANTIVIRALS FOR SYSTEMIC USE
J05AR11,J,ANTIINFECTIVES FOR SYSTEMIC USE
J05AR11,J05AF,Nucleoside and nucleotide reverse transcriptase inhibitors
J05AR11,J05A,DIRECT ACTING ANTIVIRALS
J05AR11,J05,ANTIVIRALS FOR SYSTEMIC USE
J05AR11,J,ANTIINFECTIVES FOR SYSTEMIC USE
J05AR11,J05AR,"Antivirals for treatment of HIV infections, combinations"
J05AR11,J05A,DIRECT ACTING ANTIVIRALS
J05AR11,J05,ANTIVIRALS FOR SYSTEMIC USE
J05AR11,J,ANTIINFECTIVES FOR SYSTEMIC USE
J01CF05,J01CR,"Combinations of penicillins, incl. beta-lactamase inhibitors"
J01CF05,J01C,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS"
J01CF05,J01,ANTIBACTERIALS FOR SYSTEMIC USE
J01CF05,J,ANTIINFECTIVES FOR SYSTEMIC USE
J01CF05,J01CF,Beta-lactamase resistant penicillins
J01CF05,J01C,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS"
J01CF05,J01,ANTIBACTERIALS FOR SYSTEMIC USE
J01CF05,J,ANTIINFECTIVES FOR SYSTEMIC USE
B02AA02,B02AA,Amino acids
B02AA02,B02A,ANTIFIBRINOLYTICS
B02AA02,B02,ANTIHEMORRHAGICS
B02AA02,B,BLOOD AND BLOOD FORMING ORGANS
J01DH03,J01DH,Carbapenems
J01DH03,J01D,OTHER BETA-LACTAM ANTIBACTERIALS
J01DH03,J01,ANTIBACTERIALS FOR SYSTEMIC USE
J01DH03,J,ANTIINFECTIVES FOR SYSTEMIC USE
G03FB10,G03AC,Progestogens
G03FB10,G03A,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE
G03FB10,G03,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM
G03FB10,G,GENITO URINARY SYSTEM AND SEX HORMONES
G03FB10,G03AB,"Progestogens and estrogens, sequential preparations"
G03FB10,G03A,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE
G03FB10,G03,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM
G03FB10,G,GENITO URINARY SYSTEM AND SEX HORMONES
G03FB10,G03AA,"Progestogens and estrogens, fixed combinations"
G03FB10,G03A,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE
G03FB10,G03,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM
G03FB10,G,GENITO URINARY SYSTEM AND SEX HORMONES
G03FB10,G03FB,"Progestogens and estrogens, sequential preparations"
G03FB10,G03F,PROGESTOGENS AND ESTROGENS IN COMBINATION
G03FB10,G03,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM
G03FB10,G,GENITO URINARY SYSTEM AND SEX HORMONES
L01DC03,L01DC,Other cytotoxic antibiotics
L01DC03,L01D,CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES
L01DC03,L01,ANTINEOPLASTIC AGENTS
L01DC03,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
N05CA07,N05CA,"Barbiturates, plain"
N05CA07,N05C,HYPNOTICS AND SEDATIVES
N05CA07,N05,PSYCHOLEPTICS
N05CA07,N,NERVOUS SYSTEM
L01XX25,L01XX,Other antineoplastic agents
L01XX25,L01X,OTHER ANTINEOPLASTIC AGENTS
L01XX25,L01,ANTINEOPLASTIC AGENTS
L01XX25,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
C01BD05,C01BD,"Antiarrhythmics, class III"
C01BD05,C01B,"ANTIARRHYTHMICS, CLASS I AND III"
C01BD05,C01,CARDIAC THERAPY
C01BD05,C,CARDIOVASCULAR SYSTEM
L01CA03,L01CA,Vinca alkaloids and analogues
L01CA03,L01C,PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS
L01CA03,L01,ANTINEOPLASTIC AGENTS
L01CA03,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
G01AE10,C03BA,"Sulfonamides, plain"
G01AE10,C03B,"LOW-CEILING DIURETICS, EXCL. THIAZIDES"
G01AE10,C03,DIURETICS
G01AE10,C,CARDIOVASCULAR SYSTEM
G01AE10,C03BB,Sulfonamides and potassium in combination
G01AE10,C03B,"LOW-CEILING DIURETICS, EXCL. THIAZIDES"
G01AE10,C03,DIURETICS
G01AE10,C,CARDIOVASCULAR SYSTEM
G01AE10,C03EA,Low-ceiling diuretics and potassium-sparing agents
G01AE10,C03E,DIURETICS AND POTASSIUM-SPARING AGENTS IN COMBINATION
G01AE10,C03,DIURETICS
G01AE10,C,CARDIOVASCULAR SYSTEM
G01AE10,G01AE,Sulfonamides
G01AE10,G01A,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS"
G01AE10,G01,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS
G01AE10,G,GENITO URINARY SYSTEM AND SEX HORMONES
N05CB01,N05CA,"Barbiturates, plain"
N05CB01,N05C,HYPNOTICS AND SEDATIVES
N05CB01,N05,PSYCHOLEPTICS
N05CB01,N,NERVOUS SYSTEM
N05CB01,N05CB,"Barbiturates, combinations"
N05CB01,N05C,HYPNOTICS AND SEDATIVES
N05CB01,N05,PSYCHOLEPTICS
N05CB01,N,NERVOUS SYSTEM
N03AG01,N03AG,Fatty acid derivatives
N03AG01,N03A,ANTIEPILEPTICS
N03AG01,N03,ANTIEPILEPTICS
N03AG01,N,NERVOUS SYSTEM
J04AB30,J04AB,Antibiotics
J04AB30,J04A,DRUGS FOR TREATMENT OF TUBERCULOSIS
J04AB30,J04,ANTIMYCOBACTERIALS
J04AB30,J,ANTIINFECTIVES FOR SYSTEMIC USE
N02CC03,N02CC,Selective serotonin (5HT1) agonists
N02CC03,N02C,ANTIMIGRAINE PREPARATIONS
N02CC03,N02,ANALGESICS
N02CC03,N,NERVOUS SYSTEM
N02BE71,N02BE,Anilides
N02BE71,N02B,OTHER ANALGESICS AND ANTIPYRETICS
N02BE71,N02,ANALGESICS
N02BE71,N,NERVOUS SYSTEM
N02BE71,N02BE,Anilides
N02BE71,N02B,OTHER ANALGESICS AND ANTIPYRETICS
N02BE71,N02,ANALGESICS
N02BE71,N,NERVOUS SYSTEM
N02BE71,N02BE,Anilides
N02BE71,N02B,OTHER ANALGESICS AND ANTIPYRETICS
N02BE71,N02,ANALGESICS
N02BE71,N,NERVOUS SYSTEM
L01XE02,L01XE,Protein kinase inhibitors
L01XE02,L01X,OTHER ANTINEOPLASTIC AGENTS
L01XE02,L01,ANTINEOPLASTIC AGENTS
L01XE02,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
R05DA04,N02AA,Natural opium alkaloids
R05DA04,N02A,OPIOIDS
R05DA04,N02,ANALGESICS
R05DA04,N,NERVOUS SYSTEM
R05DA04,N02AA,Natural opium alkaloids
R05DA04,N02A,OPIOIDS
R05DA04,N02,ANALGESICS
R05DA04,N,NERVOUS SYSTEM
R05DA04,R05DA,Opium alkaloids and derivatives
R05DA04,R05D,"COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS"
R05DA04,R05,COUGH AND COLD PREPARATIONS
R05DA04,R,RESPIRATORY SYSTEM
J01CR05,J01CA,Penicillins with extended spectrum
J01CR05,J01C,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS"
J01CR05,J01,ANTIBACTERIALS FOR SYSTEMIC USE
J01CR05,J,ANTIINFECTIVES FOR SYSTEMIC USE
J01CR05,J01CR,"Combinations of penicillins, incl. beta-lactamase inhibitors"
J01CR05,J01C,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS"
J01CR05,J01,ANTIBACTERIALS FOR SYSTEMIC USE
J01CR05,J,ANTIINFECTIVES FOR SYSTEMIC USE
J01CR05,J01CR,"Combinations of penicillins, incl. beta-lactamase inhibitors"
J01CR05,J01C,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS"
J01CR05,J01,ANTIBACTERIALS FOR SYSTEMIC USE
J01CR05,J,ANTIINFECTIVES FOR SYSTEMIC USE
N02CA51,N02CA,Ergot alkaloids
N02CA51,N02C,ANTIMIGRAINE PREPARATIONS
N02CA51,N02,ANALGESICS
N02CA51,N,NERVOUS SYSTEM
N02CA51,N02CA,Ergot alkaloids
N02CA51,N02C,ANTIMIGRAINE PREPARATIONS
N02CA51,N02,ANALGESICS
N02CA51,N,NERVOUS SYSTEM
N06AA09,N06CA,Antidepressants in combination with psycholeptics
N06AA09,N06C,PSYCHOLEPTICS AND PSYCHOANALEPTICS IN COMBINATION
N06AA09,N06,PSYCHOANALEPTICS
N06AA09,N,NERVOUS SYSTEM
N06AA09,N06AA,Non-selective monoamine reuptake inhibitors
N06AA09,N06A,ANTIDEPRESSANTS
N06AA09,N06,PSYCHOANALEPTICS
N06AA09,N,NERVOUS SYSTEM
N04BX01,N04BX,Other dopaminergic agents
N04BX01,N04B,DOPAMINERGIC AGENTS
N04BX01,N04,ANTI-PARKINSON DRUGS
N04BX01,N,NERVOUS SYSTEM
S01CA07,D10AA,"Corticosteroids, combinations for treatment of acne"
S01CA07,D10A,ANTI-ACNE PREPARATIONS FOR TOPICAL USE
S01CA07,D10,ANTI-ACNE PREPARATIONS
S01CA07,D,DERMATOLOGICALS
S01CA07,C05AA,Corticosteroids
S01CA07,C05A,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE
S01CA07,C05,VASOPROTECTIVES
S01CA07,C,CARDIOVASCULAR SYSTEM
S01CA07,S01BA,"Corticosteroids, plain"
S01CA07,S01B,ANTIINFLAMMATORY AGENTS
S01CA07,S01,OPHTHALMOLOGICALS
S01CA07,S,SENSORY ORGANS
S01CA07,D07XB,"Corticosteroids, moderately potent, other combinations"
S01CA07,D07X,"CORTICOSTEROIDS, OTHER COMBINATIONS"
S01CA07,D07,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS"
S01CA07,D,DERMATOLOGICALS
S01CA07,S01CB,Corticosteroids/antiinfectives/mydriatics in combination
S01CA07,S01C,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION
S01CA07,S01,OPHTHALMOLOGICALS
S01CA07,S,SENSORY ORGANS
S01CA07,D07AB,"Corticosteroids, moderately potent (group II)"
S01CA07,D07A,"CORTICOSTEROIDS, PLAIN"
S01CA07,D07,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS"
S01CA07,D,DERMATOLOGICALS
S01CA07,S01BB,Corticosteroids and mydriatics in combination
S01CA07,S01B,ANTIINFLAMMATORY AGENTS
S01CA07,S01,OPHTHALMOLOGICALS
S01CA07,S,SENSORY ORGANS
S01CA07,D07CB,"Corticosteroids, moderately potent, combinations with antibiotics"
S01CA07,D07C,"CORTICOSTEROIDS, COMBINATIONS WITH ANTIBIOTICS"
S01CA07,D07,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS"
S01CA07,D,DERMATOLOGICALS
S01CA07,S01CA,Corticosteroids and antiinfectives in combination
S01CA07,S01C,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION
S01CA07,S01,OPHTHALMOLOGICALS
S01CA07,S,SENSORY ORGANS
C02DD01,C02DD,Nitroferricyanide derivatives
C02DD01,C02D,"ARTERIOLAR SMOOTH MUSCLE, AGENTS ACTING ON"
C02DD01,C02,ANTIHYPERTENSIVES
C02DD01,C,CARDIOVASCULAR SYSTEM
A12AA10,A12AA,Calcium
A12AA10,A12A,CALCIUM
A12AA10,A12,MINERAL SUPPLEMENTS
A12AA10,A,ALIMENTARY TRACT AND METABOLISM
N02AA03,N02AG,Opioids in combination with antispasmodics
N02AA03,N02A,OPIOIDS
N02AA03,N02,ANALGESICS
N02AA03,N,NERVOUS SYSTEM
N02AA03,N02AA,Natural opium alkaloids
N02AA03,N02A,OPIOIDS
N02AA03,N02,ANALGESICS
N02AA03,N,NERVOUS SYSTEM
C01EB03,S01CC,"Antiinflammatory agents, non-steroids and antiinfectives in combination"
C01EB03,S01C,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION
C01EB03,S01,OPHTHALMOLOGICALS
C01EB03,S,SENSORY ORGANS
C01EB03,M02AA,"Antiinflammatory preparations, non-steroids for topical use"
C01EB03,M02A,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN
C01EB03,M02,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN
C01EB03,M,MUSCULO-SKELETAL SYSTEM
C01EB03,M01AB,Acetic acid derivatives and related substances
C01EB03,M01A,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS"
C01EB03,M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS
C01EB03,M,MUSCULO-SKELETAL SYSTEM
C01EB03,M01AB,Acetic acid derivatives and related substances
C01EB03,M01A,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS"
C01EB03,M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS
C01EB03,M,MUSCULO-SKELETAL SYSTEM
C01EB03,S01BC,"Antiinflammatory agents, non-steroids"
C01EB03,S01B,ANTIINFLAMMATORY AGENTS
C01EB03,S01,OPHTHALMOLOGICALS
C01EB03,S,SENSORY ORGANS
C01EB03,C01EB,Other cardiac preparations
C01EB03,C01E,OTHER CARDIAC PREPARATIONS
C01EB03,C01,CARDIAC THERAPY
C01EB03,C,CARDIOVASCULAR SYSTEM
J04AM03,J04AM,Combinations of drugs for treatment of tuberculosis
J04AM03,J04A,DRUGS FOR TREATMENT OF TUBERCULOSIS
J04AM03,J04,ANTIMYCOBACTERIALS
J04AM03,J,ANTIINFECTIVES FOR SYSTEMIC USE
J04AM03,J04AK,Other drugs for treatment of tuberculosis
J04AM03,J04A,DRUGS FOR TREATMENT OF TUBERCULOSIS
J04AM03,J04,ANTIMYCOBACTERIALS
J04AM03,J,ANTIINFECTIVES FOR SYSTEMIC USE
J04AM03,J04AM,Combinations of drugs for treatment of tuberculosis
J04AM03,J04A,DRUGS FOR TREATMENT OF TUBERCULOSIS
J04AM03,J04,ANTIMYCOBACTERIALS
J04AM03,J,ANTIINFECTIVES FOR SYSTEMIC USE
A10BD11,A10BA,Biguanides
A10BD11,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
A10BD11,A10,DRUGS USED IN DIABETES
A10BD11,A,ALIMENTARY TRACT AND METABOLISM
A10BD11,A10BD,Combinations of oral blood glucose lowering drugs
A10BD11,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
A10BD11,A10,DRUGS USED IN DIABETES
A10BD11,A,ALIMENTARY TRACT AND METABOLISM
A10BD11,A10BD,Combinations of oral blood glucose lowering drugs
A10BD11,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
A10BD11,A10,DRUGS USED IN DIABETES
A10BD11,A,ALIMENTARY TRACT AND METABOLISM
A10BD11,A10BD,Combinations of oral blood glucose lowering drugs
A10BD11,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
A10BD11,A10,DRUGS USED IN DIABETES
A10BD11,A,ALIMENTARY TRACT AND METABOLISM
A10BD11,A10BD,Combinations of oral blood glucose lowering drugs
A10BD11,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
A10BD11,A10,DRUGS USED IN DIABETES
A10BD11,A,ALIMENTARY TRACT AND METABOLISM
A10BD11,A10BD,Combinations of oral blood glucose lowering drugs
A10BD11,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
A10BD11,A10,DRUGS USED IN DIABETES
A10BD11,A,ALIMENTARY TRACT AND METABOLISM
A10BD11,A10BD,Combinations of oral blood glucose lowering drugs
A10BD11,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
A10BD11,A10,DRUGS USED IN DIABETES
A10BD11,A,ALIMENTARY TRACT AND METABOLISM
A10BD11,A10BD,Combinations of oral blood glucose lowering drugs
A10BD11,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
A10BD11,A10,DRUGS USED IN DIABETES
A10BD11,A,ALIMENTARY TRACT AND METABOLISM
A10BD11,A10BD,Combinations of oral blood glucose lowering drugs
A10BD11,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
A10BD11,A10,DRUGS USED IN DIABETES
A10BD11,A,ALIMENTARY TRACT AND METABOLISM
A10BD11,A10BD,Combinations of oral blood glucose lowering drugs
A10BD11,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
A10BD11,A10,DRUGS USED IN DIABETES
A10BD11,A,ALIMENTARY TRACT AND METABOLISM
A10BD11,A10BD,Combinations of oral blood glucose lowering drugs
A10BD11,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
A10BD11,A10,DRUGS USED IN DIABETES
A10BD11,A,ALIMENTARY TRACT AND METABOLISM
A10BD11,A10BD,Combinations of oral blood glucose lowering drugs
A10BD11,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
A10BD11,A10,DRUGS USED IN DIABETES
A10BD11,A,ALIMENTARY TRACT AND METABOLISM
A10BD11,A10BD,Combinations of oral blood glucose lowering drugs
A10BD11,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
A10BD11,A10,DRUGS USED IN DIABETES
A10BD11,A,ALIMENTARY TRACT AND METABOLISM
A10BD11,A10BD,Combinations of oral blood glucose lowering drugs
A10BD11,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
A10BD11,A10,DRUGS USED IN DIABETES
A10BD11,A,ALIMENTARY TRACT AND METABOLISM
A10BD11,A10BD,Combinations of oral blood glucose lowering drugs
A10BD11,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
A10BD11,A10,DRUGS USED IN DIABETES
A10BD11,A,ALIMENTARY TRACT AND METABOLISM
R01AX03,R03BB,Anticholinergics
R01AX03,R03B,"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS"
R01AX03,R03,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES
R01AX03,R,RESPIRATORY SYSTEM
R01AX03,R03AL,Adrenergics in combination with anticholinergics
R01AX03,R03A,"ADRENERGICS, INHALANTS"
R01AX03,R03,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES
R01AX03,R,RESPIRATORY SYSTEM
R01AX03,R03AL,Adrenergics in combination with anticholinergics
R01AX03,R03A,"ADRENERGICS, INHALANTS"
R01AX03,R03,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES
R01AX03,R,RESPIRATORY SYSTEM
R01AX03,R01AX,Other nasal preparations
R01AX03,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE
R01AX03,R01,NASAL PREPARATIONS
R01AX03,R,RESPIRATORY SYSTEM
N02AC52,N07BC,Drugs used in opioid dependence
N02AC52,N07B,DRUGS USED IN ADDICTIVE DISORDERS
N02AC52,N07,OTHER NERVOUS SYSTEM DRUGS
N02AC52,N,NERVOUS SYSTEM
N02AC52,N02AC,Diphenylpropylamine derivatives
N02AC52,N02A,OPIOIDS
N02AC52,N02,ANALGESICS
N02AC52,N,NERVOUS SYSTEM
N05AH03,N05AH,"Diazepines, oxazepines, thiazepines and oxepines"
N05AH03,N05A,ANTIPSYCHOTICS
N05AH03,N05,PSYCHOLEPTICS
N05AH03,N,NERVOUS SYSTEM
C07AB03,C07CB,"Beta blocking agents, selective, and other diuretics"
C07AB03,C07C,BETA BLOCKING AGENTS AND OTHER DIURETICS
C07AB03,C07,BETA BLOCKING AGENTS
C07AB03,C,CARDIOVASCULAR SYSTEM
C07AB03,C07DB,"Beta blocking agents, selective, thiazides and other diuretics"
C07AB03,C07D,"BETA BLOCKING AGENTS, THIAZIDES AND OTHER DIURETICS"
C07AB03,C07,BETA BLOCKING AGENTS
C07AB03,C,CARDIOVASCULAR SYSTEM
C07AB03,C07FB,"Beta blocking agents, selective, and other antihypertensives"
C07AB03,C07F,BETA BLOCKING AGENTS AND OTHER ANTIHYPERTENSIVES
C07AB03,C07,BETA BLOCKING AGENTS
C07AB03,C,CARDIOVASCULAR SYSTEM
C07AB03,C07BB,"Beta blocking agents, selective, and thiazides"
C07AB03,C07B,BETA BLOCKING AGENTS AND THIAZIDES
C07AB03,C07,BETA BLOCKING AGENTS
C07AB03,C,CARDIOVASCULAR SYSTEM
C07AB03,C07CB,"Beta blocking agents, selective, and other diuretics"
C07AB03,C07C,BETA BLOCKING AGENTS AND OTHER DIURETICS
C07AB03,C07,BETA BLOCKING AGENTS
C07AB03,C,CARDIOVASCULAR SYSTEM
C07AB03,C07AB,"Beta blocking agents, selective"
C07AB03,C07A,BETA BLOCKING AGENTS
C07AB03,C07,BETA BLOCKING AGENTS
C07AB03,C,CARDIOVASCULAR SYSTEM
