drugbank-id,interaction
APRD00067,Food increases the peak plasma concentration of extended-release tablets with no effect on extent of absorption.
APRD00067,Food increases the time to peak concentration of regular release oral formulations by 1.4 to 3.8 hours with no effect on extent of absorption. 
APRD00067,Take with food to reduce gastric irritation.
APRD00645,"Avoid aged foods (chesse, red wine), pickled foods, cured foods (bacon/ham), chocolate, fava beans, beer, unless approved by your physician."
APRD00645,Avoid alcohol.
APRD00645,Avoid excessive quantities of coffee or tea (caffeine).
APRD00645,Avoid St. John's Wort.
APRD00518,Take without regard to meals.
APRD00572,"Avoid milk, calcium containing dairy products, iron, antacids, or aluminium salts 2 hours before or 6 hours after using antacids while on this medication."
APRD00572,Take on empty stomach: 1 hour before or 2 hours after meals.
APRD00572,Take with a full glass of water.
APRD01322,Take with a full glass of water Take after a full meal.
APRD00002,"Always take at the same moment in regard to meals, food may affect absorption unpredictably."
APRD00239,Grapefruit and grapefruit juice should be avoided throughout treatment as grapefruit can decrease serum levels of this product.
APRD01308,Take without regard to meals. Avoid alcohol.
APRD01133,Take with food to reduce irritation. Drink liberally.
APRD00099,"Avoid aged foods (cheese, red wine), pickled foods, cured foods (bacon/ham), chocolate, fava beans, beer, unless approved by your physician."
APRD00099,Avoid alcohol.
APRD00099,Avoid excessive quantities of coffee or tea (Caffeine).
APRD00099,Avoid St.John's Wort.
APRD00099,Take without regard to meals.
APRD00311,Take with food to decrease nausea.
APRD00730,Avoid alcohol.
APRD00730,Take with food.
DB05347,Increase liquid intake.
DB05347,Take without regard to meals.
DB08298,Avoid alcohol.
DB08298,Take with a full glass of water.
DB08298,Take with food.
APRD01178,"Herbs that may attenuate the antihypertensive effect of perindopril include: bayberry, blue cohash, cayenne, ephedra, ginger, ginseng (American), kola and licorice. "
APRD01178,High salt intake may attenuate the antihypertensive effect of perindopril.
APRD01178,Perindopril may decrease the excretion of potassium. Salt substitutes containing potassium may increase the risk of hyperkalemia. 
APRD01178,Take without regard to meals.
APRD00549,Avoid alcohol.
APRD00549,Avoid high doses of caffeine.
APRD00549,Take with food to reduce gastric irritation.
DB08518,May take Vitamin D.
DB08518,"Take with a full glass of water No iron, zinc or fluoride within 2 hours of taking this medication."
DB08518,Take with food.
APRD00420,"Administer on a regular basis, at about the same time each day."
APRD00420,Take without regard to meals.
APRD00113,Avoid alcohol.
APRD00113,Take this medication 30 minutes before meals.
APRD00121,Take with food to reduce irritation. Limit caffeine intake.
APRD01031,"Take without regard to meals. Magnesium, potassium and zinc needs increased."
APRD00725,Avoid alcohol.
APRD00725,Take with food.
DB08343,Take with food to reduce irritation. Avoid alcohol.
DB05564,Avoid alcohol.
APRD00529,Take without regard to meals.
APRD00210,Avoid high doses of caffeine.
APRD00210,Take without regard to meals.
EXPT00604,Drink plenty of liquids.
EXPT00604,Take with food; at least 6 hours before bedtime.
APRD00767,Avoid alcohol for up to 14 days after treatment has been stopped.
APRD00767,Take without regard to meals.
APRD00987,Food decreases Cmax slightly.
APRD00987,Take without regard to meals.
DB07699,Avoid alcohol.
DB07699,Avoid excessive quantities of coffee or tea (caffeine).
DB07699,Avoid taking with grapefruit or grapefruit juice as grapefruit can significantly increase serum levels of this product.
DB07699,Take with food.
APRD00243,"Preferably on an empty stomach, not really problematic."
APRD00832,Avoid alcohol.
APRD00832,Take with food.
APRD00275,Take without regard to meals. Increase liquid intake.
APRD01152,Avoid alcohol.
APRD01152,Avoid excessive quantities of coffee or tea (Caffeine).
APRD01152,Take with food.
APRD00039,Avoid alcohol.
APRD00039,Take without regard to meals.
APRD00896,Avoid administration of delayed release cysteamine less than 30 minutes before and within 2 hours after ingesting food due to decreased bioavailability of cysteamine.
APRD01067,Take on an empty stomach.
APRD00429,Avoid alcohol.
APRD00429,"Do not take calcium, aluminum, magnesium or Iron supplements within 2 hours of taking this medication."
APRD00429,Take with food.
APRD00634,Take without regard to meals.
APRD00764,Take without regard to meals. Avoid alcohol.
APRD01171,Drink liberally.
APRD01171,"Food reduces availability, take on an empty stomach."
APRD00197,Avoid alcohol. Avoid caffeine.
APRD00197,Take with food to reduce gastric irritation.
DB06895,Avoid alcohol.
DB06895,Food slightly delays rate of absorption with no effect on extent of absorption. 
DB06895,Take with food to reduce gastric irritation.
APRD00254,Avoid alcohol.
APRD00254,Avoid excessive quantities of coffee or tea (Caffeine).
APRD00254,"Avoid milk, calcium containing dairy products, iron, antacids, or aluminum salts 2 hours before or 6 hours after using antacids while on this medication."
APRD00254,Take without regard to meals.
EXPT01437,"Food, especially food with a high-fat content, decreases the rate and extent of absorption."
EXPT01437,The time of the meal affects tacrolimus bioavailability. Take tacrolimus capsules consistently everyday either with or without food. 
APRD00629,Take without regard to meals.
APRD01005,Take with a full glass of water.
APRD01005,Take without regard to meals.
APRD00388,Avoid alcohol.
APRD00388,Take with food to reduce irritation.
APRD00950,Take without regard to meals.
APRD00226,Take without regard to meals.
APRD00523,Do not take with a high-fat meal.
APRD00523,"Herbs that may attenuate the antihypertensive effect of quinapril include: bayberry, blue cohash, cayenne, ephedra, ginger, ginseng (American), kola and licorice. "
APRD00523,High salt intake may attenuate the antihypertensive effect of quinapril.
APRD00523,Quinapril may decrease the excretion of potassium. Salt substitutes containing potassium may increase the risk of hyperkalemia. 
APRD00880,Take without regard to meals.
APRD00455,Take without regard to meals. Absorption is faster on an empty stomach.
APRD00294,Take with food to reduce irritation.
APRD01002,Take without regard to meals.
DB02392,Avoid alcohol.
DB02392,Take on empty stomach: 1 hour before or 2 hours after meals.
APRD00251,Take with food to reduce irritation.
APRD00481,Take without regard to meals.
APRD00136,Preferably take on an ampty stomach.
APRD00439,Take up to 30 minutes before meals.
APRD00439,"When taken with a high-fat meal, AUC and Cmax decreases."
APRD00741,Take without regard to meals.
APRD00787,Avoid alcohol.
APRD00787,Take without regard to meals.
APRD00631,Avoid alcohol.
APRD00631,Take with food to reduce irritation.
APRD00169,Take without regard to meals.
APRD00169,The absorption is unaffected by food.
APRD01061,Take without regard to meals.
APRD00213,Avoid alcohol.
APRD00213,Take with food to reduce irritation.
APRD00966,Avoid alcohol completely up to 2 months after discontinuation.
APRD00966,"Increases absorption, take with food."
APRD00296,Avoid alcohol.
APRD00296,Limit caffeine intake.
APRD00296,"Take without regard to meals, food may slightly increase the product's bioavailability."
DB05379,Take with food to decrease the incidence of diarrhea.
APRD00883,Drink liberally.
APRD00883,Take with a meal.
APRD00610,Take with food to reduce irritation.
APRD00747,Take without regard to meals. Limit caffeine intake.
APRD00919,Take without regard to meals.
APRD00562,"Do not take calcium, aluminium, magnesium or iron supplements within 2 hours of taking this medication."
APRD00562,Take on empty stomach: 1 hour before or 2 hours after meals.
EXPT00475,"Avoid alcohol, alcohol appears to cause a 50 to 100% increases in ASA serum levels."
EXPT00475,Take with a full glass of water.
EXPT00475,Take with food to reduce gastric irritation.
APRD00505,Taking it after a meal may reduce the incidence of adverse effects.
APRD00349,Grapefruit and grapefruit juice should be avoided throughout treatment as grapefruit can significantly decrease serum levels of this product.
APRD00349,Take without regard to meals.
EXPT01940,"Avoid aged foods (cheese, red wine), pickled foods, cured foods (bacon/ham), chocolate, fava beans, beer, unless approved by your physician."
EXPT01940,Avoid alcohol.
EXPT01940,"Do not take calcium, aluminum, magnesium or Iron supplements within 2 hours of taking this medication."
EXPT01940,"Increase dietary intake of magnesium, folate, vitamin B6, B12, and/or consider taking a multivitamin."
EXPT01940,Take on empty stomach: 1 hour before or 2 hours after meals.
EXPT01940,Take with a full glass of water.
APRD00220,Take without regard to meals.
DB09475,Avoid alcohol.
DB09475,Take with food.
DB09475,"To avoid constipation: increase your daily intake of fiber (beans, whole grains, vegetables)."
APRD00569,Avoid alcohol.
APRD00569,Avoid excessive quantities of coffee or tea (Caffeine).
APRD00569,"Increase dietary intake of magnesium, folate, vitamin B6, B12, and/or consider taking a multivitamin."
APRD00569,Take at the same time everyday.
APRD00569,Take with food.
APRD00466,Avoid echinacea as it may decrease effectiveness of immunosuppresants like carboplatin
APRD00678,"Magnesium, potassium and zinc needs increased."
APRD00678,Take without regard to meals. Avoid alcohol.
APRD00324,Take without regard to meals.
APRD01106,Avoid alcohol.
APRD01106,Avoid natural licorice.
APRD01106,"Increase dietary intake of magnesium, folate, vitamin B6, B12, and/or consider taking a multivitamin."
APRD01106,May take Vitamin D.
APRD01106,"No iron, zinc or fluoride within 2 hours of taking this medication."
APRD01106,Take without regard to meals.
APRD00580,Absorption is decreased by about 25% when taken with meals.
APRD00580,Take without regard to meals.
APRD00619,Take without regard to meals.
APRD00360,Coffee and tea can decrease the effect of dipyridamole.
APRD00360,Take with food to reduce irritation.
APRD00483,Take without regard to meals.
APRD01213,Avoid alcohol.
APRD01213,Do not take with or immediately after a high-fat meal.
APRD00140,Avoid alcohol.
APRD00140,Take with a full glass of water Do not take supplements containing Vitamin A.
APRD00140,Take with high-fat meal to increase absorption.
APRD00924,Avoid alcohol.
APRD00924,Take with food.
DB06583,Take without regard to meals.
APRD00144,High-fat meals increase plasma exemestane concentrations by approximately 40%.
APRD00030,"Take with food, usually once a day after breakfast. Food decreases the rate of absorption but not the amount absorbed. Avoid alcohol."
APRD00811,Take with food to reduce irritation.
APRD00808,Take with food to reduce irritation.
APRD00015,Avoid alcohol.
APRD00015,Take without regard to meals.
DB05847,Liberal fluid intake to increase urine output and help the excretion of uric acid.
APRD00270,Food does not affect amount of absorption but delays maximal levels by about 1 hour.
APRD00270,Take without regard to meals.
APRD00092,Avoid alcohol.
APRD00092,Avoid excess salt/sodium unless otherwise instructed by your physician.
APRD00092,Avoid natural licorice.
APRD00092,"Do not take calcium, aluminum, magnesium or Iron supplements within 2 hours of taking this medication."
APRD00092,Increase potassium intake; add a banana or orange juice; unless instructed otherwise.
APRD00092,Take with food.
EXPT01540,"Take with food, food increases bioavailability."
APRD00023,Take without regard to meals. Drink liberally.
APRD01066,Take without regard to meals. Food slows absorption without decreasing the quantity absorbed.
APRD00664,Drink liberally.
APRD00664,Take without regard to meals.
DB05335,Avoid alcohol.
DB05335,Food prolongs rate of absorption and decreases peak plasma concentration. Extent of absorption is not affected. 
DB05335,Take with food to reduce gastric irritation.
APRD00872,Food markedly increases product bioavailability.
APRD00872,Peak levels and area under curve (drug exposure) are increased (82% and 68% respectively) when product is taken with a lipid-rich meal.
APRD00872,Take with food or soon after a meal.
APRD00076,"Do not take calcium, aluminium, magnesium or iron supplements within 2 hours of taking this medication."
APRD00076,Take on empty stomach: 1 hour before or 2 hours after meals.
APRD00076,Take with a full glass of water.
APRD00233,Avoid alcohol.
APRD00233,Take 30-60 minutes before breakfast.
APRD00547,Calcium and iron needs increased with long term use.
APRD00547,Do not take Aluminum or magnesium antacids or supplements while on this medication.
APRD00547,Take with food.
APRD00051,Take on empty stomach: 1 hour before or 2 hours after meals to avoid nausea.
APRD00528,Take without regard to meals.
APRD00374,"Grapefruit down regulates post-translational expression of CYP3A4, the major metabolizing enzyme of nifedipine. Grapefruit, in all forms (e.g. whole fruit, juice and rind), can significantly increase serum levels of nifedipine and may cause toxicity. Avoid grapefruit products while on this medication. "
APRD00374,Take without regard to meals.
APRD00401,Avoid alcohol.
APRD00401,"Avoid milk, calcium containing dairy products, iron, antacids, or aluminum salts 2 hours before or 6 hours after using antacids while on this medication."
APRD00401,Take with food.
APRD00413,Take without regard to meals.
APRD00167,"Increase liquid intake, avoid alcohol."
APRD00167,Take with food to reduce irritation.
APRD01096,"Preferably on an empty stomach, drink plenty of liquids, avoid alcohol."
APRD00509,Avoid alcohol.
APRD00509,Take with food to reduce irritation.
APRD00146,Take with food.
APRD00525,Food increases the oral bioavailability by 3-5 fold.
DB09545,Increased absorption- take with meals.
APRD00118,Take on an empty stomach. Food decreases bioavailabilty by approximately 30%. Increase liquid intake.
APRD00221,Take without regard to meals.
APRD00996,"Absorption does not seem to be affected by milk or calcium carbonate, however, gatifloxacin bioavailability appears significantly reduced when combined with Ensure&trade; (C<sub>max</sub> is reduced by about 50% while total drug exposure (AUC) is reduced by about 25%)."
APRD00996,Drink liberally.
APRD00996,Take without regard to meals.
EXPT02777,Avoid alcohol.
EXPT02777,Take on empty stomach: 1 hour before or 2 hours after meals.
EXPT02777,Take with a full glass of water.
APRD00216,Abacavir is partly metabolised through the alcohol-dehydrogenase enzyme system.
APRD00216,Alcohol significantly increases abacavir's area under the curve (about 41%).
APRD00216,Avoid alcohol.
APRD00216,Take without regard to meals.
APRD00372,Avoid alcohol
APRD00372,Food delays the time to reach peak plasma concentrations by 30-60 minutes and reduces peak plasma concentrations by 30-50%. Extent of absorption is unaffected.
APRD00372,Take with food to reduce gastric irritation.
EXPT02728,Grapefruit and grapefruit juice should be avoided throughout treatment. Grapefruit can increase serum levels of this product.
EXPT02728,Take with food.
APRD00469,Avoid high doses of caffeine.
APRD00469,Take on an empty stomach. Drink liberally.
APRD00248,Take without regard to meals.
APRD00427,Avoid alcohol.
APRD00427,Take with food.
APRD00850,"Antacids may reduce the serum concentration of cefditoren. Consider alternative methods to minimize/control acid reflux. If use of antacids cannot be avoided, separate administration by at least several hours to reduce chance of interaction"
APRD00436,Avoid alcohol.
APRD00436,Avoid sugar and sugary food.
APRD00436,Take 30-60 minutes before breakfast.
APRD00054,Avoid alcohol.
APRD00054,Avoid excessive quantities of coffee or tea (Caffeine).
APRD00054,Take without regard to meals.
APRD00601,Take with food to reduce irritation. Avoid alcohol.
APRD00804,Administration with food reduces pharmacokinetic variability.
APRD00804,Food increases product absorption.
APRD00594,Food slightly increases product bioavailability.
APRD00594,Take without regard to meals.
DB06975,Avoid alcohol.
DB06975,Take with food.
APRD00055,Avoid alcohol.
APRD00055,Avoid drastic changes in dietary habit.
APRD00055,Avoid taking grapefruit or grapefruit juice throughout treatment. Grapefruit can significantly increase serum levels of this product.
APRD00055,"Food may decrease maximum plasma levels and area under the curve, but this is clinically inconsequential according to the manufacturer."
APRD00055,Take with low fat meal.
APRD00964,"Avoid aluminium, calcium, iron and magnesium within 2 hours of taking medication. "
APRD00964,Take on an empty stomach with a full glass of water. 
APRD00096,"Take before a meal, to increase absorption, take 30 minutes before a meal."
APRD00366,Avoid alcohol.
APRD00366,Take with food.
APRD00255,"Take with meals, or upto 1 hour after a meal. If patient misses a meal, or has a fat-free meal, he/she may skip the corresponding dose."
APRD00604,Take with food to decrease dyspepsia.
APRD00346,"May be taken with or without food, but should be taken consistently."
APRD00346,"When given with an evening meal, Cmax and AUC decreased while Tmax increased 2-fold"
APRD00205,Take without regard to meals.
APRD00218,Grapefruit and grapefruit juice should be avoided throughout treatment. Grapefruit can increase serum levels of this product.
APRD00218,Take without regard to meals.
APRD00203,"Take 12 hours apart, within 30 minutes of the end of breakfast and dinner to reduce nausea."
DB08567,Avoid alcohol.
DB08567,Avoid St.John's Wort.
DB08567,Avoid taking with grapefruit juice.
DB08567,Take with food.
APRD00734,Take without regard to meals.
APRD00056,"Adequate calcium intake is recommended, needs increased with long term use, supplement recommended."
APRD00056,"Many herbs with anticoagulant properties (e.g. ginger, garlic, ginseng, green tea, evening primrose) may increase the risk of bleeding in patients on anticoagulant therapy such as heparin"
APRD00285,Take with food to increase absorption.
DB09440,Avoid alcohol.
DB09440,Take with food.
APRD00590,Avoid alcohol.
APRD00590,Avoid natural licorice.
APRD00590,"Grapefruit down-regulates post-translational expression of CYP3A4, the major metabolizing enzyme of nifedipine. Grapefruit, in all forms (e.g. whole fruit, juice and rind), can significantly increase serum levels of nifedipine and may cause toxicity. Avoid grapefruit products while on this medication. "
APRD00590,Take with low fat meal.
APRD00805,Fatty foods increase absorption.
APRD00805,"Take with food, bioavailability is increased 2 to 3 fold."
APRD00288,Grapefruit and grapefruit juice should be avoided throughout treatment.
APRD00288,Grapefruit can significantly increase serum levels of this product.
APRD00288,Take without regard to meals.
APRD00460,Avoid alcohol.
APRD00460,Take without regard to meals. A consistent diet is recommended to reduce the risk of hypoglycemia.
APRD00089,May be taken with food if stomach upset occurs.
APRD00385,Take without regard to meals.
DB06284,"Take without regard to meals, at the same time everyday."
APRD01212,Take without regard to meals.
APRD01212,Take without regard to meals. Food may slow absorption rate but extent of absorption is not affected.
APRD00188,Take with food.
APRD00653,Take without regard to meals. Food slightly delays absorption rate but extent of absorption is not affected.
APRD01259,Do not take aluminum or magnesium-containing antacids within 2 hours of taking tiludronate. 
APRD01259,Take on an empty stomach (at least 2 hours before or after meals) with a full glass of plain water. Other beverages may reduce drug absorption. 
APRD00091,"Take with food, food slows the absorption rate and reduces the incidence of adverse effects (extent of absorption is not affected)."
DB06085,"Take without regard to meals. Take with water, drink lliberally. Taking this product with orange juice can result in reduced quinolone plasma levels. "
APRD00196,Food may reduce the digestive problems that sometimes occur.
APRD00196,Take without regard to meals.
APRD00398,Avoid alcohol.
APRD00398,Avoid excessive quantities of coffee or tea (caffeine).
APRD00398,Avoid St.John's Wort.
APRD00398,Take with food to reduce irritation.
EXPT01068,Take on an empty stomach.
APRD00972,Food may reduce irritation.
APRD00972,Take without regard to meals.
APRD00402,Avoid alcohol.
APRD00402,Avoid avocado.
APRD00402,"Limit garlic, ginger, gingko, and horse chestnut."
APRD00402,Take this medication either consistently with or without food as instructed by your doctor.
APRD00461,Take without regard to meals.
DB07682,Avoid alcohol.
DB07682,"Take with food to reduce irritation, limit caffeine intake."
APRD00053,Take without regard to meals.
APRD00621,Avoid alcohol.
APRD00621,Avoid St.John's Wort.
APRD00621,Take without regard to meals.
APRD00502,Avoid high doses of caffeine.
APRD00502,Take without regard to meals.
APRD00155,"Grapefruit and grapefruit juice should be avoided throughout treatment, grapefruit can significantly increase serum levels of this product."
APRD00155,"Take on an empty stomach, a lipid rich meal will increase absorption."
APRD00040,"Avoid milk, calcium containing dairy products, iron, antacids, or aluminum salts 2 hours before or 6 hours after using antacids while on this medication."
APRD00040,Avoid taking with grapefruit juice.
APRD00040,Take after a full meal.
APRD00040,Take with food.
APRD01007,Take without regard to meals.
APRD00603,Food slows absorption a little. Avoid alcohol. Take after meals in order to minimize the risk of interaction with tyramine.
APRD00097,Take without regard to meals. Avoid alcohol.
APRD00184,Avoid alcohol.
APRD00184,Avoid excessive quantities of coffee or tea (Caffeine).
APRD00184,"Increase dietary intake of magnesium, folate, vitamin B6, B12, and/or consider taking a multivitamin."
APRD00184,Take on an empty stomach for quicker absorption
APRD00683,Take without regard to meals.
APRD00061,Avoid alcohol.
APRD00061,Food may reduce irritation.
APRD00061,Take without regard to meals.
APRD00261,Always take at the same time in regard to meals.
APRD00261,Grapefruit and grapefruit juice should be avoided throughout treatment. Grapefruit can increase serum levels of this product.
APRD00418,Take 15 to 30 minutes before meals.
APRD00981,Take with food.
APRD00663,Take with food to reduce gastric irritation and nausea
APRD00566,Take with food.
APRD00648,Take with meals.
APRD00772,Take without regard to meals; absorption rate and maximal concentration are slightly reduced but the extent of absorption is not affected.
APRD00129,Take without regard to meals.
APRD00625,Do not take with milk or milk products.
APRD00625,Take on an empty stomach.
APRD00164,Captopril decreases the excretion of potassium. Salt substitutes containing potassium increase the risk of hyperkalemia. 
APRD00164,Food decreases absorption by 25 - 40%. Clinical significance is debatable. 
APRD00164,"Herbs that may attenuate the antihypertensive effect of captopril include: bayberry, blue cohash, cayenne, ephedra, ginger, ginseng (American), kola and licorice. "
APRD00164,High salt intake may attenuate the antihypertensive effect of captopril. 
APRD00622,Avoid alcohol.
APRD00622,Take with food to reduce irritation.
APRD01068,Take without regard to meals. Food does not affect bioavailabilty.
APRD00301,Avoid alcohol.
APRD00301,Avoid natural licorice.
APRD00301,"Magnesium, potassium and zinc needs increased."
APRD00301,Take without regard to meals.
APRD00181,Biaxin - take without regard to meals (however absorption appears to be improved when drug is taken with food).
APRD00181,"Biaxin XL - take with a meal, taking it on an empty stomach is associated with total product exposure 30% inferior to that observed when administered with food."
APRD00955,Avoid alcohol.
APRD00955,Take without regard to meals.
DB07774,Take without regard to meals.
APRD00016,"Food decreases the rate of absorption, but the extent of absorption is not affected."
APRD00419,"Take on an empty stomach, bioavailability is 6 times higher when drug is taken with high fat meals. Risks of cardiac toxicity are then increased."
APRD00901,Take without regard to meals.
APRD00442,"A mean delay in time to peak concentration of 2.5 hours is observed with the intake of a high-fat meal, with no significant differences in AUC."
APRD00329,Limit caffeine intake.
APRD00329,Take with food.
APRD00329,"Vitamin B6 needs increased, supplement recommended."
APRD00675,Avoid alcohol.
APRD00675,Take without regard to meals.
APRD00068,"Avoid danshen, dong quai, evening primrose oil, gingko, policosanol, willow bark"
DB05526,Avoid echinacea.
DB05526,Avoid grapefruit and grapefruit juice due to potential increase of paclitaxel. 
APRD01169,Avoid high doses of caffeine.
APRD01169,Take without regard to meals. Avoid alcohol.
APRD00623,Take after a full meal.
APRD00665,"Food reduces availability, take 30 minutes before meals. Avoid alcohol."
APRD00674,Avoid alcohol.
APRD00674,Avoid taking with grapefruit juice.
APRD00674,Take with food to reduce irritation.
APRD00638,Avoid alcohol (possible additive effect to CNS).
APRD00638,Food has no significant effect on absorption.
APRD00638,Take without regard to meals.
APRD00718,Avoid alcohol.
APRD00718,Take with food to reduce irritation.
APRD00293,Take 30 minutes before meals.
DB07600,Avoid alcohol.
DB07600,"Grapefruit and grapefruit juice should be avoided throughout treatment, grapefruit can modify serum levels of clomipramine and its metabolite desmethyl-clomipramine."
DB07600,Take with food to reduce irritation.
APRD00727,Alcohol may further decrease blood pressure and increase dizziness and drowsiness
APRD00727,Take with food to reduce nausea.
APRD00701,"Take without regard to meals, avoid tyramine, caffeine and alcohol."
DB07214,Can be administered without regard to food
EXPT00002,Take with food - better absorption (+30%). 
DB01265,Take without regard to meals.
DB01267,Avoid alcohol.
DB01270,No food effects found.
DB01283,Take with or without food. Food has no effect on the absorption of the product.
DB01288,Take without regard to meals.
DB01297,Avoid alcohol.
DB01297,Avoid natural licorice.
DB01303,Avoid high doses of caffeine.
DB01303,Take with food to reduce irritation.
DB01319,"Avoid alcohol, especially with the oral solution since it contains propylene glycol which competes with alcohol for alcohol dehydrogenase metabolism."
DB01319,"Take with or without food, however avoid lipid-rich meals."
DB01319,Vitamin E increases fosamprenavir bioavailability.
DB01320,Avoid alcohol.
DB01320,"Do not take calcium, aluminum, magnesium or Iron supplements within 2 hours of taking this medication."
DB01320,Take with food.
DB01325,Take with food to increase bioavailability.
DB01330,Avoid alcohol as it can cause a disulfiram effect.
DB01340,Food decreases cilazapril absorption with no significant clinical impact.
DB01340,Take without regard to meals.
DB06658,"Avoid calcium, magnesium and potassium."
DB06658,Take on an empty stomach.
DB01348,Avoid alcohol.
DB01348,"Do not take calcium, aluminum, magnesium or iron supplements within 2 hours of taking this medication."
DB01348,"Herbs that may attenuate the antihypertensive effect of spirapril include: bayberry, blue cohash, cayenne, ephedra, ginger, ginseng (American), kola and licorice. "
DB01348,High salt intake may attenuate the antihypertensive effect of spirapril.
DB01348,Spirapril may decrease the excretion of potassium. Salt substitutes containing potassium may increase the risk of hyperkalemia. 
DB01356,Avoid alcohol.
DB01356,Avoid excessive quantities of coffee or tea (Caffeine).
DB01356,Avoid iodine supplements.
DB01356,Do not change your salt intake from day to day without telling your doctor.
DB01356,Take with food to reduce irritation. Drink plenty of liquids.
EXPT02758,Avoid alcohol and caffeine.
DB01394,Avoid alcohol since it increases uric acid levels.
DB01394,Drink liberally.
DB01394,Take without regard to meals.
DB01395,"Food reduces the rate of absorption, but not the extent of absorption. "
DB01396,Avoid avocado.
DB01396,Avoid bran and high fiber foods within 2 hours of taking this medication.
DB01396,Avoid excess salt/sodium unless otherwise instructed by your physician.
DB01396,"Avoid milk, calcium containing dairy products, iron, antacids, or aluminum salts 2 hours before or 6 hours after using antacids while on this medication."
DB01396,Avoid salt substitutes containing potassium.
DB01396,"Limit garlic, ginger, gingko, and horse chestnut."
DB01403,Take with food to reduce irritation.
DB01406,Take without regard to meals.
DB01416,Take on empty stomach: 1 hour before or 2 hours after meals.
DB01418,"High doses of vitamin A, C, E and K (e.g. avocado, green vegetables)"
DB01421,Take with food.
DB01432,"Take with food, do not mix with soft drinks."
DB01437,Avoid alcohol.
DB01437,Take without regard to meals.
DB01438,Take with food to reduce irritation.
DB01452,Avoid alcohol
DB01452,"To avoid constipation: increase your daily intake of fiber (beans, whole grains, vegetables)."
DB01495,Avoid alcohol.
DB01501,Ethanol use may increase CNS depression. 
DB01544,Avoid alcohol.
DB01544,Avoid excessive quantities of coffee or tea (Caffeine).
DB01544,Avoid taking with grapefruit juice.
DB01544,Take with food.
DB01551,Alcohol may enhance CNS depressant effects
DB01553,Alcohol used in combination may enhance sedation or cause potentially fatal respiratory/cardiovascular depression.
DB01567,Avoid alcohol.
DB01567,Avoid excessive quantities of coffee or tea (Caffeine).
DB01567,Avoid taking with grapefruit juice.
DB01580,Avoid alcohol.
DB01580,Avoid natural licorice.
DB01580,Take without regard to meals.
DB01581,"Do not take calcium, aluminium, magnesium or iron supplements within 2 hours of taking this medication."
DB01582,"Do not take calcium, aluminium, magnesium or iron supplements within 2 hours of taking this medication."
DB01583,Absorption increased in fasting state and decreased in malabsorption states.
DB01583,Consistent administration in relation to meals is recommended.
DB01583,Iron and calcium may interfere with absorption. Space doses at least one hour before or after iron or calcium intake. 
DB01583,"Oral administration with infant soybean formula, soybean flour, cotton seed meal, walnuts, foods containing large amounts of fiber, ferrous sulfate, and antacids may decrease drug absorption. "
DB01583,Take 30-60 minutes before breakfast.
DB01587,Avoid alcohol
DB01587,Avoid excessive quantities of coffee or tea (caffeine).
DB01587,Avoid taking with grapefruit or grapefruit juice as grapefruit can significantly increase serum levels of this product.
DB01587,Take with food.
DB01588,Avoid alcohol.
DB01588,Avoid excessive quantities of coffee or tea (Caffeine).
DB01588,Avoid taking with grapefruit juice.
DB01588,Take with food.
DB01594,Avoid alcohol.
DB01594,Avoid excessive quantities of coffee or tea (Caffeine).
DB01594,Take with food.
DB01595,Avoid alcohol.
DB01595,Avoid excessive quantities of coffee or tea (Caffeine).
DB01595,Take with food.
DB01599,Take with food. Food increases availability.
DB01600,Avoid alcohol.
DB01600,Take with food.
EXPT00388,Avoid St.John's Wort.
EXPT00388,Take with food.
DB01604,Take without regard to meals.
DB01605,Take without regard to meals.
DB01608,Take with food to reduce irritation. Avoid alcohol.
DB01609,"Dispersion in carbonated drinks or milk is not recommended due to foaming and slow dispersion, respectively."
DB01609,Food causes inconsistent increases in the bioavailability of this product.
DB01609,"Tablets should be completely dispersed in water, orange juice or apple juice and the resulting suspension should be ingested immediately (after swallowing the suspension, any residue should be resuspended in a small volume of liquid and swallowed)."
DB01609,"Tablets should be taken on an empty stomach at least 30 minutes before a meal, preferably at the same time everyday."
DB01613,Avoid alcohol.
DB01613,Take on empty stomach: 1 hour before or 2 hours after meals.
DB01614,Avoid alcohol
DB01614,Take with food to reduce irritation
DB01619,Avoid alcohol.
DB01619,Take with food to reduce irritation.
DB01621,Avoid alcohol
DB01621,Take with food to decrease irritation
DB01622,Avoid alcohol
DB01622,Take with food to avoid irritation
DB01623,Avoid alcohol
DB01626,Food increases the oral bioavailability by 3-5 fold.
DB01627,"Take on an empty stomach, food decreases absorption."
DB07166,Take without regard to meals.
EXPT02902,Oral administration with a high-fat meal resulted in an increase (33%) in the extent of absorption and a modest decrease in the rate of absorption (T<sub>max</sub> delayed 2.5 hours) compared to the fasted state.
EXPT01507,Take with food to reduce irritation.
EXPT02440,Take with food to reduce irritation.
DB04571,"avoid eating limes, figs, parsley, parsnips, mustard, carrots, and celery while you are being treated with trioxsalen"
DB04574,Take with food to decrease nausea
DB04576,Avoid excessive coffee or tea (caffeine)
DB04576,"Avoid milk, calcium containing dairy products, iron, magnesium, zinc, antacids, or aluminum salts 2 hours before or 6 hours after using antacids while on this medication."
DB04576,Take with a full glass of water
DB04576,Take without regard to meals
DB04836,Avoid alcohol.
DB04836,Avoid excessive quantities of coffee or tea (Caffeine).
