category,drugbank-id,mesh-id
Testosterone Congeners,DB01456,D045165
Sensory System Agents,DB01459,D018689
Phenylacetates,DB01461,D010648
"Heterocyclic Compounds, 2-Ring",DB01462,D006574
Tranquilizing Agents,DB01463,D014149
Phenethylamines,DB01465,D010627
Sensory System Agents,DB01466,D018689
Sympathomimetics,DB01467,D013566
Testosterone Congeners,DB01471,D045165
Psychotropic Drugs,EXPT03303,D011619
"Heterocyclic Compounds, 2-Ring",DB01476,D006574
Piperidines,DB01478,D010880
"Polycyclic Hydrocarbons, Aromatic",DB01480,D011084
Testosterone Congeners,DB01481,D045165
Xanthine derivatives,DB01482,D013806
Pyrimidinones,DB01483,D011744
Sympathomimetics,DB01484,D013566
Testosterone Congeners,DB01485,D045165
Propanols,DB01486,D020005
Pharmaceutical Preparations,DB11402,D004364
Tryptamines,DB01488,D014363
Psycholeptics,DB01489,
Oxazoles,DB01490,D010080
Ketones,DB01491,D007659
Steroids,DB01493,D013256
Pyrazolones,DB01495,D047069
Nicotinic Antagonists,DB01496,D018733
Sensory System Agents,DB01497,D018689
Piperidines,DB01501,D010880
Polycyclic Compounds,DB01506,D011083
Sympathomimetics,DB01509,D013566
"Heterocyclic Compounds, 2-Ring",DB01511,D006574
Steroids,DB01514,D013256
Tropanes,DB01515,D014326
Street Drugs,DB01520,D013287
Testosterone Congeners,DB01521,D045165
Testosterone Congeners,DB01524,D045165
Tropanes,DB01525,D014326
Sensory System Agents,DB01529,D018689
Street Drugs,DB01531,D013287
Sulfur Compounds,DB01533,D013457
Sensory System Agents,DB01535,D018689
Testosterone Congeners,DB07386,D045165
Phenethylamines,DB01537,D010627
Respiratory System,DB01538,D012137
Piperidines,DB01539,D010880
Testosterone Congeners,DB01541,D045165
UGT1A1 Inhibitors,DB01544,
Tranquilizing Agents,DB01545,D014149
Stimulants,DB01546,
Sensory System Agents,DB01547,D018689
Sensory System Agents,DB01548,D018689
Piperidines,DB01549,D010880
Stimulants,DB01550,
Sensory System Agents,DB01551,D018689
Psycholeptics,DB01553,
Testosterone Congeners,DB01554,D045165
Sensory System Agents,DB01555,D018689
Sympathomimetics,DB01556,D013566
Street Drugs,DB01557,D013287
Tranquilizing Agents,DB01558,D014149
Psycholeptics,DB01559,
Psychotropic Drugs,DB01560,D011619
Psycholeptics,DB01563,
Testosterone Congeners,DB01564,D045165
Sensory System Agents,DB01565,D018689
Tranquilizing Agents,DB01567,D014149
Steroids,DB01569,D013256
Sensory System Agents,DB01570,D018689
Sensory System Agents,DB01571,D018689
Specialty Uses of Chemicals,DB01574,D020313
Silicon Dioxide,DB01575,D012822
Sympathomimetics,DB01576,D013566
Sympathomimetics,DB01577,D013566
"X-Ray Contrast Media, Iodinated",DB01578,
Sympathomimetic Amine Anorectic,DB01579,
Vasodilating Agents,DB01580,D014665
Sulfur Compounds,DB01581,D013457
Sulfur Compounds,DB01582,D013457
Thyroxine,DB01583,D013974
Proteins,DB01584,D011506
Steroids,DB01586,D013256
Tranquilizing Agents,DB01587,D014149
Tranquilizing Agents,DB01588,D014149
Psycholeptics,DB01589,
Sirolimus,DB01590,D020123
Urologicals,APRD00168,
Vitamins,DB01592,D014815
Zinc Compounds,DB01593,D017967
Psycholeptics,DB01594,
Tranquilizing Agents,DB01595,D014149
Polycyclic Compounds,EXPT00918,D011083
Thienamycins,DB01598,D013845
Toxic Actions,DB01599,D004786
Sensory System Agents,DB01600,D018689
QTc Prolonging Agents,EXPT00388,
Sulfur Compounds,DB01602,D013457
Sulfur Compounds,DB01603,D013457
Sulfur Compounds,DB01604,D013457
Sulfur Compounds,DB01605,D013457
Sulfur Compounds,EXPT03012,D013457
Sulfur Compounds,DB01607,D013457
Sulfur Compounds,DB01608,D013457
Specialty Uses of Chemicals,DB01609,D020313
Xanthine derivatives,DB01610,D013806
Quinolines,DB01611,D011804
Vasodilating Agents,DB01612,D014665
Vasodilators Used in Cardiac Diseases,DB01613,
Tranquilizing Agents,DB01614,D014149
Tranquilizing Agents,DB01615,D014149
Serotonin Receptor Antagonists,DB01616,D012702
Tranquilizing Agents,DB01618,D014149
Respiratory System,DB01619,D012137
Substituted Alkylamines,DB01620,
Sulfur Compounds,DB01621,D013457
Sulfur Compounds,DB01622,D013457
Xanthenes,DB01623,D014966
Xanthenes,DB08920,D014966
"Synthetic Anticholinergics, Quaternary Ammonium Compounds",DB01625,
Monoamine Oxidase Inhibitors,DB01626,D008996
Pyrrolidines,DB01627,D011759
Sulfur Compounds,DB07166,D013457
Ribonucleosides,EXPT00263,D012263
Sulfur Compounds,EXPT01815,D013457
Tests for Bile Duct Patency,DB09391,
Thymine Nucleotides,EXPT02988,D013942
Tyrosine Kinase Inhibitors,EXPT01582,
Sulfur Compounds,EXPT00506,D013457
Cinnamates,EXPT00123,D002934
Ribonucleotides,EXPT00637,D012265
Respiratory System,EXPT02802,D012137
Ribonucleotides,EXPT02665,D012265
Xanthine derivatives,EXPT00603,D013806
Quinones,EXPT02375,D011809
Virginiamycin,EXPT03225,D014769
Lipids,EXPT00225,D008055
Ribonucleotides,EXPT00129,D012265
Toluene,EXPT03079,D014050
Dicarboxylic Acids,EXPT01511,D003998
"Hydrocarbons, Cyclic",EXPT00695,D006844
Serine Proteinase Inhibitors,EXPT00915,D015842
Cytochrome P-450 Enzyme Inhibitors,EXPT01517,D065607
"Nitric Oxide Synthase, antagonists & inhibitors",EXPT01101,
Phenols,EXPT02525,D010636
Thioglycosides,EXPT01292,D013865
Vasoprotectives,EXPT02824,
Nucleotides,EXPT00407,D009711
Testosterone Congeners,DB06593,D045165
"Hydrocarbons, Cyclic",EXPT02555,D006844
Trimethyl Ammonium Compounds,DB13159,D050337
Phenols,EXPT00102,D010636
Tricarboxylic Acids,EXPT01834,D014233
Amino Alcohols,DB04403,D000605
Terpenes,EXPT00827,D013729
Siderophores,EXPT01001,D017262
Ethers,EXPT01306,D004987
"Heterocyclic Compounds, 1-Ring",EXPT01926,D006573
Ketones,DB04025,D007659
Streptogramins,EXPT01246,D025361
Trioses,EXPT00122,D014306
Phenols,EXPT01026,D010636
Mycotoxins,EXPT01498,D009183
Vitamins,EXPT02501,D014815
Terpenes,EXPT01221,D013729
Phosphodiesterase Inhibitors,EXPT02600,D010726
Quinolinic Acids,EXPT02391,D011805
Stereoisomerism,EXPT01055,D013237
Hydroxy Acids,EXPT02550,D006880
Amines,EXPT02363,D000588
Ribonucleotides,EXPT01129,D012265
Therapeutics,DB11078,D013812
Sugar Alcohols,EXPT01100,D013402
Formates,EXPT01224,D005561
Tetrapyrroles,EXPT00640,D045725
Dicarboxylic Acids,EXPT02618,D003998
Sugar Alcohols,EXPT02978,D013402
Ribonucleotides,EXPT00163,D012265
Thioglycosides,EXPT01924,D013865
Sugar Phosphates,DB03265,D013403
Tubulin Modulators,EXPT01350,D050257
Polycyclic Compounds,EXPT03077,D011083
Purinones,EXPT00599,D011688
Radiation-Sensitizing Agents,EXPT00794,D011838
Specialty Uses of Chemicals,EXPT01188,D020313
Phenols,EXPT01804,D010636
Polysaccharides,EXPT02871,D011134
Ribonucleosides,EXPT02890,D012263
Tetrapyrroles,EXPT02198,D045725
Polyamines,EXPT02702,D011073
Hydroxylamines,EXPT00700,D006898
Quinones,EXPT01265,D011809
Protein Kinase Inhibitors,EXPT03167,D047428
Hemostatics,EXPT01461,D006490
Sulfur Compounds,EXPT03075,D013457
"Heterocyclic Compounds, 1-Ring",EXPT01638,D006573
Pyrrolidinones,EXPT02804,D011760
Glycols,EXPT00771,D006018
Phenols,EXPT00165,D010636
Boron Compounds,EXPT02504,D001896
Imidazoles,EXPT03207,D007093
Xanthine derivatives,EXPT02320,D013806
Lipids,EXPT03132,D008055
Ribonucleotides,EXPT00991,D012265
Pyridines,EXPT00181,D011725
Pyrazoles,EXPT01883,D011720
"Polycyclic Hydrocarbons, Aromatic",EXPT01995,D011084
P-glycoprotein/ABCB1 Inhibitors,EXPT02972,
"Amino Acids, Peptides, and Proteins",EXPT02497,D000602
Peripheral Nervous System Agents,EXPT00502,D018373
Imidazoles,EXPT01433,D007093
"Heterocyclic Compounds, 1-Ring",EXPT01759,D006573
Carboxylic Acids,EXPT01708,D002264
Specialty Uses of Chemicals,EXPT00549,D020313
"Nitric Oxide Synthase, antagonists & inhibitors",EXPT00036,
Hydroxylamines,EXPT01949,D006898
Sugar Phosphates,EXPT02747,D013403
"Transaminases, antagonists & inhibitors",EXPT01542,
Tyrosine Kinase Inhibitors,EXPT02973,
Polycyclic Compounds,EXPT01075,D011083
"Technology, Industry, and Agriculture",EXPT00844,D013676
Sulfur Compounds,EXPT03240,D013457
Sugar Acids,EXPT00290,D013400
Neurotransmitter Agents,EXPT00528,D018377
Peptoids,EXPT01225,D034444
"Heterocyclic Compounds, 2-Ring",EXPT00994,D006574
Sterols,EXPT00941,D013261
Indoles,EXPT01935,D007211
Ribonucleosides,EXPT01051,D012263
Phenols,EXPT01233,D010636
Toxic Actions,EXPT01711,D004786
"Heterocyclic Compounds, 2-Ring",EXPT00287,D006574
Pyrans,EXPT01311,D011714
Purines,EXPT02433,D011687
Pteridines,EXPT01746,D011621
"Technology, Industry, and Agriculture",EXPT00909,D013676
Polycyclic Compounds,EXPT00435,D011083
Tetrapyrroles,EXPT00935,D045725
Xanthine derivatives,EXPT03251,D013806
Proteins,EXPT02517,D011506
Organophosphorus Compounds,EXPT01324,D009943
"Protein Kinase C, antagonists & inhibitors",EXPT01983,
Specialty Uses of Chemicals,EXPT02661,D020313
Sugar Alcohols,EXPT01205,D013402
"Amino Acids, Peptides, and Proteins",EXPT01181,D000602
Thallium,EXPT02179,D013793
"Oils, Volatile",EXPT01801,D009822
Ribonucleotides,EXPT02264,D012265
Steroids,EXPT01355,D013256
Glycols,EXPT00772,D006018
Tranquilizing Agents,EXPT00314,D014149
Sulfur Compounds,EXPT02919,D013457
Pyrimidines,EXPT01868,D011743
Phenols,EXPT00830,D010636
Sulfur Compounds,EXPT02921,D013457
Nucleotides,EXPT01547,D009711
"Technology, Industry, and Agriculture",EXPT02252,D013676
Xanthine derivatives,EXPT00310,D013806
Solvents,EXPT01374,D012997
Carboxylic Acids,EXPT02448,D002264
Specialty Uses of Chemicals,EXPT01504,D020313
Protease Inhibitors,EXPT01618,D011480
"Porphobilinogen Synthase, antagonists & inhibitors",EXPT00224,
Trimethyl Ammonium Compounds,EXPT02559,D050337
Uracil,EXPT02447,D014498
ortho-Aminobenzoates,EXPT01442,D062367
Pyrroles,EXPT02507,D011758
"Amino Acids, Peptides, and Proteins",EXPT01962,D000602
Hydroxy Acids,EXPT00053,D006880
Ribonucleosides,EXPT01453,D012263
Sulfur Compounds,EXPT02241,D013457
Tetrapyrroles,EXPT02636,D045725
Vitamin D and Analogues,EXPT02131,D014807
Prostaglandins,EXPT01314,D011453
Peptides,EXPT01770,D010455
Steroids,EXPT01802,D013256
Specialty Uses of Chemicals,DB04402,D020313
Triterpenes,EXPT00848,D014315
Sulfur Compounds,EXPT00587,D013457
Peptides,EXPT02880,D010455
Tubulin Modulators,EXPT01362,D050257
Sulfur Compounds,EXPT01033,D013457
"Receptors, AMPA, antagonists & inhibitors",EXPT00578,
Protectives Against UV-Radiation for Topical Use,EXPT02486,
Specialty Uses of Chemicals,EXPT02592,D020313
Pyrans,EXPT02265,D011714
Xanthine derivatives,EXPT01672,D013806
Ribonucleosides,EXPT00134,D012263
"Polycyclic Hydrocarbons, Aromatic",EXPT03082,D011084
Pterins,EXPT02326,D011622
Organophosphorus Compounds,EXPT02610,D009943
Oxazoles,EXPT02463,D010080
Amines,EXPT00067,D000588
Lipids,EXPT00749,D008055
"Hydrocarbons, Cyclic",EXPT03018,D006844
Polyphosphates,EXPT02603,D011122
Tyrosine Kinase Inhibitors,EXPT01571,
Terpenes,EXPT01071,D013729
"Heterocyclic Compounds, 2-Ring",DB08452,D006574
"Technology, Industry, and Agriculture",EXPT02998,D013676
Sulfur Compounds,EXPT00230,D013457
Tetrapyrroles,EXPT00986,D045725
"Hydrocarbons, Cyclic",EXPT00400,D006844
Formates,EXPT00729,D005561
Sulfur Compounds,EXPT01723,D013457
Xanthine derivatives,EXPT00360,D013806
Sugar Alcohols,EXPT01590,D013402
Sugar Phosphates,EXPT01308,D013403
Ribonucleosides,EXPT00333,D012263
Terpenes,EXPT01466,D013729
Terpenes,EXPT01913,D013729
"Amino Acids, Peptides, and Proteins",EXPT00596,D000602
Thiocarbamates,EXPT01132,D013859
Ribonucleotides,EXPT00959,D012265
Lipids,DB04305,D008055
"Hydrocarbons, Cyclic",EXPT00127,D006844
Imino Acids,EXPT02717,D007098
"Hydrocarbons, Cyclic",EXPT01424,D006844
QTc Prolonging Agents,EXPT02902,
Sugar Phosphates,EXPT02834,D013403
Terpenes,EXPT01640,D013729
Protease Inhibitors,EXPT02764,D011480
Ribonucleotides,EXPT01799,D012265
Tyrosine Kinase Inhibitors,EXPT02468,
Xanthine derivatives,DB07442,D013806
Carboxylic Acids,EXPT01931,D002264
Tetrapyrroles,EXPT02172,D045725
Peptides,EXPT02773,D010455
Tissue Adhesives,EXPT00484,D014014
Vasodilating Agents,EXPT01467,D014665
Monosaccharides,EXPT00394,D009005
"Heterocyclic Compounds, 2-Ring",EXPT01222,D006574
Imino Acids,EXPT00715,D007098
Enzyme Inhibitors,EXPT01591,D004791
Lipids,EXPT02861,D008055
Ribonucleotides,EXPT02938,D012265
"Amino Acids, Peptides, and Proteins",EXPT00937,D000602
Thiazoles,EXPT02004,D013844
Quorum Sensing,EXPT01784,D053038
Specialty Uses of Chemicals,EXPT00033,D020313
Vasopressins,EXPT03310,D014667
Terpenes,EXPT01509,D013729
"Technology, Industry, and Agriculture",EXPT00799,D013676
Excitatory Amino Acids,EXPT01114,D018846
Pyrans,EXPT02073,D011714
Sugar Phosphates,EXPT01610,D013403
Steroids,EXPT00906,D013256
Phosphodiesterase Inhibitors,EXPT01434,D010726
"Heterocyclic Compounds, 1-Ring",EXPT00077,D006573
Nitrogen Compounds,EXPT00971,D017672
Terpenes,EXPT02464,D013729
Vitamins,EXPT02307,D014815
Sterols,EXPT01507,D013261
Vasodilating Agents,EXPT02968,D014665
Imidazoles,EXPT03309,D007093
Iodobenzoates,EXPT00473,D007463
"Technology, Industry, and Agriculture",EXPT01056,D013676
"Heterocyclic Compounds, 1-Ring",EXPT02726,D006573
Amidines,EXPT00698,D000578
Lipids,EXPT00414,D008055
Heterocyclic Compounds,EXPT01973,D006571
Polysaccharides,EXPT00610,D011134
Ribonucleosides,EXPT03205,D012263
Carboxylic Acids,EXPT02595,D002264
"Hydrocarbons, Cyclic",EXPT02613,D006844
"Heterocyclic Compounds, 1-Ring",EXPT02727,D006573
Sweetening Agents,EXPT02977,D013549
Steroids,EXPT02608,D013256
Polycyclic Compounds,EXPT01933,D011083
Phenyl Ethers,EXPT00523,D010647
Ribonucleosides,EXPT00357,D012263
Boron Compounds,EXPT02380,D001896
"Heterocyclic Compounds, 1-Ring",EXPT00377,D006573
Toxic Actions,EXPT02260,D004786
Imines,EXPT02170,D007097
Lipids,EXPT00828,D008055
"Hydrocarbons, Cyclic",EXPT00748,D006844
Reverse Transcriptase Inhibitors,EXPT02488,D018894
Keto Acids,EXPT01997,D007651
Tetrapyrroles,EXPT02954,D045725
Sulfur Compounds,EXPT01836,D013457
Phenols,EXPT01241,D010636
Ribonucleosides,EXPT00386,D012263
Phosphorus Compounds,DB04390,D017553
Terpenes,EXPT03025,D013729
Pyrrolidines,EXPT01248,D011759
Specialty Uses of Chemicals,EXPT00003,D020313
Ribonucleosides,EXPT01622,D012263
Polyketides,EXPT02829,D061065
Vasoconstrictor Agents,EXPT01080,D014662
Sugar Phosphates,EXPT01634,D013403
Sulfur Compounds,EXPT02203,D013457
Sulfur Compounds,EXPT02956,D013457
Terpenes,EXPT03128,D013729
Sulfur Compounds,EXPT00658,D013457
Thionucleosides,EXPT02248,D013872
Testosterone Congeners,EXPT01199,D045165
Ribonucleotides,EXPT00977,D012265
Ketones,EXPT01390,D007659
Sulfur Compounds,EXPT03308,D013457
Sugar Phosphates,EXPT01941,D013403
Organophosphorus Compounds,EXPT01469,D009943
"Interleukin-8, antagonists & inhibitors",EXPT01757,
Keto Acids,EXPT00190,D007651
Lipids,EXPT00471,D008055
Plant Preparations,EXPT02762,D028321
Tryptophan,EXPT01780,D014364
"Heterocyclic Compounds, 2-Ring",EXPT00791,D006574
Sulfhydryl Reagents,EXPT02327,D013439
Sulfur Compounds,EXPT03151,D013457
"Heterocyclic Compounds, 1-Ring",EXPT01008,D006573
Sulfur Compounds,EXPT01578,D013457
"Amino Acids, Peptides, and Proteins",EXPT01755,D000602
Lipids,EXPT00738,D008055
Steroids,EXPT02741,D013256
Oxazoles,EXPT02735,D010080
Terpenes,EXPT02596,D013729
"Hydrocarbons, Iodinated",EXPT01906,D006847
Tellurium,EXPT00575,D013691
Monosaccharides,EXPT01670,D009005
Tubulin Modulators,EXPT01349,D050257
Lipids,EXPT02006,D008055
Amines,EXPT00155,D000588
Ionophores,EXPT03182,D007476
Peptides,EXPT01665,D010455
Specialty Uses of Chemicals,EXPT02390,D020313
Uridine Diphosphate Sugars,EXPT03177,D014539
"Heterocyclic Compounds, 1-Ring",EXPT03042,D006573
"Thromboxane-A Synthase, antagonists & inhibitors",EXPT03297,
Toxic Actions,EXPT02127,D004786
Aldehydes,EXPT02141,D000447
"Hydrocarbons, Cyclic",EXPT02934,D006844
"Heterocyclic Compounds, 1-Ring",EXPT02032,D006573
Supplements,EXPT02748,
"Heterocyclic Compounds, 1-Ring",EXPT01195,D006573
Lactates,EXPT01215,D007773
Ribonucleosides,EXPT03280,D012263
Poly(ADP-ribose) Polymerase Inhibitors,EXPT00177,D000067856
Phenols,EXPT01830,D010636
Lipids,DB11307,D008055
Pyrrolidinones,EXPT00247,D011760
Pyrazoles,EXPT00288,D011720
"Amino Acids, Peptides, and Proteins",EXPT00624,D000602
Phenols,EXPT00108,D010636
Sugar Phosphates,EXPT01631,D013403
Sulfur Compounds,EXPT03125,D013457
Ribonucleotides,EXPT02204,D012265
Serine Proteinase Inhibitors,EXPT00669,D015842
Vasodilating Agents,EXPT00412,D014665
"Triose-Phosphate Isomerase, antagonists & inhibitors",EXPT00770,
Chlorine Compounds,EXPT02010,D017606
"Amino Acids, Peptides, and Proteins",EXPT01692,D000602
Ribonucleotides,EXPT01391,D012265
Uronic Acids,EXPT01175,D014574
"Thymidylate Synthase, antagonists & inhibitors",EXPT01150,
Specialty Uses of Chemicals,DB04184,D020313
"Hydrocarbons, Cyclic",EXPT02511,D006844
Toxic Actions,EXPT03017,D004786
Aldehydes,EXPT02628,D000447
"Heterocyclic Compounds, 2-Ring",EXPT00250,D006574
Polyamines,EXPT00037,D011073
Lipids,EXPT02965,D008055
Pteridines,EXPT01747,D011621
P-glycoprotein/ABCB1 Substrates,EXPT02945,
Quinolones,EXPT02652,D015363
Piperidines,EXPT01236,D010880
Triazines,EXPT02456,D014227
"Amino Acids, Peptides, and Proteins",EXPT02068,D000602
Monosaccharides,EXPT00600,D009005
Ribonucleotides,EXPT01288,D012265
"Amino Acids, Peptides, and Proteins",EXPT01142,D000602
Alcohols,EXPT01368,D000438
Ribonucleotides,EXPT02366,D012265
Carboxylic Acids,EXPT00985,D002264
Amines,EXPT00238,D000588
Radioimmunodetection,EXPT01394,D016719
Thiazoles,EXPT02826,D013844
Vasoprotectives,EXPT01917,
Polyamines,EXPT00049,D011073
Sulfur Compounds,EXPT03022,D013457
Putrescine,EXPT03120,D011700
Organophosphorus Compounds,EXPT01775,D009943
Sulfur Compounds,EXPT02344,D013457
Thiazines,EXPT01031,D013843
Tetrapyrroles,EXPT01722,D045725
"Technology, Industry, and Agriculture",EXPT02111,D013676
Ribonucleotides,EXPT00901,D012265
Organophosphorus Compounds,EXPT03038,D009943
Heterocyclic Compounds,EXPT01794,D006571
"Heterocyclic Compounds, 1-Ring",EXPT02031,D006573
Imidazoles,EXPT01870,D007093
Oxazoles,EXPT02455,D010080
Imino Acids,EXPT02279,D007098
Ribonucleotides,DB03969,D012265
"Thromboxane-A Synthase, antagonists & inhibitors",EXPT01865,
"Polycyclic Hydrocarbons, Aromatic",EXPT00353,D011084
"Amino Acids, Peptides, and Proteins",EXPT03135,D000602
"Heterocyclic Compounds, 1-Ring",EXPT00221,D006573
Renin-Inhibitors,EXPT03298,
Tetrapyrroles,EXPT01720,D045725
Phenols,EXPT00222,D010636
Peptides,EXPT00168,D010455
"Heterocyclic Compounds, 2-Ring",EXPT02426,D006574
Vitamin K Antagonists,EXPT00215,
Tetrapyrroles,EXPT01144,D045725
Pyrimidinones,EXPT03201,D011744
Protease Inhibitors,EXPT00673,D011480
"Amino Acids, Peptides, and Proteins",EXPT02986,D000602
"Heterocyclic Compounds, 2-Ring",EXPT02974,D006574
Sugar Phosphates,EXPT00874,D013403
Polycyclic Compounds,EXPT01562,D011083
Sugar Phosphates,EXPT02571,D013403
Lipids,EXPT02836,D008055
Toxic Actions,EXPT02494,D004786
Terpenes,EXPT03252,D013729
Uracil,EXPT03032,D014498
Pyrans,EXPT02295,D011714
Tetrapyrroles,EXPT01189,D045725
Trypanosoma,EXPT01557,D014345
Sugar Acids,EXPT01966,D013400
RNA Caps,EXPT02164,D012315
UGT1A1 Substrates,EXPT00998,
Lipids,EXPT01377,D008055
Uridine Diphosphate Sugars,EXPT01576,D014539
Poly(ADP-ribose) Polymerase Inhibitors,EXPT00973,D000067856
Steroids,EXPT01356,D013256
Xanthine Oxidase Inhibitors,EXPT03299,
"Hydrocarbons, Acyclic",EXPT01607,D006839
Peptides,EXPT03293,D010455
Terpenes,EXPT02311,D013729
Sulfur Compounds,EXPT01036,D013457
Hydroxy Acids,EXPT01967,D006880
Sulfur Compounds,EXPT01909,D013457
Isomerism,DB02387,D007536
OAT3 Substrates,EXPT01668,
Pyrimidinones,EXPT01946,D011744
Aldehydes,EXPT01694,D000447
Putrescine,EXPT02942,D011700
Neurotransmitter Agents,EXPT00774,D018377
Psychotropic Drugs,EXPT03307,D011619
Keto Acids,EXPT02721,D007651
Sugar Phosphates,EXPT01538,D013403
Topical Products for Joint and Muscular Pain,EXPT02440,
Phenylacetates,EXPT01167,D010648
Dicarboxylic Acids,EXPT02110,D003998
"Heterocyclic Compounds, 1-Ring",EXPT03109,D006573
Lipids,DB03838,D008055
Thyroid Hormones,DB12922,D013963
Phosphodiesterase Inhibitors,EXPT00229,D010726
Trypanocidal Agents,EXPT00754,D014344
Ribonucleosides,EXPT00167,D012263
Ribonucleotides,EXPT00172,D012265
Vitamin B12 and Folic Acid,EXPT00979,
Neomycin,EXPT02786,D009355
"Heterocyclic Compounds, 1-Ring",EXPT01959,D006573
Steroids,DB07690,D013256
Polycyclic Compounds,EXPT00433,D011083
Polycyclic Compounds,EXPT02754,D011083
Sulfur Compounds,EXPT01359,D013457
Excitatory Amino Acids,DB02157,D018846
Specialty Uses of Chemicals,EXPT00171,D020313
Uncoupling Agents,EXPT03078,D014475
Sulfur Compounds,EXPT00085,D013457
Amines,EXPT02080,D000588
"Amino Acids, Peptides, and Proteins",EXPT02587,D000602
Uracil Nucleotides,EXPT00725,D014500
"Heterocyclic Compounds, 2-Ring",EXPT01120,D006574
"Heterocyclic Compounds, 2-Ring",EXPT00931,D006574
Triterpenes,EXPT02002,D014315
Ribonucleotides,EXPT02863,D012265
Neurotransmitter Uptake Inhibitors,EXPT03312,D014179
Polycyclic Compounds,EXPT01066,D011083
Lipids,EXPT00021,D008055
"Amino Acids, Peptides, and Proteins",EXPT00641,D000602
Ribonucleosides,EXPT00245,D012263
Uracil Nucleotides,EXPT03195,D014500
Tetrapyrroles,EXPT00070,D045725
"Hydrocarbons, Cyclic",EXPT00054,D006844
"Hydrocarbons, Halogenated",EXPT01133,D006846
Hydroxylamines,EXPT03267,D006898
Lipids,EXPT02918,D008055
Valerates,EXPT01947,D014631
Sulfur Compounds,EXPT01934,D013457
Tromethamine,EXPT03072,D014325
Cytochrome P-450 Enzyme Inhibitors,DB11070,D065607
Tyrosine Kinase Inhibitors,EXPT02763,
Neurotransmitter Agents,EXPT01239,D018377
Thiophenes,EXPT02769,D013876
Uracil Nucleotides,EXPT03176,D014500
Ribonucleotides,EXPT00808,D012265
Purines,EXPT01152,D011687
Sensory System Agents,DB08243,D018689
Various Alimentary Tract and Metabolism Products,EXPT00675,
Palmitic Acids,EXPT02607,D010169
Sulfur Compounds,EXPT02158,D013457
Uracil Nucleotides,EXPT03187,D014500
Propanols,EXPT01786,D020005
Carbohydrates,EXPT01465,D002241
Lipids,EXPT01102,D008055
Trypanocidal Agents,EXPT02900,D014344
Phosphorus Compounds,EXPT01327,D017553
Pyrans,EXPT01331,D011714
Xanthenes,EXPT02782,D014966
Pyrimidinones,EXPT03206,D011744
"Heterocyclic Compounds, 1-Ring",EXPT03278,D006573
"Technology, Industry, and Agriculture",EXPT01444,D013676
Polycyclic Compounds,EXPT00920,D011083
"Heterocyclic Compounds, 1-Ring",EXPT01955,D006573
Terpenes,EXPT00969,D013729
Sugar Alcohols,EXPT02897,D013402
Reactive Oxygen Species,EXPT02577,D017382
Polycyclic Compounds,EXPT01264,D011083
Sulfur Compounds,EXPT00627,D013457
Pyrimidines,EXPT02245,D011743
Pterins,EXPT00708,D011622
Peptides,EXPT01552,D010455
Toxic Actions,EXPT02168,D004786
Specialty Uses of Chemicals,DB02737,D020313
Keratolytic Agents,EXPT03203,D007641
Sulfur Compounds,EXPT02624,D013457
Pteridines,EXPT01381,D011621
"Polycyclic Hydrocarbons, Aromatic",EXPT00387,D011084
Glyoxylates,EXPT02460,D006038
Trimethyl Ammonium Compounds,EXPT02629,D050337
Specialty Uses of Chemicals,EXPT01187,D020313
Piperidines,EXPT01145,D010880
Pyrans,EXPT00847,D011714
Surface-Active Agents,EXPT02877,D013501
Ethanolamines,EXPT01366,D004983
"Heterocyclic Compounds, 2-Ring",EXPT00590,D006574
Polycyclic Compounds,EXPT02685,D011083
Monosaccharides,EXPT03143,D009005
"Amino Acids, Peptides, and Proteins",EXPT02329,D000602
Ribonucleotides,EXPT00989,D012265
Sterols,EXPT01357,D013261
Ribonucleotides,EXPT02132,D012265
Methylglycosides,DB03324,D008759
Lipids,EXPT00888,D008055
Valerates,EXPT00258,D014631
"Hydrocarbons, Cyclic",EXPT00131,D006844
Specialty Uses of Chemicals,EXPT01706,D020313
Polyketides,EXPT01153,D061065
Valerates,EXPT01974,D014631
Xanthine derivatives,EXPT01767,D013806
Lipids,EXPT01791,D008055
"Amino Acids, Peptides, and Proteins",EXPT00584,D000602
Ketones,EXPT00777,D007659
Purinones,EXPT00359,D011688
"Protein Kinase C, antagonists & inhibitors",EXPT00617,
Pyrimidinones,EXPT00178,D011744
Purines,EXPT00431,D011687
Urea,EXPT03300,D014508
Phenols,EXPT02314,D010636
Peptides,EXPT00727,D010455
"Heterocyclic Compounds, 1-Ring",EXPT01477,D006573
Isoquinolines,EXPT00672,D007546
Polysaccharides,EXPT01999,D011134
Polyenes,EXPT02115,D011090
Pyrimidinones,EXPT01797,D011744
Peptides,EXPT01664,D010455
Sugar Phosphates,EXPT01850,D013403
Phosphodiesterase Inhibitors,EXPT00228,D010726
Polyphosphates,DB11055,D011122
Valerates,EXPT03231,D014631
"Hydrocarbons, Cyclic",DB04056,D006844
"Amino Acids, Peptides, and Proteins",EXPT02358,D000602
Sweetening Agents,EXPT01495,D013549
Lipids,EXPT00939,D008055
"Heterocyclic Compounds, 2-Ring",EXPT00790,D006574
Malonates,EXPT01309,D008314
"Amino Acids, Peptides, and Proteins",DB03519,D000602
"Amino Acids, Peptides, and Proteins",EXPT00953,D000602
Peptides,EXPT01606,D010455
Polysaccharides,EXPT01052,D011134
Pteridines,EXPT02678,D011621
